Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,お客様の様子,・売上は、2024年比で109.0％、2023年比で125.3％、2022年比では205.7％、2021年比で655.2％、2020年比で891.5％、2019年比で138.7％となっている。
,,○,一般小売店［酒］（経営者）,お客様の様子,・このところ、域外事業者による飲食店の出店が目立つようになり、やや明るい傾向がみられる。既存事業者の元気が余りないため、良い刺激となることを期待している。
,,○,スーパー（店長）,お客様の様子,・猛暑対策という面もあるが、衣料品部門や住宅余暇部門の売上が伸びている。これまでの不要不急の商品を後回しにしていた状況がやや改善している。
,,○,コンビニ（エリア担当）,販売量の動き,・６月以降の気温上昇の影響で、アイスや飲料などの夏物商材の販売量が回復している。
,,○,コンビニ（エリア担当）,来客数の動き,・猛暑の影響で、飲料やアイスなどを買い求める客が増加している。
,,○,コンビニ（エリア担当）,競争相手の様子,・売上はやや良いものの、単価の高い商材の購買動向が落ち込んでいる。
,,○,コンビニ（エリア担当）,来客数の動き,・非常に気温の高い状態が続いているため、飲料、アイスなどの購入客が増加しており、景気がやや良くなっている。８月も暑い日が続くとみられるため、このまま景気の良い状態で推移すると期待している。
,,○,衣料品専門店（店長）,単価の動き,・例年より気温が高いこともあって、これまで買い控えがみられていたクールビズ商材が前年比120％と伸びており、売上を押し上げている。サマースーツの動きも良く、客の買換えが一気に進んでいる。
,,○,高級レストラン（スタッフ）,来客数の動き,・管内を訪れる観光客が増えていることで、景気は良好に推移している。
,,○,旅行代理店（従業員）,来客数の動き,・夏季観光シーズンに入ってきたことから、外国人観光客も含めて、道外からの観光需要が増加している。ただし、外国人観光客については、７月に日本で災害が起こるという予言の影響で、香港を中心に訪日旅行を控える動きがみられる。
,,○,タクシー運転手,来客数の動き,・気温が高くなると、タクシーの利用が増える傾向にある。７月は例年よりも暑い日が多いことから、タクシーの利用が増加している。また、ビヤガーデンが始まり、人出が増えていることもプラスである。タクシー１台当たりの売上は、前年比で10％増加している。採用が順調なことで、乗務員は前年から40人増加している。この結果、タクシーの稼働台数は前年比で30％増加しており、会社全体の売上は前年比で40％の増加となった。
,,□,商店街（代表者）,来客数の動き,・７月から新たに始まった商業ゾーンの集客を期待していたが、猛暑日や真夏日が続くなど、例年にない暑さとなったこともあって、地域住民及び郊外客の来街が伸びなかった。当区域を訪れる来街者は高齢者が多いことから、気温上昇による身体への負担が大きく、来街頻度が低下したものとみられる。外国人観光客や道外観光客については、出歩いている姿は見掛けるものの、買物袋を持っていないことが多い。例年であれば、７月頃から行列ができる飲食店も、行列のできる日が少なくなっている。
,,□,商店街（代表者）,来客数の動き,・７月５日に大地震が起きるという予言の影響が大きく、インバウンドが大幅に減少している。影響が大きかった店舗では、３割程度の減少になったとの話を聞いている。ただし、最近は落ち着きを取り戻しており、例年並みの状況で推移している。国別にみると、中国からの観光客が大幅に減少している。ただし、それが予言の影響によるものなのか、中国経済の影響によるものなのか、現時点では分からない。
,,□,百貨店（販売促進担当）,来客数の動き,・インバウンドや道外客も含めて、全体的に来客数が減少傾向にある。特にインバウンドは円安の効果が薄れてきている。
,,□,スーパー（企画担当）,それ以外,・来客数が回復しているものの、客単価が低下傾向にある。猛暑の影響で、飲料や冷菓、乾麺などが好調な一方で、即席麺、シリアル、菓子類が不調である。
,,□,コンビニ（エリア担当）,単価の動き,・継続的に安い商材を買っている客が多く、消費は厳しい状況にある。
,,□,衣料品専門店（エリア担当）,来客数の動き,・暑い日が続いていることで、引き続き冷感素材、涼感素材の商材がよく売れている。８月も猛暑が続くとみられることから、こうした傾向が続くことになる。
,,□,乗用車販売店（従業員）,販売量の動き,・登録車両がやや増えていることから、売上が前年を上回っている。このままの状況が続けば、景気が良くなると期待している。
,,□,乗用車販売店（従業員）,販売量の動き,・新車の受注量は低調に推移しているものの、中古車及びサービス部門の販売量は前年並みで推移している。
,,□,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比に変化がみられない。客の購買動向も変わっていないため、景気は変わっていない。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格に大きな変動がみられないことから、景気は変わらない。
,,□,高級レストラン（スタッフ）,来客数の動き,・来店客の動きに大きな変化はみられない。例年であれば、夏休みやお盆を前にして、来客数が増えてくる時期ではあるが、見込みも厳しい状況にある。
,,□,旅行代理店（従業員）,販売量の動き,・客１人当たりの販売額は増加しているものの、来客数が減少していることから、全体的にはほぼ横ばいで推移している。
,,□,タクシー運転手,来客数の動き,・観光客やイベント関係者の利用状況について、特に変化がみられなかった。
,,□,タクシー運転手,販売量の動き,・乗務員不足が顕著であり、思うように稼働を上げられない状況が続いている。
,,□,通信会社（企画担当）,お客様の様子,・新たに始まった料金プランや通信端末を活用したサービスの需要が拡大している。その半面、節約志向の高まりから、料金プランやサービス内容の変更に対して、不満を感じる利用者が多く、他社に流出する動きが想定を上回っている。
,,□,美容室（経営者）,お客様の様子,・食品を始め、８月に各種商材が値上げするとの報道がみられることから、客が出費を控える傾向が続いている。特に美容用品の売上が低迷している。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光最盛期を迎えるなか、輸送量は旅客、車両のいずれも増加している。
,,□,住宅販売会社（経営者）,お客様の様子,・住宅着工数が増えてこない状況が続いているにもかかわらず、住宅の単価が下がっておらず、逆に上がっているような状況にある。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客をみると、最近になって１年ぶりに再訪する客が多くみられる。再訪客のほとんどがマンションを購入していることから、１年前は高いと感じた価格が今では妥当なものとなっていることがうかがえる。
,,□,住宅販売会社（従業員）,単価の動き,・建築単価が高止まりしており、住宅ローンの金利も上昇していることから、景気は厳しいまま変わらない。
,,▲,商店街（代表者）,来客数の動き,・例年にない異常な暑さの影響で来客数が減少している。
,,▲,商店街（代表者）,お客様の様子,・客の様子から、景気が上向いているとはいえない状況にある。
,,▲,一般小売店（経営者）,来客数の動き,・選挙の前後は客の動きが悪くなる傾向があることから、７月の景気はやや悪かった。
,,▲,百貨店（売場主任）,来客数の動き,・商材の値上げや消費マインドの低下などの影響により、地元客による購買が引き続き苦戦している。さらに、直近は記録的な酷暑の影響により、来客数も大きく減少している。
,,▲,スーパー（店長）,お客様の様子,・一般人にとって、現在の物価高は厳しい水準にある。客の所得もそれほど増えていないことから、景気はやや悪くなっている。
,,▲,スーパー（店長）,販売量の動き,・米国の政権の動向に振り回されている。
,,▲,スーパー（役員）,お客様の様子,・米に加えて、豚肉、鶏肉、牛乳、卵など、食べる頻度の高い食品の値上がりが続いていることで、客の買物の仕方がシビアになっている。
,,▲,衣料品専門店（経営者）,お客様の様子,・物価高騰の影響で客の節約志向が強まっており、おしゃれを楽しむ余裕がなくなっている。
,,▲,乗用車販売店（経営者）,販売量の動き,・物価が高止まりしている影響で、個人消費が低迷している。さらに、メーカーの経営状況に関する報道が、客の消費マインドを押し下げている。当面、販売量の増加は見込めないため、一層の経費削減が必要になっている。
,,▲,乗用車販売店（従業員）,販売量の動き,・道内の各拠点の販売状況をみると、良いところでも計画の90％、悪いところだと50％以下となっており、全体的に厳しい状況にある。要因としては、夏枯れによる影響が最も大きいとみられるほか、新型車の発売がないことや低金利キャンペーンが終わったことなども影響している。
,,▲,乗用車販売店（従業員）,お客様の様子,・受注台数及び来客数が減っている。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・例年にない暑さと物価高騰によるマイナスの影響が重なり、来客数が減少している。
