Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・今後については、クリスマス商戦、年末年始商戦に期待している。
,,○,一般小売店［土産］（経営者）,・前年から国内観光客の売上が伸びており、10月は衆議院選挙や大型台風があったにもかかわらず、全体売上が前年比103％、前々年比で121％と伸びていることから、当地にもようやくアベノミクスの恩恵が表れており、今後の景気はやや良くなる。
,,○,一般小売店［土産］（経営者）,・北朝鮮のミサイル問題などの地政学リスクや地震などの予期せぬことがない限り、株価や円相場、為替相場などはこのまま安定して推移することになる。また、衆議院選挙も終わったことで消費マインドも少しずつ回復傾向にある。これから３か月間は、特に年配客が北海道旅行を計画することになり、高齢者が消費の中心となってきている現況から、消費も堅調に推移することになる。
,,○,百貨店（担当者）,・今後のクリスマス商戦や年末商戦に向けて、近隣店舗との連動イベントなどを打ち出すことで、街の活気と消費にも好影響が出てくると期待している。
,,○,百貨店（販売促進担当）,・気温の低下に伴って冬物衣料の動きが活発になってきた。このまま季節が順調に移り変わることになれば、売上も拡大していくことになる。
,,○,スーパー（店長）,・これまで減少傾向にあったアパレルが好調を維持しており、今後も冬物商材を中心に同様の傾向が続く。
,,○,スーパー（店長）,・11～12月と必需品の需要が大きくなるにつれて、来客数も増加することになる。客の節約志向は変わらないが、必需品は目的買いとなるため、今後の景気はやや良くなる。
,,○,家電量販店（経営者）,・季節需要や年末需要で暖房機やテレビなどの売上増加が見込める。
,,○,乗用車販売店（経営者）,・先行指数である新車の受注件数が新型車を中心に引き続き好調なことから、この傾向は当面続くと期待できる。
,,○,乗用車販売店（従業員）,・年始の人気車種の発表を控えて、事前予約なども見込めるため、今後の景気はやや良くなる。
,,○,自動車備品販売店（店長）,・最低賃金の引上げと同時にタイヤ交換の工賃を値上げしたにもかかわらず、来客数が引き続き前年を超えて推移している。値上げの影響がみられないことから、今後も来客数の増加が期待できる。
,,○,スナック（経営者）,・今後については、忘年会や新年会の動きがこれまでよりもやや良くなることが見込める。
,,○,旅行代理店（従業員）,・流氷の接岸時期や天候要因にも左右されるが、冬季観光の活発な時期となるため、今後についてはやや良くなる。各地の冬季イベントやアクティビティでの集客も期待できる。
,,○,旅行代理店（従業員）,・問い合わせ件数に対する受注率が上昇しているため、今後についてはやや良くなる。
,,○,タクシー運転手,・例年、雪が降るようになるとタクシーの利用が増えるため、冬らしい天候になることで、景気がやや良くなることが期待できる。
,,○,観光名所（従業員）,・10月は天候要因で落ち込んだが、これから冬季観光の本格シーズンを迎えて、外国人観光客の入込も期待できることから、今月よりも景気は上向くことになる。
,,○,住宅販売会社（経営者）,・一般住宅は足踏み状態だが、非住宅の建築物は相変わらず需要が高いことから、今後も景気の良い状況が続く。ただ、人手不足の影響がやや気がかりである。
,,□,商店街（代表者）,・客の様子をみると、先行き不安などから、消費に消極的な人が多く、今後についても変わらないまま推移する。
,,□,商店街（代表者）,・北朝鮮問題などの懸念材料もあるが、実際にどのような状況になるのかが分からないため、今後についても景気は変わらない。
,,□,商店街（代表者）,・百貨店を中心に、地元客の販売不振を外国人観光客の消費で補っている状況にあるが、来年以降の予約状況が低調なこともあり、先行きが不安である。
,,□,一般小売店［酒］（経営者）,・２～３か月先は年末の最需要期を迎えるため、売上自体は10月よりも増えることになる。ただ、前月、今月と売上が非常に良くないため、ベースの動きはあまり変わらないのではないかと懸念している。
,,□,百貨店（役員）,・当店では、来客数、買上客数共減少している一方で、世の中の動きとして、富裕層を中心に活発な消費がみられるといった報道もみられる。格差の広がっている状況から、今後も景気は変わらないまま推移する。
