Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,・観光客の増加により、輸送量の増加が見込まれる。
,,○,商店街（代表者）,・季節の変わり目となり、春の生活の変化の時期とも重なるため、消費も多少は増えてくる。
,,○,商店街（代表者）,・これからオンシーズンに向かっていくため、今後の景気はやや良くなる。
,,○,一般小売店［酒］（経営者）,・ここ数年間、当地は観光地としての特徴が強くなっていることから、これからゴールデンウィークを迎えて観光客の入込が増えてくることが見込まれ、地元経済に良い影響が生じる。
,,○,百貨店（販売促進担当）,・４月以降、気温の上昇とともに、客の購買行動が春物衣料を中心に活発になってくる。
,,○,スーパー（店長）,・２～３月と販売量が増えてきている。４～５月には創業祭や売出しなども行われるため、大きく売上が伸びることまでは期待できないにしても、右肩上がりになることが見込める。
,,○,スーパー（店長）,・今後、パート社員の長時間雇用や時間給単価の上昇が見込まれるため、それに伴い消費動向も良くなると期待している。
,,○,スーパー（店長）,・客の節約志向は依然として変わらないとみられるが、季節が変わり、気温の上昇とともに行楽関連の需要が活発になることで景気が良くなると期待できる。
,,○,衣料品専門店（店長）,・来客数が回復傾向にあることから、今後、よほどのことが生じない限り、前年以上の売上で推移することが見込める。
,,○,乗用車販売店（従業員）,・これから新型車が出てくるため、車の販売量も少しは良くなると期待している。
,,○,観光型ホテル（スタッフ）,・大型学会が複数回行われる予定があるため、そのことがプラス要因となる。また、ゴールデンウィークの日並びが良く、５～９連休を見込めることもプラス要因となる。ただ、国内団体旅行については、集客状況が低調であり、今後も改善が見込めない。
,,○,旅行代理店（従業員）,・６月以降、観光シーズンを迎えて、一部路線の大型機材投入などがあるため、外国人観光客を含めた観光需要の増加が期待できる。特に中国人観光客は、中国政府が旅行会社に韓国旅行商品の販売中止を指示したことの影響で、北海道観光への振替が期待できる。
,,○,通信会社（企画担当）,・合理化により、固定費用の大幅削減が進んでいることから、今後の販売量の増加が期待できる。
,,□,商店街（代表者）,・３か月後の６月はゴールデンウィーク後の月であり、他地域からの観光客などが来街するような要因もないため、初旬及び中旬の売上は減少するとみられるが、年金の支給月であることから、下旬になれば高齢者を中心に来街者が増加し、夏物衣料品などの売上アップが見込める。ただし、全体的にはやや悪い状態で推移する。
,,□,商店街（代表者）,・外国人観光客の入込は一時期ほどの伸びがみられないものの、引き続き好調に推移している。しかし、今年の旧正月ごろから消費行動に大きな変化が生じ、大幅に売上を落としている店もみられるなど、今後の動向が心配である。
,,□,商店街（代表者）,・春になり、それなりの出足は見込めるが、新入学や異動の時期が過ぎた後の動きは例年よりも少し落ち込むとみられる。
,,□,百貨店（売場主任）,・春物定価品の各アイテムは、いずれも好調なスタートとなったが、来客数増加に向けて大きなポイントとなるボリュームゾーンの商材が苦戦し、回復待ちの状況であることから、今後も変わらないまま推移する。
,,□,百貨店（担当者）,・客単価の動きは日々上下変動しているが、全体的には売上と同様のトレンドで推移しており、売上のやや悪い状態に変化がみられないことから、今後も変わらないまま推移する。
,,□,百貨店（営業販促担当）,・雑貨、食品、紳士服の動きに明るさがみられるものの、婦人服の下げ止まりがまだみえない。また、一部の高額品に動きが出てきているが、全体的な客単価の低下傾向が続いていることから、今後も変わらない。
,,□,スーパー（店長）,・変動する要因が見当たらないため、今後も変わらない。
,,□,スーパー（役員）,・４月以降の数か月の動向については、４月こそ、新年度行事があることに加えて、年金支給月でもあることから、前年と比べても大きな変化はないとみられるが、その後は来客数の減少が続いている現状からやや悪い状況が続く。来客数の減少傾向は、周辺小売業も同様とみられ、顧客の節約志向が来店回数の減少につながっているのではないかと危惧している。
