Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,一般小売店［土産］（経営者）,・９月の売上は前年比で117％、前々年比で112％と好調であった。これまでは外国人観光客に助けられていた面があったが、ここ数年で初めて国内観光客による売上が増えるなど、今まで決して感じられなかった国内景気の回復を感じられる月であったことから、今後についてはやや良くなる。
,,○,一般小売店［酒］（経営者）,・９月は今年に入ってから最低の売上の月であったため、今月よりは良くなることが見込める。
,,○,百貨店（担当者）,・年末に向けて消費が上向いてくることに加えて、周辺ににぎわいが出てくることも期待できるため、景気は持ち直すことになる。
,,○,スーパー（店長）,・前年の11～12月は例年よりも早い降雪の影響などで厳しい状況にあったが、今年はその反動による増加が期待できる。
,,○,家電量販店（経営者）,・厳しい状況ではあるが、季節要因による景気の上振れが期待できる。
,,○,乗用車販売店（経営者）,・新型車を中心に、先行指数である新車受注が高水準であった前年の水準を超えており、一時期の停滞ムードが解消しつつある。
,,○,乗用車販売店（従業員）,・新型車の投入に伴い、前年を上回る販売量が見込めることから、今後についてはやや良くなる。
,,○,自動車備品販売店（店長）,・冬タイヤの値上げ後も売上が前年を上回っている。客の購入点数も増加していることから、景気が上向き傾向にある。
,,○,通信会社（社員）,・総選挙の影響で一時的に売上が減る懸念もあるものの、最終的には上向きになることが見込める。
,,○,通信会社（企画担当）,・首都圏と比べて新製品に対する予約件数、引き合い件数の増加幅が大きく、冬季に向けて販売量の改善が期待できる。
,,○,住宅販売会社（経営者）,・10月の総選挙で与党が大勝すれば、ムードが良くなり、経済面にもプラスとなる。
,,□,商店街（代表者）,・秋から冬への衣替えの時期ではあるが、客単価がなかなか上がらず、苦戦している店舗が多いことから、今後も変わらない。
,,□,商店街（代表者）,・総選挙の話が急に浮上したが、客の雰囲気から今後も大した変化がないまま推移する。
,,□,商店街（代表者）,・今のところ、年末は例年と同様のイベントなどが行われる予定であるため、売上が伸びるような要因は見当たらない。季節要因を除けばやや悪い状態のまま変わらずに推移する。
,,□,百貨店（販売促進担当）,・今後も、日常の買物をするような地元客が減少する一方で、外国人客が増加する傾向がしばらく続くとみられるため、景況感は変わらない。
,,□,百貨店（役員）,・ここ半年、月による変動が激しいため、先行きの動向が判断しづらい状況になってきている。
,,□,百貨店（営業販促担当）,・前年の台風被害による落ち込みの反動で、衣料品については若干の回復傾向が出てきているが、イベントへの集客が弱くなっている。また、客単価も上がってこないため、しばらくは楽観できない状況が続く。
,,□,スーパー（店長）,・目的買いの需要が高くなるとみられるが、依然として客の節約志向は変わらないため、今後も景気は変わらない。ただし、総選挙後の動向によっては変化が生じることになる。
,,□,スーパー（店長）,・変動要因が見当たらないため、今後も変わらない。
,,□,スーパー（店長）,・ここ数か月、競合店の中でも、ディスカウント業態のスーパーが力を付けており、客がより単価の低い商材、安い商材を求めている状況がうかがえる。
,,□,スーパー（役員）,・消費動向は悪くないとの報道もあるが、スーパーのような食品を中心とした業態では、高齢化の影響もあり、消費動向が良くなることは期待できない。ドラッグストアでの食品取扱構成比の上昇、ディスカウント業態との価格競争などで、経営環境はますます厳しさを増してくることになるため、今後も景気は変わらない。
,,□,コンビニ（エリア担当）,・週末や夜間の来客数減少が続いている。食料品に対する客の消費マインドは依然として弱く、その一方でサービス売上が増加していることから、スマートフォンや観光などのコト消費にお金の使いどころが変化している状況がうかがえ、今後も景気は変わらない。
,,□,コンビニ（エリア担当）,・今後については、大きな公共工事の予定などがないため、変わらないまま推移する。
,,□,コンビニ（店長）,・景気が良くなる要素が見当たらない。客の節約志向もまだ続きそうなため、景気は変わらない。
