Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,百貨店（担当者）,・来客数が増加傾向にあるため、それが消費につながることで、周辺も含めて好影響が生じることが期待できる。
,,○,百貨店（販売促進担当）,・観光のトップシーズンを迎え、外国人観光客に加えて、本州各地からの入込客による利用が増加することになる。客単価アップに加えて、購買客数もプラスに転じることで、前年比の一層の伸びが期待できる。
,,○,百貨店（営業販促担当）,・前年８月の台風被害が甚大だったため、その反動と現状の回復基調の相乗効果で改善が見込める。
,,○,スーパー（店長）,・食品やヘルス・ビューティ関連が好調を維持していることに加えて、衣料品の動きも安定してきたことから、今後の景気は上向き傾向で推移する。
,,○,衣料品専門店（店長）,・秋物への問い合わせが増えているなど、客の購買意欲の高さがうかがえる。
,,○,乗用車販売店（従業員）,・新型車効果により、販売台数が伸びることが期待でき、今後２～３か月は現状よりも大分景気が上向くことになる。
,,○,自動車備品販売店（店長）,・冬タイヤへの問い合わせが増えていることから、早期販売と共に売上が伸びてくるとみられるが、需要を先取りする分、11月以降の動向に不安がある。
,,○,観光型ホテル（スタッフ）,・国内客による個人旅行の予約、ビジネス目的のＷｅｂ予約共に好調に推移していることから、今後についてはやや良くなる。
,,○,タクシー運転手,・来月以降も引き続き気温の高い日が続くと見込まれていることに加えて、夏祭りも控えているため、収入の増加が見込める。
,,○,通信会社（社員）,・定例の人気商材の発売があるため、今後についてはやや良くなる。特に今回は大幅リニューアルとの噂もあるため、期待感がある。
,,○,通信会社（企画担当）,・毎年恒例の秋の新商材発売に伴い販売量が改善する傾向があるため、今年も期待している。
,,○,住宅販売会社（経営者）,・これからも猛暑が続き、大雨、ゲリラ豪雨、台風などがなければ、個人消費も少しずつ回復することになり、それに伴い建築も順調に推移することが見込め、景気はやや良くなる。
,,□,商店街（代表者）,・前年の北海道新幹線の開業効果の反動なのか、国内観光客の来道が少ない。その一方で外国人観光客は依然として好調に推移している。ただ、観光全体として捉えた場合、どちらかに偏る傾向は好ましくない。
,,□,一般小売店［土産］（経営者）,・北海道観光の場合、今後の景気は外国人観光客の動向に左右されることになるため、為替が影響することになる。北朝鮮問題やテロなどの有事の地政学的なリスクが起きた場合は下振れすることが懸念されるが、平穏であれば、景気は引き続き上向き傾向で推移する。
,,□,一般小売店［酒］（経営者）,・季節的に７月の売上が最も多くなる傾向があることから、８～９月の売上が今月よりも増加することまでは見込めないものの、少しずつ消費に力強さがみられるようになってきているため、今後については期待が持てる。
,,□,百貨店（売場主任）,・景気が良くなる材料も、悪くなる材料も見当たらないことから、今後も景気は変わらない。
,,□,スーパー（店長）,・景気が変動するような要因が見当たらないため、今後も変わらない。
,,□,スーパー（店長）,・状況に変化が見込めないため、今後も景気は変わらない。
,,□,スーパー（企画担当）,・失業率が低下しても就業人口が変わらず、昇給があっても消費に回らないなど、かつての経済理論が通用しない時代となってきており、消費力の低下を不況と捉えることができなくなっている可能性がある。人口減により、経済規模がコンパクト化しており、現在の状況が適正なのかもしれない。
,,□,スーパー（役員）,・６月からの酒類の値上げに伴い消費者がビールからチューハイなどの低価格商材に移行する傾向が出ており、食料品に対する倹約志向がますます強まっている。秋からの最低賃金の引上げの効果に期待しているものの、厳しい状況は今後も続く。
,,□,コンビニ（エリア担当）,・気温上昇に伴う飲料水やビールなどの売上の増加は一時的なもので、６月の減少分をカバーするほどの回復は見込めない。また、たばこの販売量が引き続き落ち込んでおり、来客数減少に影響を与えている。
,,□,コンビニ（エリア担当）,・依然として天候要因による増減が大きく、売上が安定してこない。漁業関係の動向も良くなく、特に海岸沿いの店舗は厳しい。
