Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,・消費税増税前の駆け込み需要による反動減はほぼなくなっていることから、２～３か月後には通常の状態に戻る。
,,○,商店街（代表者）,・少しずつではあるが来客数が戻りつつあり、消費税増税前の雰囲気に戻りつつあることから、２～３か月後にはやや良くなる。
,,○,商店街（代表者）,・夏まつりシーズンになること、観光客が例年並みまで回復傾向にあることに加えて、当地域において全国規模の大会が行われることから、入込客の増加にともなう関連業種での売上増加が見込める。また、当市の商店街振興組合連合会による新規事業が夏まつり期間中に実施される予定であるため、地元住民の来街機会の増加による飲食関連業種の売上増加も期待できる。
,,○,一般小売店［土産］（経営者）,・中国からの観光客が戻りつつあり、高額のこんぶをまとめ買いする中国人観光客も散見されるようになってきた。特に今年は豪華客船が連続して寄港する予定であることから、今後の売上増加に期待が持てる。ただし、日本人観光客が相変わらず増えていないことから、まだ本物の景気回復とは言えない面もある。
,,○,一般小売店［土産］（経営者）,・消費税増税の影響も大分薄れてきている。また、夏季のボーナスの支給額が大手企業を中心に増えていることから、客の財布のひもが少しは緩んでくる。これらのことから、今後は景気がやや上向くことになる。
,,○,一般小売店［酒］（経営者）,・売上の金額自体は依然として厳しい面があるが、高額商材が売れてきていることもあり、今後については期待が持てる。
,,○,百貨店（売場主任）,・買物をしなかった客もセールを気にかけている様子が強く感じられることから、ボーナスの支給と秋物商材への切替が客の購買意欲の回復につながる。
,,○,百貨店（売場主任）,・セール以降は客の買い控えが緩和してくる。
,,○,百貨店（販売促進担当）,・今後は来客数や買上率がプラスに転じ、客の購買意欲も消費税増税前の水準まで戻ることになる。懸念材料は、冷夏と予想されている気候が、どの程度影響を及ぼすかが不透明な点である。
,,○,スーパー（店長）,・消費税増税前によく売れた化粧品やくつ、かばんなどがまだ回復していないため、上半期全体に影響が生じているが、秋冬シーズンになれば新商品の発売などで傾向が変わることになる。
,,○,スーパー（店長）,・消費税増税により消費マインドが落ち込んでいるが、増税後に販売量の落ち込んだ商品群は確実に回復している。販売する側として、より消費を喚起させる品ぞろえや、品質、機能、便宜性を打ち出す工夫があれば、消費につながると期待している。
,,○,衣料品専門店（店長）,・客の様子に何となく明るい兆しがみえてきているため、今後についてはやや良くなる。
,,○,家電量販店（地区統括）,・４Ｋテレビのソフトが増えてきている影響で、４Ｋテレビの需要が微増しており、そのことが家電需要落ち込みのカンフル剤になる。
,,○,乗用車販売店（従業員）,・４月は消費税増税前の駆け込み需要の反動があり、５月もその影響があったが、６月にはあまりみられなくなったことから、来月以降はやや良くなる。
,,○,観光型ホテル（スタッフ）,・社員旅行やグループ旅行の予約が好調である。外国人客もツアーの設定数が増加傾向にある。
,,○,旅行代理店（従業員）,・一般的にボーナスの支給額が増加傾向にあるため、今後の個人需要が期待できる。
,,○,旅行代理店（従業員）,・夏場には季節運航便が就航し、航空機の座席供給量が増加するため、外国人客、国内客ともに旅客数の増加が期待できる。
,,○,旅行代理店（従業員）,・最近、２～３か月先の旅行に関する問い合わせが増えているため、やや良くなる。
,,○,タクシー運転手,・これから夏休みなどで観光客の入込が期待できる。消費税増税の影響による乗り控えも徐々に改善されることを期待している。
,,○,タクシー運転手,・来月分の見積や空き状況などの問い合わせが少しずつ増えてきている。
,,○,観光名所（従業員）,・現在のマイナス要因は天候不良のみであり、毎年の霧のシーズンも終わったことから、今後についてはやや良くなる。今後、猛暑になるようなことがあれば、地域特性からも一層のプラスが期待できる。
