Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・消費税増税前までは少しは良くなるが、４月からは落ち込むとみられる。
,,◎,商店街（代表者）,・消費税増税前の商戦が来月から始まるため、３月までは比較的良い状況が継続する。また、外国人観光客の入込状況も良く、旧正月を迎えて、前年よりも一層増加すると期待している。
,,◎,家電量販店（地区統括部長）,・３月末までは、消費税増税前の駆け込み需要が月を追うごとに大きくなる。３年前の地上デジタル放送移行時以来の大きな需要になるものと期待している。
,,◎,住宅販売会社（経営者）,・消費税増税前の駆け込み需要で、全ての業種で３月までは大きな需要が生じることになる。
,,○,商店街（代表者）,・今月の売上は悪いが、２月から３月に向けて観光客の動きが活発化してくることからやや良くなる。
,,○,百貨店（売場主任）,・４月からの消費税増税を控えて、３月には駆け込み需要が生じる。商材によっては、２月から駆け込み需要が生じることになる。特に衣料品関連は春物の投入が早いため、２月、３月と売上が顕著に上がってくる。日用品に関しては３月下旬を中心に駆け込み需要が出てくる。
,,○,百貨店（売場主任）,・高額品については、消費税増税前までは購買が継続する。ボリュームゾーンについても購買動向に勢いが出てきている。ラグジュアリーについては、価格改定による単価上昇にも客の購入スタンスは変わらないとみられる。
,,○,百貨店（売場主任）,・消費税増税前の駆け込み需要が、多少なりとも出てくる。
,,○,スーパー（役員）,・消費税増税前の３月には酒やたばこなどの日用品を中心に売上が増加する。
,,○,コンビニ（エリア担当）,・消費税が増税されるまで、このまま来客数がある程度のところまで回復してくる。
,,○,衣料品専門店（店長）,・これから暖かくなるにつれて、景気も少しずつ良くなる。
,,○,家電量販店（経営者）,・ソチオリンピック、消費税増税前の駆け込み需要などのプラス要素はあるが、全く未知数であるのも事実である。
,,○,家電量販店（店員）,・消費税増税前の駆け込み需要で３月末までは期待が持てる。パソコンの高額タイプ、省エネ冷蔵庫、ドラム式洗濯機、大型液晶テレビなどが注目されており、少しずつ売れるようになってきている。
,,○,その他専門店［造花］（店長）,・２～３月にかけて、消費税増税前の特需が発生する。
,,○,旅行代理店（従業員）,・ビジネス客の伸びは今後も継続する。流氷観光も、前年よりは遅いが、オホーツク海に流氷が到着し、一部接岸してきているため、今後に期待できる。
,,○,タクシー運転手,・例年、冬期間はタクシーの利用が多いため、今年も３月までは売上が増えると期待している。４月の消費税増税にともなう値上げの影響がどうなるかが心配である。
,,○,観光名所（従業員）,・毎月、利用客数が前年実績を上回り続けており、この勢いにブレーキをかける要因が見当たらない。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・気温が上昇するとともに、輸送量も増加することになる。
,,○,設計事務所（所長）,・例年の動きから、やや良くなると期待している。
,,□,商店街（代表者）,・消費税増税前であるが、買わずに我慢する傾向になるとみられるため、駆け込み需要はあまり期待できない。
,,□,商店街（代表者）,・消費税が上がるため、多少は駆け込み需要が生じるとみられるが、全体としては大きく変わらない。
,,□,商店街（代表者）,・消費税増税の直前となるが、周辺で話を聞く限り、特に高額の商材を購入する予定はないとのことであった。ただ、２～３月にかけて、夏のボーナスでの一括払いによる購入を検討するとの意見はあった。いずれにしても、現在のところ、景気の回復感がないため、就職、進学の時期ではあっても、売上増加につながる要因はみられない。
,,□,一般小売店［土産］（経営者）,・全道的な大雪のため、排雪のための重機が不足しており、除雪作業に追われることが多い。また、灯油価格の高止まり、４月からの消費税増税といったことを懸念して、消費ムードが非常に悪くなっている。多くの客からは、消費税増税を行うのは１年早かったのではないかとみており、現政権の経済対策の効果が薄れることを懸念する声が多く聞かれる。
