Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・商店街のメンバーに聞いても、前年と比べて客の笑顔が圧倒的に戻っているようであり、景況感は改善されている。消費税増税から３か月後の動向が重要だとみているが、この時期に回復がみられれば一安心である。また、夏のボーナスが増加との報道があることも好転に向けてのチャンスとなる。
,,◎,乗用車販売店（従業員）,・２～３か月後には、消費税増税の影響による落ち込みから間違いなく抜け出している。
,,◎,観光名所（従業員）,・来客数が前年を上回る傾向が続いており、この勢いが衰える要因が見当たらない。また、７～８月は当地に７万トン級や11万トン級の豪華客船が毎週のように寄港するため、このことがさらなるプラス要因となる。
,,○,商店街（代表者）,・消費税増税の影響がほとんどなくなっているため、今後は消費の回復が見込める。
,,○,商店街（代表者）,・夏祭りのシーズンであり、地元客及び観光客の来街が増加し、お土産、交通関連、ホテル、食関連などの業種で売上増加が見込める。また、最近の傾向として、外国人観光客は比較的長い期間で旅行日程を組んでいることが多いため、長期滞在の結果として、特に観光関連や飲食関連、夜型の飲食店での売上増加が期待できる。
,,○,一般小売店［土産］（経営者）,・消費税増税がどれだけ影響を及ぼすかと懸念していたが、ほとんど売上には影響がなかった。これは、当店が昆布専門店ということで固定客が多かったことに加えて、現政権の経済対策によるムードのおかげだとみている。今後、当地において、日本人観光客が増加することになれば、現政権の経済対策の成功と捉えることができる。
,,○,百貨店（売場主任）,・季節が変わるため、新たに季節商材を購買する動きが生じることになる。日々の来客数も若干ではあるが回復傾向にある。
,,○,百貨店（売場主任）,・７月のセール時期から売上が回復するとみている。
,,○,百貨店（販売促進担当）,・来月以降、景気は少しずつ回復し、８月までには元の水準まで戻るとみている。ただし、冷夏の予想も出ており、予断を許さない状態であることに変わりはない。
,,○,スーパー（店長）,・消費税増税の影響を受けた商材の動きは厳しいが、浴衣や水着など、増税の影響を受けなかった商材の動きが良いため、今後についてはやや良くなる。
,,○,衣料品専門店（経営者）,・これからの季節に合わせて販売する商材については、夏にかけての毎週のイベントで集客でき、客のニーズにこたえることで販売につながると期待している。また、各企業への踊り浴衣の納品などもあり、今後は忙しくなる。
,,○,家電量販店（経営者）,・消費税増税前の駆け込み需要の反動減も７月ないし８月には回復する。
,,○,家電量販店（地区統括）,・消費税増税前の駆け込み需要の反動は月を追うごとに軽減される。また、サッカーワールドカップなどの影響で大型テレビの需要も高くなる。
,,○,乗用車販売店（従業員）,・市場が落ち着くため、今後についてはやや良くなる。
,,○,乗用車販売店（役員）,・客足が戻ってきていることから、今後についてはやや良くなる。車検や点検、整備などのサービス入庫も回復に向かうことになる。
,,○,自動車備品販売店（店長）,・今後、消費は良くなる。ただ、消費税増税前の駆け込み需要の反動が落ち着いてくることによる反応であり、景気そのものが良くなってきているとは感じられない。
,,○,観光型ホテル（スタッフ）,・Ｗｅｂ旅行代理店による予約が好調に推移しているため、今後についてはやや良くなる。近隣アジアからの航空便が増便を予定していることも追い風となる。
,,○,旅行代理店（従業員）,・管内の天候が安定しており、農業関係団体などによる団体需要がけん引することになる。
,,○,旅行代理店（従業員）,・出発日が先の商品に対する問い合わせが増えてきているため、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・客の活気を感じるようになってきたため、今後についてはやや良くなる。
,,○,タクシー運転手,・６月以降、当地ではお祭りなどのイベントがあるため、タクシー利用が増えることになる。
,,○,通信会社（企画担当）,・夏の新商品に対する客の予約が想定を超えているため、今後についてはやや良くなる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・消費税増税の影響が収まってくることに加えて、観光のシーズンがピークを迎えるため、今後についてはやや良くなる。
