Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・今後については新型コロナウイルス感染拡大の影響も少しずつ薄れてくる。世の中的にも経済重視の方にかじを切ることになることから、前年と比べるとかなりの客がこの２～３か月で動いてくる。マスコミの報道内容などによっては冷え込むことも考えられるが、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンがゴールデンウィーク前後に再開されることになれば、ムードを変える起爆剤になると期待している。
,,◎,旅行代理店（従業員）,・道民割や各自治体による需要促進策により、これまで抑制されていた観光需要が急速に回復することになる。ゴールデンウィークの日並びも良いため、今後の北海道観光の活性化が期待できる。
,,◎,観光名所（従業員）,・新型コロナウイルスの感染動向や国際情勢など、不透明な情勢はあるにせよ、道や自治体の各種施策を利用した客層が増えてきていることは間違いないことから、この先に控えている国の大規模キャンペーンなどによって人の動きが加速し、観光入込が大きく上向くことを期待している。
,,○,商店街（代表者）,・まん延防止等重点措置が解除されたことで、商店街への来街者、来客数が増えている。飲食店も通常どおりの営業に戻り、売上も徐々に回復している。
,,○,商店街（代表者）,・まん延防止等重点措置などの規制が行われず、物価が落ち着いて推移すれば、今後の来街者や旅行者数の増加が見込めるため、飲食店や土産店、交通関係などでは売上アップが期待できる。ただ、外的要因によって左右される面が多いなど、不確定な要素も多々ある。
,,○,一般小売店［土産］（経営者）,・新型コロナウイルスも３年目に入り、家に閉じ籠もるばかりでは人間性が維持できなくなるという声も聞こえてくる。実際に１～２年前と比べると1.7倍くらいの売上がみられることから、今後の景気はやや良くなる。
,,○,一般小売店［酒］（経営者）,・今後については、飲食店に対する規制などが発動されない限り、徐々に売上が回復することになる。
,,○,百貨店（売場主任）,・前年の５～６月は新型コロナウイルスの影響で土日を店舗休業していたため、２～３か月後の景気は前年よりも良くなる。ただし、ここに来て新型コロナウイルス新規感染者数が前週を上回ってきていることから、今後、まん延防止等重点措置が再び適用されないか心配である。
,,○,百貨店（販売促進担当）,・季節が進み、北海道でも気温の上昇とともに人出が増えることになる。新型コロナウイルスの新規感染者数が落ち着いてきたこともあり、今後については来街者がますます増え、それに伴って客の来店も増加することになる。
,,○,百貨店（営業販促担当）,・現在の感染状況が落ち着き、人の動きが活発になってくることで、旅行、出張、式典関係などが回復し、それに付随する商材にも動きが出てくることになる。
,,○,スーパー（店長）,・前年はゴールデンウィーク後から６月半ばまで、まん延防止等重点措置又は緊急事態宣言が出ており、専門店において営業時間短縮などの制限が生じていたため、景気は確実に前年よりも上向くことになる。ただ、新型コロナウイルス発生前の水準までは戻らないとみられる。
,,○,スーパー（企画担当）,・春の行楽シーズンを迎えるなか、インフレ傾向が強まることで客の行動が限定的になるとみられるため、食品小売業にとっては好材料となりそうだ。
,,○,コンビニ（エリア担当）,・新型コロナウイルスの感染状況にもよるが、まん延防止等重点措置が解除されたことで、今後、客の動きが少しは活発になる。
,,○,高級レストラン（スタッフ）,・新規感染者数が増加しなければ、少しずつではあるが売上の増加が見込まれる。
,,○,高級レストラン（スタッフ）,・まん延防止等重点措置が解除されたことで、週末は観光客を含めて人出が増えてきている。桜の開花、ゴールデンウィークを控えていることから、今後、新型コロナウイルス新規感染者数が増加しなければ、人出がますます増加することになる。さらに、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーン、道民割などの景気対策が動き出せば、景気拡大につながっていく。
,,○,スナック（経営者）,・景気はこれから少しずつ良くなる。
,,○,旅行代理店（従業員）,・ワクチンを始めとした感染対策によって、新型コロナウイルスが徐々に終息に向かうとみられる。ただし、ウクライナ情勢など、別の要因による景気減退も心配される。
