Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,－,－,－,
,,○,一般小売店［土産］（経営者）,販売量の動き,・11月の売上は前年比で146％、前々年比で166％、新型コロナウイルス感染症発生以前の2019年比で89.6％まで回復してきた。これは全国旅行支援が開始されたことの効果とみられる。,
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス感染症発生前の水準を考えるとまだまだではあるものの、インバウンドを含めて旅行客による購買が増えている。,
,,○,スーパー（役員）,お客様の様子,・新型コロナウイルス感染症の第８波の影響で内食需要が高まっている。特に手間を掛けずにすぐ食べることのできる総菜の売上が増加している。,
,,○,衣料品専門店（経営者）,販売量の動き,・客の動きがアフターコロナを意識したものになっている。,
,,○,乗用車販売店（従業員）,販売量の動き,・３か月前と比べると、メーカーの生産台数が多少増えているため、登録台数も僅かではあるが増えている。,
,,○,乗用車販売店（従業員）,販売量の動き,・新車の納期が遅れていることが客に浸透してきたこと、新型車の発表があったことから、客が車の購入を早めに考えるようになっており、受注状況がやや良くなっている。,
,,○,旅行代理店（従業員）,来客数の動き,・全国旅行支援が開始されたことで、個人旅行、団体旅行が増加している。11月の航空機利用者は2019年の９割超まで回復している。国際線についても、水際対策が10月から緩和されたこと、台湾や香港の渡航規制が緩和されたことで、冬季スケジュールからアジア路線が再開しており、外国人観光客も徐々に増えている。,
,,○,旅行代理店（従業員）,販売量の動き,・人流を抑制するような制限がないことから年末年始の旅行需要が増えている。,
,,○,観光名所（従業員）,来客数の動き,・全国旅行支援真っただ中の当地では、連日、クーポンを握りしめた客でにぎわっている。当施設の利用者数も例年の８割程度まで回復している。これまで控えていた消費行動をここぞとばかりに行っている雰囲気もうかがえる。,
,,□,商店街（代表者）,来客数の動き,・来客数、販売量は増えているものの、客単価がなかなか上昇してこない。,
,,□,一般小売店［土産］（経営者）,来客数の動き,・全国旅行支援による下支えはあるものの、北海道の新型コロナウイルスの新規感染者数が増えているというニュースが多いため、９月や10月と比べると11月の来客数は若干勢いに欠けている。若い世代は活発に動いているが、年配者が少なくなっている。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・11月に入り、新型コロナウイルスの新規感染者が過去最多を更新していることもあって、人の動きにブレーキが掛かっており、飲食店もその影響を大きく受けている。酒の納入業者である当社においても大きな影響が出ている。,
,,□,一般小売店（経営者）,販売量の動き,・物価高の影響で客単価は上昇しているが、その分来客数が減っている。売上としては余り変わりない状況にある。,
,,□,百貨店（売場主任）,来客数の動き,・国内客の消費は物価高の影響もあり、平行線かやや下向きで推移しているが、インバウンドによる消費が週を追うごとに伸びている。円安の影響もあってインバウンドの購買意欲が高まっている。,
,,□,スーパー（店長）,それ以外,・新型コロナウイルスの感染状況によって良くなったり、悪くなったりを繰り返している。客のマインドとしてコロナ慣れの傾向はみられるが、それでも感染状況に左右されているため、結果として景気は変わらない状況にある。,
,,□,スーパー（店長）,来客数の動き,・原価高騰に起因する商品単価の上昇もあって、売上は前年並みの水準で推移している。しかしながら、北海道において新型コロナウイルス感染症の第８波といわれるような感染拡大が続いていることで、客が総合スーパーを避けて食品スーパーに流れる傾向がみられ、来客数がなかなか伸びてこない状況にある。,
,,□,コンビニ（エリア担当）,単価の動き,・３か月前と比べて、景気は変わっていない。ただ、この先は来客数の減少が免れないため、客単価を引き上げていくことが求められる。また、来店してもらうための施策を展開し、来店機会を増やしていくことも必要である。,
,,□,コンビニ（エリア担当）,お客様の様子,・商品単価の上昇もあって、売上は維持できているが、光熱費や人件費などの営業経費が増えている。客の生活防衛による買い控えの動きが強まることも懸念される。,
,,□,衣料品専門店（エリア担当）,お客様の様子,・消費全体としては上向きになっているが、物価上昇の影響で衣料品への支出が抑えられている。また、冬らしくない天候の日が続いていることで冬物衣料の販売動向が芳しくない。,
,,□,乗用車販売店（従業員）,販売量の動き,・販売面については、９月頃から目標が達成できており、12月は全店で目標を達成するなど、順調に上向いている。ただし、サービス来場の減少、客単価の低下など、苦戦している状況もみられることから、全体的には変わらない。,
,,□,自動車備品販売店（店長）,お客様の様子,・新型コロナウイルス感染症の状況に落ち着きがみられるようになってきたが、生活全体的に値上がりの波が押し寄せるなど、物価上昇の動きが強まっている。客も来店はするが、購買に至らないことが増えている。,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高騰していることで、客の節約志向が強まっている。販売価格に対しても敏感である。,
,,□,その他専門店［造花］（店長）,お客様の様子,・季節のイベントなどもあって需要は安定している。ただ、仕入商材の価格高騰がいまだに続いており、利益が減少している。今後も値上がりが続くとみられることから、厳しい状況にある。,
,,□,高級レストラン（スタッフ）,販売量の動き,・10月まで売上は増加傾向にあったが、11月に入り新型コロナウイルスの新規感染者数が急増すると同時に、来客数が落ち込み始め、売上も減少している。昼の落ち込みは少なかったが、夜の落ち込みが大きく、特に年齢の高い層の来店が減っている。ただ、月全体の売上は例年の50％を超えるとみられることから、景気は３か月前と変わっていない。今後についても、ディナーや忘年会の予約が低調なことから、期待が持てない。世間的にクリスマスケーキの予約が増えていることもマイナスである。観光客は一時増えたが、今は落ち着いており、今月の当店には余り影響がなかった。地方の飲食店については、観光客が訪れるような活気のある街では、混んで予約を取りにくい店もあるなど、割と景気が良さそうだ。,
,,□,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルスの感染拡大が続いているものの、来客数が大きく減少するような動きはみられない。ただ、物価上昇の影響が少しずつみられるようになっている。,
,,□,観光型ホテル（スタッフ）,来客数の動き,・10月から始まった全国旅行支援の影響は大きいが、これまで都道府県と市町村による２つの割引が適用されていたものが全国で１つの割引になったこと、既存の予約にも割引が適用されたことから、新規の予約が伸びにくい状況であった。そのため、景気が良くなったとも悪くなったとも言いにくい状況である。,
,,□,旅行代理店（従業員）,販売量の動き,・新型コロナウイルス感染症の第８波の影響がみられ始めていること、国の施策に大きな変化がみられないことから、景気が上向く気配がない。,
,,□,タクシー運転手,来客数の動き,・新型コロナウイルスの新規感染者数の増加に伴って、客の動きにも変化がみられる。日中の病院関係者による増える一方で、イベント関係での利用が減っており、全体的には変わらない状況にある。,
,,□,タクシー運転手,来客数の動き,・ここのところ観光客が回復しつつあるが、当社への影響はまだはっきりとしていない状況にある。今後の動きを注視していきたい。,
,,□,通信会社（企画担当）,販売量の動き,・通信サービスにおける他社への流出は若干減少しているものの、通信端末の契約を伴わないＳＩＭカードのみの契約で他社との割引合戦が激化しており、競合他社との競争の激しさは変わっていない。,
,,□,通信会社（エリア担当）,それ以外,・携帯キャリアの戦略による影響がみられる。,
,,□,美容室（経営者）,来客数の動き,・11月に入り、新型コロナウイルスの新規感染者数が増えているが、以前とは異なり、来客数や売上に変化が出ていない。最近は新型コロナウイルスの新規感染者数に余り左右されないようになっている。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームに来訪する客の購入意欲は相変わらず高く、意思決定に要する時間も短い。,
,,▲,商店街（代表者）,お客様の様子,・客の声として、物価上昇の影響が大きく、家計のやりくりが大変だという話を聞くことが多い。,
,,▲,商店街（代表者）,お客様の様子,・ようやく経済状況が上向いてきたところであったが、新型コロナウイルスの新規感染者数の増加とともに大きく後退し始めた。特に年配客の動きが顕著で、11月上旬から街中で見掛けなくなってきた。また、大人数の宴会予約もキャンセルが続出している。特に忘年会シーズンである12月のキャンセルが多く、飲食業界にとって深刻な影響が出てくることを懸念している。,
