Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,来客数の動き,・まん延防止等重点措置が解除されたことで来街者が増え、人の動きが活発になってきた。
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は前年比で181.2％、前々年比で168.2％となっている。新型コロナウイルス発生前の2019年と比べると42.1％にとどまっているものの、上向いてきている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・まん延防止等重点措置が解除された22日以降、売上が急回復している。ただ、３月全体としては前年比50％ほどの売上にとどまっている。
,,○,百貨店（売場主任）,来客数の動き,・３月中旬以降、来客数が前年を超えるようになってきている。まん延防止等重点措置が３月21日で解除されたこと、気温が平年を上回る温暖な日が続いていることが客の外出意欲につながっている。売上についてみると、特選や宝飾時計などの高額商材の動きが良い。
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス新規感染者数の減少に伴って、まん延防止等重点措置が全国的に解除されたことから、来街者、来店者が増加している。
,,○,スーパー（店長）,それ以外,・１～３月は新型コロナウイルスオミクロン株の感染拡大に伴って、まん延防止等重点措置が適用されたことで客足が鈍っていたものの、まん延防止等重点措置が解除されたことで徐々に来客数が戻り始めている。
,,○,コンビニ（エリア担当）,お客様の様子,・値上げを含めて商材単価が上がっていることで、客が一度に購入する買上点数が増えていることがプラスとなっている。
,,○,コンビニ（エリア担当）,お客様の様子,・まん延防止等重点措置が解除されたことで、客に動きが出ている。
,,○,衣料品専門店（店長）,販売量の動き,・経済活動再開の兆しを受けて、衣替えや新社会人のスーツ需要が２年ぶりに回復したことが大きな要因となり、景気はやや良くなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・まん延防止等重点措置が解除されたことで、僅かではあるが来客数が増えつつある。
,,○,高級レストラン（スタッフ）,来客数の動き,・これまで時短営業、休業を余儀なくされていたが、まん延防止等重点措置が解除されたことから、通常営業に戻した。ランチの利用客がやや増えているほか、週末には満席になり、待ちの客がみられるようになるなど、景気はやや良くなっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・まん延防止等重点措置の解除に伴って、来客数が緩やかな回復基調にある。
,,○,旅行代理店（従業員）,お客様の様子,・まん延防止等重点措置が解除されたことで、街中に少し活気が戻ってきた様子がみられる。また、今後の客の予定などをみても、新型コロナウイルスがある程度終息に向かうことを前提とした話が多くなってきた。
,,○,旅行代理店（従業員）,来客数の動き,・まん延防止等重点措置の解除に伴って、道民割が再開されたこともあり、来客数や問合せ件数が増えてきた。
,,○,旅行代理店（従業員）,販売量の動き,・北海道のまん延防止等重点措置が解除されたことで、道内の宿泊及び道外への人流が増加に転じた。ただ、水準としては、新型コロナウイルス発生前の20～30％での推移となっている。
,,○,タクシー運転手,販売量の動き,・まん延防止等重点措置期間も終了し、売上も少しずつ上向いてきているが、従前の売上には届いていない。人流も感染への警戒感が強いことから、以前のようになるにはしばらく時間が掛かることになる。
,,○,通信会社（企画担当）,販売量の動き,・廉価版通信端末の売上が冬に比べて好調で全道で大きく販売量を伸ばしている。ただ、競合他社も同じ通信端末の売上を伸ばしており、量販店や出張販売において客の取り合いになっていることから、引き続き動向を注視している。
,,○,観光名所（従業員）,来客数の動き,・３か月前は利用者数が1000人以下だったが、３月は1000人台後半へと回復している。ただ、新型コロナウイルス発生前は冬季において１日平均3000人の来客数があり、それに比べればまだまだ来客数は少ない。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・北海道のまん延防止等重点措置が解除されたことから、徐々にではあるが、輸送量が戻ってきている。
,,□,商店街（代表者）,単価の動き,・客の様子をみると、新型コロナウイルスとウクライナ情勢のことを気に掛けているようであるが、景気には何も影響が出ていない。
,,□,商店街（代表者）,来客数の動き,・まん延防止等重点措置が解除されたものの、依然として来街者数の増加を確認できない。水曜日や週末の土日に区域を訪れる客の数は、昼夜共に激減したままである。また、ウクライナ情勢の影響によって物価が徐々に上昇している影響もあり、地域住民の足は遠のいたままである。
,,□,商店街（代表者）,お客様の様子,・まん延防止等重点措置が３月21日をもって解除される報道が前の週から出ていたことで、19日の３連休から徐々に人通りが増えており、現在もその傾向が続いている。就職や新入学のシーズンであることから、関連業界の売上は増加している。一方、酒類を提供する飲食店は、１次会需要こそ徐々に回復傾向にあるものの、２次会については依然として客が戻っていない。終電までに帰宅する習慣ができあがっていることでタクシーも閑散としている。客に染み付いた習慣を戻すことは容易ではないことがうかがえる。
,,□,一般小売店［土産］（経営者）,来客数の動き,・まん延防止等重点措置が全面的に解除されたこともあって、修学旅行が延期となった学生が春休みを利用して当地を訪れる姿が目立つ。また、卒業旅行のような小グループの旅行客も増えている。ただ、年初の帰省客と現在の旅行客の全体的な数は余り変わっていない。
,,□,百貨店（マネージャー）,来客数の動き,・まん延防止等重点措置が３月21日まで続いていたこともあり、来客数の前年比の推移は１月が前年比93％、２月が前年比89％、３月が26日現在で前年比93％となっている。景気について、新型コロナウイルス新規感染者数に左右される傾向がみられ、上向きとも下向きともいえない状況にある。
,,□,スーパー（店長）,来客数の動き,・年末も来客数が伸びていたため、景気は良い意味で変わらない。衣料品は前年並みにとどまるが、携帯電話やインテリア関連など、新生活用品が好調に動いている。
,,□,スーパー（役員）,お客様の様子,・客の買物の様子をみると、これまではカップ麺など、巣籠りのためのまとめ買いが多かったが、最近はケチャップ、マヨネーズ、パスタ、ティッシュペーパーなど、値上げ前の商材を生活防衛のためにまとめ買いする傾向に変化している。
,,□,コンビニ（エリア担当）,来客数の動き,・前年と比べて来客数が増加している。２年前と比べても同様の伸びがみられる。ただ、新型コロナウイルスの影響がなかった３年前と比べると、客足が完全に戻ったともいえない状況である。
,,□,家電量販店（店員）,販売量の動き,・新入学需要などの大きな波はみられなかった。当地の新規感染者数が下がりきらないため、客が警戒している。
,,□,乗用車販売店（従業員）,販売量の動き,・決算期である３月としては販売台数に物足りない面がある。ただ、前月まで好調だったことから、需要を先取りしてしまった影響も考えられる。そのため、全体的な景気は変わらないというのが正直なところである。また、ウクライナ情勢の影響で部品の供給体制にも影響が出始めている。
,,□,乗用車販売店（従業員）,販売量の動き,・メーカーの半導体不足の影響で半年以上前に受注した納期遅れの車両が入庫してくるタイミングによって売上が若干増減している。一方、受注についてはそれほど多くないため、余り変化はみられない。
,,□,自動車備品販売店（店長）,来客数の動き,・来客数に大きな変化のみられない状態が続いている。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が引き続き高値で推移しており、販売量の厳しい状況が続いている。
,,□,高級レストラン（スタッフ）,販売量の動き,・まん延防止等重点措置が適用されていた３月21日までの売上は例年の４割以下であり、解除後も５割を超えるかどうかであり、景気はやや悪い。当てにしていた歓送迎会などの団体客もごく僅かであった。いかにして例年並みの売上に近づけていくかが、これからの目標となるが、悲しくも材料の値上げについての連絡がたくさん届いている。まともに原価計算すると採算が合わないが、値上げは当分厳しい状況である。
,,□,スナック（経営者）,来客数の動き,・まん延防止等重点措置が解除されてから、まだそれほど日にちはたっていないが、少しずつ客が戻りつつある。景気はこれから少しずつ良くなるとみられる。
,,□,タクシー運転手,来客数の動き,・３月上旬は雪の日が多く、タクシーの注文も多かった。しかし、市内の除排雪が遅れていることで、多くの車が雪に埋まるなどしており、輸送効率が悪く、売上増加とはならなかった。中旬以降は道路状況が良くなったこと、まん延防止等重点措置が３月21日で解除されたことから、夜の人出も回復し、タクシー１台当たりの売上は前年比プラス20％ほどとなった。ただ、乗務員不足の影響でタクシーの稼働が前年より20％減ったことから、会社の売上は前年並みとなった。新型コロナウイルス発生前と比較するとマイナス40％と大きな減収が続いている。
