Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,百貨店（売場主任）,来客数の動き,・３年ぶりに行事や催事などへの需要が多くみられる。,
,,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・前年と比較して輸送量が大幅に増加している。今後についても期待が持てる。,
,,○,商店街（代表者）,来客数の動き,・まん延防止等重点措置の解除以降、徐々に来街者、来客数が増えている。,
,,○,商店街（代表者）,来客数の動き,・ゴールデンウィークに遠出しなかった人が多く、街中は比較的多くの客でにぎわった。ただし、客の購買意欲は低く、天候が崩れたせいもあって、予想ほど売上が伸びなかった。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・新型コロナウイルスの第６波の沈静化に伴って売上も回復傾向にある。ただ、まだ本来の状況にはなく、そこまで戻るには時間が掛かりそうだ。,
,,○,百貨店（営業販促担当）,単価の動き,・衣料品、服飾雑貨などに動きが出てきた。単品ではなくセットアップでの購入が増えていることで客単価も上向いている。,
,,○,百貨店（マネージャー）,来客数の動き,・来客数の動きをみると、２月が前年比89％、３月が前年比92％、４月が前年比93％、５月が26日時点で前年比92％となっており、余り変わりなく推移している。一方で、買上客数は２月が前年比96％、３月が前年比97％、４月が前年比109％、５月が26日時点で前年比112％と徐々に回復しつつある。,
,,○,スーパー（店長）,来客数の動き,・新型コロナウイルスへの理解が深まっていること、感染対策としての規制が緩和されつつあることから、景気はやや良くなっている。,
,,○,スーパー（店長）,販売量の動き,・前年はまん延防止等重点措置や緊急事態宣言があった月であり、それと比較すると衣料品や化粧品、トラベル用品などの動きが顕著となっている。食品はまとめ買いが減ったことで客単価が低下しているが、来客数が増えていることで売上は伸びている。,
,,○,スーパー（役員）,お客様の様子,・ゴールデンウィーク期間を中心に観光客や帰省客による需要が増加しており、活発な商戦となった。,
,,○,コンビニ（エリア担当）,単価の動き,・観光客の数はそれほど変わらないが、蓄電池、送電線、風車などの工事関連の動きが活発化していることがプラスとなっている。,
,,○,コンビニ（エリア担当）,販売量の動き,・人の動きが出始めており、前年並みの水準まで売上が回復している。,
,,○,衣料品専門店（店長）,来客数の動き,・客の買物の様子をみると、欲しくて購入するというよりも活動するために買うという傾向が強くみられる。周りが動き始めていることで、売上も徐々に改善している。,
,,○,自動車備品販売店（店長）,それ以外,・新型コロナウイルスの感染対策の緩和により人流が増加している。客と談笑しながら旅行の計画などを聞く機会も増えている。自社には直接関係ないが、経済的に良い方向に進んでいることがうかがえる。,
,,○,高級レストラン（スタッフ）,販売量の動き,・ゴールデンウィーク期間中は思ったほど来客数が増えなかったが、新型コロナウイルス発生前の６～７割の水準まで回復している。ただ、昼は良いが、夜が芳しくない。ＳＮＳにおいてレストラン料理の画像が増えていることから、集客増への期待も膨らんでいるが、所得の高そうな客の動きは低調である。スタッフ人員は不足しているが、旅館やホテルにおいて宿泊人数などを制限して自粛営業している状況をみると人員を増やしにくい面がある。,
,,○,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルス新規感染者数が高止まりしているなか、感染防止に注意しつつ、行動制限が徐々に緩和されていることから、景気はやや良くなっている。,
,,○,高級レストラン（スタッフ）,来客数の動き,・ゴールデンウィーク前から桜が開花したこともあって人出が増加している。新型コロナウイルス新規感染者数は高止まりしているものの、これまでのような移動規制もなく、週末、祝日には待ち時間が出るような状況にある。,
,,○,旅行代理店（従業員）,来客数の動き,・行動制限が緩和されたことで航空機利用者が増加傾向にある。ただ、新型コロナウイルス発生前の水準に届かない状況が続いている。コロナ禍のなか、旅行需要が蓄積されているはずだが、再三、感染拡大が繰り返されていることから警戒感も根強い。,
,,○,旅行代理店（従業員）,お客様の様子,・今までが悪かった分、ようやく動きが出てきた。屋外でのマスク着用方針の見直しなど、政府の指針に伴って雰囲気が変わりつつある。,
,,○,旅行代理店（従業員）,来客数の動き,・まん延防止等重点措置の適用や人流抑制もないことから、客の旅行ムードが高まっている。これまで２年間旅行を我慢してきた客層が動き始めている。,
,,○,旅行代理店（従業員）,販売量の動き,・旅行の問合せ数が増加している。ただ、予約に結び付かないケースも散見される。旅行したいという熱量は感じるものの、もう少し様子見するという客層もいまだ多い。予約数は４月から横ばいでの推移となっている。,
,,○,タクシー運転手,来客数の動き,・５月のタクシー１台当たりの売上は新型コロナウイルス発生前の2019年とほぼ同じ水準にまで回復し、前年比は大幅なプラスとなった。ただ、この２年間で高齢化とコロナ禍の影響で乗務員が30％減り、タクシーの稼働が低下しており、会社の売上は新型コロナウイルス発生前と比べると30％減少している。,
,,○,観光名所（従業員）,来客数の動き,・３か月前は利用者が数百人単位であったが、現在は千人単位まで回復している。ただ、新型コロナウイルス発生前の水準と比べればまだまだである。,
,,○,美容室（経営者）,来客数の動き,・道民割での宿泊旅行が増えていること、各種サークルの活動が再開されていることなどから、以前よりも人の動きが活性化している。それに伴って、客の来店頻度も短くなっており、来客数及び売上が増加している。,
,,○,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスが収束し、観光客や飲食店などの客が徐々に増えていることから雰囲気が良くなっている。ただ、資材高、金利高などで住宅業界の業績は頭打ちになっている。,
,,□,商店街（代表者）,来客数の動き,・様々な規制も解除され、経済の回復に向けた動きが様々な業種で出始めているなか、当地域においても車両の交通量が増加している。ただ、有料駐車場の利用状況や人流は、依然として昼夜間共に増加していない。当地域での勤務者からも、旅行にも出掛けない、来街もしないという客が多いという情報を得ている。景気は悪い状態のまま推移している。,
,,□,百貨店（販売促進担当）,来客数の動き,・ゴールデンウィーク期間中は来客数が大幅に増加したが、その後は新型コロナウイルス新規感染者数が高止まりしていることも影響し、横ばいでの推移となっている。,
,,□,コンビニ（エリア担当）,単価の動き,・小売業界としてはさほど変化がみられない。売場や客の動きからもそのようにみえる。ただ、ウクライナ情勢の影響で物価の上昇が見込まれるため、今後は不安定な状況になるのではないかと懸念している。,
,,□,家電量販店（店員）,来客数の動き,・５月前半は客足が鈍かったものの、後半は新型コロナウイルス新規感染者数の減少に伴って、少しずつ客足が戻っている。一方、海外のロックダウンの影響で部品不足が生じていることで家電もあらゆる分野で商材の動きが鈍くなっており、販売に時間が掛かるようになっている。,
,,□,乗用車販売店（従業員）,販売量の動き,・販売量が増減なく推移しており、低レベルで安定している状況が続いている。,
,,□,乗用車販売店（従業員）,販売量の動き,・前月に引き続き上海のロックダウンの影響によるメーカーの生産遅れがみられる。予定どおりに納車できないため、売上が立たない状況にある。また、納期が遅くなっていることで客の購買意欲も損なわれている。,
,,□,スナック（経営者）,来客数の動き,・新型コロナウイルスの感染状況が落ち着き、マスクに対する世の中の反応もそれほどうるさくなくなってきたが、客の来店状況は非常に悪い。これからどのような状態に向かっていくのかさっぱり分からない。,
,,□,観光型ホテル（経営者）,来客数の動き,・グリーンシーズンに入り、本来であれば本州からの客が増えてくる時期だが、冬季シーズンと同様に予約が伸びてこない。現状、東北地域とのブロック割はほとんど効果がなく、道民割も需要が一巡したことで人が動かない苦しい状況となっている。早期にＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンを実施してもらわないと、夏の旅行シーズンの予約開始には間に合わない。人流抑制３年目を迎えているが、2020年秋以降、観光産業への経済対策が何１つなされていないことに憤りを感じる。限界が近い。,
,,□,タクシー運転手,来客数の動き,・イベント関連での予約キャンセルは減少したものの、全体的な来客数は変わっておらず、変化がみられない。,
,,□,タクシー運転手,来客数の動き,・３か月前と比べて景気は変わらない。まん延防止等重点措置が解除された後も客の動きは鈍く、来客数が余りみられない状況が続いている。これからも同じような状況がしばらく続くとみられる。,
