Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,来客数の動き,・来客数が徐々に増えており、それに伴って売上も上向いてきている。
,,○,スーパー（企画担当）,販売量の動き,・前年10月中旬から人流の回帰傾向が続いていたが、１月中旬以降の新型コロナウイルスオミクロン株の大流行に伴い、再び巣籠り傾向に変化している。それに伴って、来客数が落ち込んでいるものの、買上点数は増加傾向となっている。
,,○,スーパー（企画担当）,競争相手の様子,・飲食店の利用が活発化している。また、同業者の新規出店もみられ、生活者が店舗を使い分けている様子もみられる。
,,○,スーパー（役員）,販売量の動き,・新型コロナウイルスオミクロン株の感染拡大により小学校などの休校が相次いでいる。昼食需要として冷凍食品、カップ麺、菓子パンなどが急に売れ出した。
,,○,乗用車販売店（従業員）,販売量の動き,・例年冬場は厳しくなる時期だが、人気車種の新型車が発売されるなど、売れる車があるため、台数の落ち込みをカバーできている。会社全体で目標販売台数を達成しており、景気は上向きとなっている。
,,○,乗用車販売店（従業員）,販売量の動き,・３か月前は自動車メーカーの生産台数が落ち込んでいたことで、受注量も納車による売上も減少していたが、現在は回復している。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・新型コロナウイルスの影響が長引いているが、良い意味での慣れが客にみられるようになっている。健康状態を維持しようという客の意識が強く、１月の経営指標はここ３年同じような数値で推移しており、明るさが感じられる。
,,□,商店街（代表者）,お客様の様子,・客との会話で新型コロナウイルスの話題がたくさん出てくることから、景気は決して良い状態ではない。
,,□,商店街（代表者）,来客数の動き,・１月に入り、新規感染者数が増加していることで警戒感が強まっている。新年会などの中止を決定する事業所も多くみられ、夜に外出する来街者も少ない状況にある。また、灯油の高止まりが改善されないことで、昼間においても客の出控え傾向が継続している。
,,□,一般小売店［土産］（経営者）,販売量の動き,・当社は観光地にあり、冬休みや正月休みは帰省客が増えたにもかかわらず感染拡大の動きなどもみられず、好調であった。ただ、成人式をきっかけに感染拡大が生じており、その状況は目に余るものとなっている。
,,□,百貨店（営業販促担当）,来客数の動き,・新型コロナウイルスオミクロン株の感染拡大に伴い、１月中旬以降来客数が減少傾向にある。１月27日からまん延防止等重点措置が適用されたことで、来客数はますます減少するとみられる。年末年始の売上や年配客の動きは回復傾向にあったが、現在はストップが掛かった状態となっている。
,,□,衣料品専門店（店長）,販売量の動き,・正月商戦は前年よりも若干にぎわいを取り戻し、その後も新生活準備での稼働がみられたが、一般客の買上が相変わらず渋い。前年と違うことは成人式と新生活の動きがあった程度である。
,,□,家電量販店（店員）,来客数の動き,・１月前半は例年どおりの客足がみられたが、後半は激減している。
,,□,乗用車販売店（経営者）,販売量の動き,・新型車が発表され、メーカーにおける車の増産体制が決まった途端、新型コロナウイルスの感染再拡大と半導体不足による工場の稼働停止による減産が生じ、売上につながらない状況となっている。影響は中古車販売にも広がり、収益が低下している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格の高値が続いていることで、客の節約志向が強まっている。
,,□,旅行代理店（従業員）,それ以外,・景気が良くなってきたと思いきや、あっという間に第６波が拡大したことで、以前の悪い状態に戻った。
,,□,旅行代理店（従業員）,それ以外,・新型コロナウイルスオミクロン株の感染拡大の影響がみられる。
,,□,美容室（経営者）,来客数の動き,・現在新型コロナウイルスの感染状況が悪化しているが、来客数及び売上は減少してない。以前のように新規感染者数の増減で売上の変化が起きない状況となっている。
,,□,美容室（経営者）,販売量の動き,・売上は前月よりも落ち込んでいるが、前年並みの水準を保っている。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・悪天候による欠航の影響もあるが、新型コロナウイルスの感染再拡大の影響が続いていることもあり、景気はそれほど変わっていない。
,,▲,商店街（代表者）,販売量の動き,・全体的に輸出入の動きが鈍化している。また、原油や原材料費の高騰も続いている。食品業界においては今年の春節が前年と比べて早くなったことの影響もみられる。
,,▲,百貨店（売場主任）,来客数の動き,・新型コロナウイルス新規感染者数が再び増加した影響により、来客数が減っている。１月上旬まで好調だった売上が中旬以降落ち込んできている。
,,▲,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス新規感染者数の増加に伴い、来客数、買上客数の減少が顕著になっている。この状況はしばらくの間続くことになる。
,,▲,百貨店（マネージャー）,来客数の動き,・来客数の前年比をみると、10月が95％、11月が95％、12月が91％となっており、前年から若干のマイナスで推移していたものの、１月は19日まで前年以上の来客数で推移していた。しかしながら、新型コロナウイルスの感染拡大に伴い、１月20日以降は来客数が大きく減少している。１月25日現在の来客数は前年比97％となっている。
,,▲,スーパー（店長）,来客数の動き,・初売りまでは好調であったが、１月中旬の大雪や新型コロナウイルス第６波の影響で来客数が減少している。道路の除排雪が進んでいることで大雪の影響は解消されつつあるが、まん延防止等重点措置の適用がニュースになり始めてからは客が外出を控える傾向が強まっている。特に夕方以降の落ち込みが顕著である。
,,▲,スーパー（従業員）,単価の動き,・客単価が低下傾向にある。食料品の値上がり、ガソリン価格の高騰などによって、客の生活防衛意識が高くなっているためとみられ、この傾向は今後も続くことになる。
,,▲,コンビニ（エリア担当）,お客様の様子,・新型コロナウイルスの感染拡大が影響し、全体的に消費が縮小傾向にある。ただ、大型スーパーなどが敬遠される一方で、地方の小規模商店などでは客のニーズにしっかりと応えることで、若干のプラスアルファにつながっているケースもみられる。
,,▲,コンビニ（エリア担当）,お客様の様子,・北海道にもまん延防止等重点措置が適用されることで、消費者の行動が制限されることになる。また、様々な商材が値上がり傾向にあることから、店舗の購買が落ち込むとみられる。
,,▲,コンビニ（エリア担当）,来客数の動き,・新型コロナウイルスの新規感染者数が激増しており、先行きの見通しに不安を覚えている。
,,▲,家電量販店（経営者）,来客数の動き,・新型コロナウイルス発生前の状況に戻りつつあったが、月半ばから新型コロナウイルスオミクロン株が感染拡大している影響で、来客数や電話での問合せが激減しており、売上が減少傾向にある。
,,▲,乗用車販売店（従業員）,販売量の動き,・新型コロナウイルスの影響により、工場の稼働が当初の予定どおりに進まず、新車登録のできない状況が続いている。客からスタッフへの問合せも多数入っており、対応に時間が取られ、思うような活動ができていない状況にある。また、来客数や受注台数も少しではあるが前年から減少している。
,,▲,高級レストラン（スタッフ）,来客数の動き,・感染拡大に伴い、まん延防止等重点措置が適用されたため、来客数が減少している。
,,▲,旅行代理店（従業員）,来客数の動き,・年末年始までは航空需要が堅調に回復していたが、１月中旬からの全国的な新型コロナウイルスオミクロン株の感染拡大により、ビジネス需要、観光需要が急激に減退している。道民割などの需要喚起策も休止となり、感染拡大が落ち着くまで回復が期待できない状況となっている。
,,▲,タクシー運転手,来客数の動き,・オーダー件数がやや減少している。夜間の飲食店関係の利用も若干の減少傾向となっている。
,,▲,タクシー運転手,販売量の動き,・新型コロナウイルスオミクロン株の感染スピードが速く、人流が抑制されているため、営業収入の減少につながっている。
,,▲,タクシー運転手,来客数の動き,・年末年始までは良かったが、ここに来て新型コロナウイルスオミクロン株が増加し始め、北海道にもまん延防止等重点措置が適用されたことから、目に見えて来客数が落ち始めている。今回は北海道全域が措置区域となっていることから、景気はまだまだ悪くなる。
,,▲,通信会社（企画担当）,販売量の動き,・専門店舗への来客数は横ばいであるが、大型商業施設などでの出店販売において利用客が減少しており、発生する費用に対する効率が大きく悪化しつつある。さらに、人口の多い都市部を中心に競合他社への流出が前年よりも増えている。
,,▲,観光名所（従業員）,来客数の動き,・年末年始は来客数、特に団体客人数の復調が顕著であり、このまま上向いていくという流れを感じていたが、新型コロナウイルスオミクロン株の感染爆発で１月11日頃から、そうした動きがすっかり停滞してしまった。この状態はしばらく続くと覚悟している。
