Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,観光型ホテル（スタッフ）,来客数の動き,・全国旅行支援が始まり、客単価、稼働率共に伸びている。,
,,○,商店街（代表者）,来客数の動き,・10月に入り、旅行客の宿泊や来街者が増えている。区域内の２軒のホテルは満室に近い状態の日が頻発しており、売上がアップしている。区域内の百貨店では衣料品などで地域住民による売上がアップしている。これらのことから、全体的な景気は僅かながら上向いている。,
,,○,商店街（代表者）,販売量の動き,・当地では人の通行量が増えていることで、販売量が順調に回復しており、売上もコロナ禍前の８割程度まで回復している。居酒屋など、１次会で使われるような飲食店も予約しづらくなるほどまで回復している。ただ、２次会以降で使われるような店は閑散としており、新型コロナウイルスの感染対策によって根付いた終電までに帰る癖が抜けきらない状況が続いている。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・新型コロナウイルス感染症発生前と比べると、売上は72.9％まで回復してきた。これは行動制限がなくなり、10月11日から全国旅行支援が開始されたことで人出がぐっと増えたことが影響している。,
,,○,一般小売店［土産］（経営者）,来客数の動き,"・全国旅行支援のクーポン利用が伸びている。平日が3,000円分、土日が1,000円分ということもあって、平日にクーポンを利用する人が多い。例年よりも平日の客が増えていることが、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの時とは違う点となっている。",
,,○,百貨店（販売促進担当）,単価の動き,・来客数は微増で推移しているものの、客単価が上昇していることで、全体の売上を押し上げている。,
,,○,百貨店（マネージャー）,販売量の動き,・直近３か月の動向をみると、買上客数及び販売量が前年比110％と伸びている一方で、客単価は物価高の影響もあって前年比95％と落ち込んでいた。しかしながら、10月になり、気温が低下していること、旅行などの外出が増えていることから、コートやブーツを中心としたファッションゾーンの需要が高まっており、客単価も前年比110％と好調に推移している。,
,,○,コンビニ（エリア担当）,お客様の様子,・行動制限の緩和や全国旅行支援の効果により、観光客が明らかに増えており、人の動きが活発になっている。,
,,○,コンビニ（エリア担当）,来客数の動き,・新型コロナウイルスの新規感染者数が減少していることで、観光業の動きが良くなっている。,
,,○,コンビニ（エリア担当）,来客数の動き,・全国旅行支援が始まったことで、景気はやや良くなっている。,
,,○,コンビニ（店長）,単価の動き,・値上げの影響で客単価が上がっており、景気もやや良くなっている。,
,,○,衣料品専門店（エリア担当）,販売量の動き,・全般的な物価高騰がみられるなか、水道光熱費も高騰している。その影響で、衣料品においては暖か商品の動きが前年よりも早い時期から動き始めている。今後も暖房費などを節約する状況が続くとみられるため、暖か商品は好調に推移する。,
,,○,乗用車販売店（経営者）,販売量の動き,・新型車の販売動向が良いこともあって、大量の受注残がある。景気が悪いのであれば、新型車といえども多くの販売にはつながらないため、景気はやや良くなっている。,
,,○,乗用車販売店（従業員）,販売量の動き,・新車の生産状況や入庫状況が相変わらず低調であり、売上は計画の７割程度にとどまっているものの、受注状況はやや良くなっている。現時点で３か月分以上の受注残を抱えている。,
,,○,高級レストラン（スタッフ）,販売量の動き,・久しぶりに夕食の予約が入ってくるようになったことで、コロナ禍前の60％超えが見込まれるなど、景気はやや良い。昼食の来客数も順調に増えている。客単価が上がらないなか、食材の値上げなどで利益が減っているため、売上増は有り難い動きである。道内全体でみても、低価格店は元より、高級店の予約も増えているようで、久しぶりに活気が戻りつつある。ただ、10月下旬になり、新型コロナウイルスの新規感染者数が増えていることで、ランチがやや芳しくない状況となっている。,
,,○,旅行代理店（従業員）,来客数の動き,・物価上昇による消費抑制傾向が強くなっていたが、10月に全国旅行支援が始まったことで、国内旅行需要が急速に拡大している。また、秋季は北海道の修学旅行時期であり、新型コロナウイルス感染症発生前のにぎわいが空港に戻りつつある。,
,,○,旅行代理店（従業員）,販売量の動き,・全国旅行支援の効果で人の動きが増えている。,
,,○,旅行代理店（従業員）,来客数の動き,・全国旅行支援が始まったこと、人流抑制がないことから、人が動き始めている。,
,,○,旅行代理店（従業員）,来客数の動き,・全国旅行支援が始まる前は旅行の申込み控えがみられていたが、全国旅行支援の開始が報道されるようになったことで、来客数が増加し、予約の相談問合せも著しく増加している。新型コロナウイルス感染症の第７波が本格的になった３か月前と比べると、来客数、販売量共、上向きとなっている。,
,,○,タクシー運転手,販売量の動き,・ウィズコロナ政策により人流が戻りつつあり、収入も安定化している。ただ、夜間の人出が戻っておらず、コロナ禍前ほどの収入とはなっていない。,
,,○,観光名所（従業員）,お客様の様子,・全国旅行支援が始まったことで、当地は連日、国内観光客でにぎわっている。クーポンの利用も好調である。アジア圏からの外国人観光客も、現時点では個人客のみだが、徐々に目立つようになっている。新型コロナウイルスへの感染対策を行いながらではあるが、日常が戻りつつあることを実感している。,
,,○,美容室（経営者）,来客数の動き,・最近になって、新型コロナウイルスの新規感染者数が増加傾向にあるが、来客数は落ち込んでいない。３か月前とは明らかに雰囲気が変わっており、以前のような悪い雰囲気は余り感じられない。,
,,□,商店街（代表者）,来客数の動き,・来客数が少しずつ上向いているが、新型コロナウイルス感染症発生前の水準にはまだまだ至っていない。,
,,□,商店街（代表者）,お客様の様子,・全国旅行支援のクーポンを利用する客が目立っている。,
,,□,スーパー（店長）,それ以外,・新型コロナウイルス感染症やウクライナ情勢など、景気を不安定にさせるような事象が長期化していることから、景気は低空飛行状態のまま横ばいで推移している。,
,,□,スーパー（店長）,販売量の動き,・新型コロナウイルス感染症発生前の水準とは比較にならないものの、衣料品は前年から２けた近い伸びをみせている。一方で、重寝具などの高額商材は動きが鈍く、全体では前年並みでの推移となっている。客の生活防衛意識も高く、学校関連の商材ややむを得ず外出で使うような商材以外への支出は抑え気味である。,
,,□,コンビニ（エリア担当）,お客様の様子,・現状は商材の値上げもあり、前年を上回る売上となっている。幸いにも、来客数は前年を上回っているが、今後、生活防衛のため、し好品の買い控えが起こることを心配している。特に年末に向けて、クリスマスや年始の消費が鈍ることが心配である。,
,,□,家電量販店（店員）,来客数の動き,・10月後半はプレミアム付商品券の発行で盛り上がりをみせた。売上も前年並みとまずまずであった。,
,,□,乗用車販売店（経営者）,販売量の動き,・継続している半導体の長納期問題がいまだ解決されず、様々な課題が複合的に絡み合っていることで、消費マインドに悪い影響を与えている。消費マインドは低いまま、横ばいで推移している。,
,,□,乗用車販売店（従業員）,販売量の動き,・納期が長い分、新車登録が進んでいないが、先を見据えて客に話をしているため、受注量自体は大きく伸びている。売上的には厳しいが、車が届き次第、新車登録を行うという流れができており、当社に関してはそこまで悪い状況とはなっていない。,
,,□,乗用車販売店（従業員）,販売量の動き,・メーカーの生産台数が回復していないことから、良くなる見通しが立たない。現状を維持したまま横ばいで推移している。,
,,□,自動車備品販売店（店長）,それ以外,・新型コロナウイルスの感染対策が緩和されたことで、人の流れが増加し、消費も増えていたが、円安や物価高、光熱費の上昇に伴って買い控えが増えそうだ。,
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・新型コロナウイルス感染症に対する一時の安心感が薄れ、第８波への不安が増していることから、来客数の回復状況がやや鈍化している。抗原検査キットもかなり動き出している。,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格が高止まりしており、消費者の節約志向が強まっている。,
,,□,高級レストラン（スタッフ）,来客数の動き,・来客数が大きく伸張することも、落ち込むこともなく推移している。,
,,□,観光型ホテル（経営者）,来客数の動き,・全国旅行支援が開始されたものの、既に当地はオフシーズンとなっており、集客には余り寄与していない。また、外国人観光客も、入国制限緩和により若干戻っているが、マスク着用などの社会的な対応が変わらないため、新型コロナウイルス感染症発生前のような集客には至っていない。,
,,□,タクシー運転手,来客数の動き,・新型コロナウイルスの新規感染者数の減少に伴って来客数も増えると予想していたが、結果的に変化はみられなかった。,
