Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,販売量の動き,・新型コロナウイルスの感染状況が少しずつ終息に向かっていることから、人出が徐々に回復しており、来客数も増えている。,
,,◎,一般小売店［土産］（経営者）,来客数の動き,・３か月前と比べると来客数は大幅に伸びている。７～８月は新型コロナウイルス感染症発生前の2019年比で９割台後半まで来客数が回復している。それに比例して、売上の2019年比も来客数を数％上回る水準まで回復している。,
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルスの新規感染者数に大幅な減少はみられないものの、当区域を訪れる来街者が増加している。地域住民は元より、郊外や近隣町村を結ぶバス発着場の乗降者数も増加している。また、他地域ナンバーの車両も前月と同様に目に付く。当地域に本店を有する有名菓子店の紙袋を持ち歩いている客も散見された。,
,,○,商店街（代表者）,お客様の様子,・９月に入り通行客が徐々に増え始め、以前とほとんど変わらない状態の通行量となった。新型コロナウイルス感染症の第７波が減少に転じたこと、軽症者が多いことから、人々の気持ちの雪解けが進んだことが理由とみられる。通行量が増えたことによって、売上も増加しており、居酒屋などの夜型飲食店では週末に予約が取れない店も出始めた。このまま新型コロナウイルス感染症が終息に向かうことを切に願っている。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・新型コロナウイルスの感染対策としての行動規制が全国的に緩和され、国内観光客が増加したことで、９月の売上は前年比281.7％、前々年比226.8％となっている。ただ、外国人客が１人もいないため、新型コロナウイルス発生以前の2019年比では61.3％にとどまっている。結果的に新型コロナウイルス発生以前の売上の約半分が外国人客によるものであることが証明された。,
,,○,一般小売店［酒］（経営者）,お客様の様子,・様々な客先と会話するなかで、明るい反応が増えている。特にホテルや居酒屋などの業態では、売上が順調に回復している。,
,,○,百貨店（販売促進担当）,販売量の動き,・新型コロナウイルスの新規感染者数は高止まりしているが、来店客の購買意欲は高まっている。買上率、客単価共に上昇しており、この傾向はこのまま続くことになる。,
,,○,百貨店（営業販促担当）,それ以外,・８月11日から閉店セールが始まり、来客数、客単価共にプラスとなっている。衣料品、服飾雑貨、リビング、子供服など、幅広い商材が好調である。,
,,○,コンビニ（エリア担当）,お客様の様子,・報道のとおり、新型コロナウイルス感染症に対しての行動制限が緩和されていることで、客の動きが以前よりも活発になっており、売上にも好影響を及ぼしつつある。３年前と比較しても売上が伸びている。,
,,○,家電量販店（店員）,販売量の動き,・前年と比較すると、９月の来客数はやや減少しているが、売上はほぼ同じであった。冬物家電に対する客の動きに活気が出ている。,
,,○,乗用車販売店（従業員）,販売量の動き,・新型車効果があり、その先行予約が順調に進んでいるため、車の販売量自体は好調である。納期の兼ね合いで売上としては厳しい面があるが、これから順調に上向いてくるとみられるため、景気はやや良くなっている。,
,,○,乗用車販売店（従業員）,販売量の動き,・客の動きが多少は良くなっており、新車の受注にも好影響が出てきている。,
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・３か月前と比べると、景気はやや良くなっている。ただ、医療商材を扱っている関係で、前々年から前年に掛けてマスクや衛生品がよく売れた分、数字的には過去２年を下回っている。,
,,○,観光型ホテル（経営者）,来客数の動き,・旅行の決定に、新型コロナウイルスの新規感染者数の増減がリンクすることが少なくなっており、集客について多少の改善がみられる。ただ、消費単価が高くなる傾向にある遠方地域からの集客は依然として苦戦している。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・予約の動きが活発になり、稼働も大幅に伸びている。３連休を中心に家族連れも増えており、少しずつ新型コロナウイルス感染症発生前の姿を取り戻しつつある。,
,,○,旅行代理店（従業員）,来客数の動き,・新型コロナウイルスの新規感染者数が減りつつあるなか、全国旅行支援の話も出ていることから、徐々にではあるが問合せが増えつつある。,
,,○,タクシー運転手,販売量の動き,・新型コロナウイルス感染症について、感染対策よりも経済優先にシフトしていることで、人の流れが以前の状態に戻り始めている。,
,,○,観光名所（従業員）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いてきたこともあり、国内観光客の入込数が例年並みの水準に回復しつつある。,
,,○,美容室（経営者）,来客数の動き,・９月初めは新型コロナウイルス感染症の影響で売上が落ち込んでいたが、感染状況が徐々に落ち着いてきたことで売上が急激に回復している。ほぼ新型コロナウイルス発生以前の売上にまで回復している。,
,,□,一般小売店（経営者）,販売量の動き,・テレビの販売台数が伸び悩んでいることから、景気が上向くには販売台数が増えてこないと厳しい。,
,,□,百貨店（売場主任）,販売量の動き,・多くの商材で値上げに向けた動きがあることから、客の節約志向がみられ始めており、販売量にも影響が出ている。,
,,□,百貨店（マネージャー）,来客数の動き,・来客数の前年比をみると、６月が前年比90％、７月が前年比95％、８月が前年比93％、９月が24日時点で前年比91％となっており、ほぼ横ばいでの推移となっている。買上客数は前年比110％前後で推移しているが、物価高の影響を受けて節約志向が強まる懸念もあり、今後、どちらに振れるか不透明な部分もある。,
,,□,スーパー（店長）,それ以外,・相変わらず新型コロナウイルスの感染状況による振れがみられるが、ならすと全体的には変わらない。感染症法上の分類をこれまでの２類相当から５類に変更するような大きな変化がない限り、小康状態が続くとみられる。,
,,□,乗用車販売店（経営者）,来客数の動き,・新型コロナウイルス感染症に関連しての行動制限がないため、一部の地域で観光客の動きが活発になっており、それに伴ってレンタカー需要が活発になっている。一方で、新型コロナウイルスの新規感染者数の高止まり、様々な物の価格高騰、長納期化などの問題によって、来場者数が回復してこない。,
,,□,自動車備品販売店（店長）,お客様の様子,・カー用品の動きとしては必要なメンテナンスなどは行うものの、ぜいたく品の購入が少ない状況にある。,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格が高止まりしており、状況に変化がみられない。,
,,□,高級レストラン（スタッフ）,販売量の動き,・ランチは好調であったが、夕食が伸びなかったことから、２年前の売上の50％前後になりそうで、どちらともいえない状況にある。出入り業者からは、市内の高級店では９月に入ってもワインの売上が良くないと聞いた。その一方で、中心部で開催されているイベントでは道産ワインが人気で昼から売れているようでうらやましい。また、観光客が訪れるような低価格店も繁盛しているようだ。,
,,□,高級レストラン（スタッフ）,来客数の動き,・ゴールデンウィーク時期に新型コロナウイルスの新規感染者数の増加に伴う移動自粛などの措置もなかったことから、来客数が増加しており、その後も大きな変動がなく推移している。,
,,□,旅行代理店（従業員）,販売量の動き,・景気は悪いまま変わっていない。ただ、今後の政策と新型コロナウイルス感染症の終息状況によっては、大幅な改善が期待できる。,
,,□,タクシー運転手,来客数の動き,・新型コロナウイルスの新規感染者数の一時的な減少とイベント関係の規制緩和に伴って、来客数は増加傾向に転じていると期待していたが、結果的に変化はみられなかった。,
,,□,タクシー運転手,来客数の動き,・業種的に新型コロナウイルス感染症の影響が大きく、ずっと疲弊してきたが、ここに来て新型コロナウイルスの新規感染者数が減少していることに伴って、人の流れが戻りつつある。まだまだ油断はできないが、週末などは新型コロナウイルス感染症発生前並みの客の動きがみられる。,
,,□,美容室（経営者）,来客数の動き,・イベントなどが再開されつつあるため、それに合わせて美容室を利用する客も増えている。,
,,□,住宅販売会社（経営者）,お客様の様子,・物価が高騰しており、家計の余裕はなくなりつつあるが、今のところ、モデルルームに来訪する客に大きな変化はみられない。ただ、買い急ぐ客がやや増えている。,
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良いものではなかった。,
,,▲,スーパー（店長）,販売量の動き,・食品の売上は前年や新型コロナウイルス感染症発生前を上回る水準を確保できているが、中身をみると、来客数、買上点数共に減少傾向である。原価高騰により１品単価が上昇した分だけ売上がかさ上げされている状況であり、景気はやや悪くなっている。,
,,▲,スーパー（企画担当）,販売量の動き,・販売価格が上昇する一方で、買上点数が減少傾向にあり、客単価も低下している。,
