Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,販売量の動き,・３月でまん延防止等重点措置が全国的に解除されたことに加えて、春らしい陽気となったことで前年の２倍ほどの人出がみられ、売上もコロナ禍前の50％を上回る日がみられるところまでばん回している。４月の売上は前年比で261％、前々年比で441％、2019年比で25.3％となっている。
,,○,商店街（代表者）,お客様の様子,・まん延防止等重点措置が解除されたことで徐々に人出が増え、回復基調に入ってきた。ただし、新規感染者数が高止まりしていることもあって、満足な購買状況にはなく、回復までには相当な時間が掛かりそうだ。そのようななか、経済回復を早期に実現しなければならないことから、感染症対策を万全にした上で４月28日からイベントを開催することになった。行政に頼るだけではなく、民間側がイベントを安全に実施する見本をみせていくことで、消費者の閉ざされた気持ちを明るくしていきたい。これからもそのようなイベントを多数実施していきたい。
,,○,商店街（代表者）,販売量の動き,・りんごの出荷が増え始めた。気温上昇に伴って当社商材の出荷も増えている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・少しずつコロナ禍前の売上に近づいているが、まだまだ予断を許さない状況にある。
,,○,百貨店（売場主任）,来客数の動き,・前月、前々月は週によって来客数の増えた週もみられたが、新型コロナウイルスの影響を受けていた。４月は新規感染者数が増えても、来客数にそれほど影響がみられなくなっており、前月や前々月と比べて来客数が安定している。
,,○,百貨店（販売促進担当）,来客数の動き,・気温の上昇とともに、駅周辺の来街者、店舗の来客数が増加している。それに伴って買上客数、売上も増加傾向にある。
,,○,スーパー（店長）,それ以外,・新型コロナウイルスの感染状況による良しあしがみられる。３か月前はまん延防止等重点措置の適用で客足が大きく落ち込んだが、４月はまん延防止等重点措置が解除され、小康状態にあるため、景気がやや良くなっている。
,,○,スーパー（店長）,お客様の様子,・１月末～３月中旬までまん延防止等重点措置が適用されていたことを踏まえても、４月の客の消費金額は確実に増えてきている。コロナ禍前ほどではないが、衣料品の売上も上向きになっており、今後の政府の施策次第で一層の伸長も期待できる。
,,○,コンビニ（エリア担当）,お客様の様子,・客の購買の様子や行動している時間帯から、景気はやや持ち直している。
,,○,コンビニ（エリア担当）,単価の動き,・売上、客単価共に、前年、前々年を超えて推移しているため、景気は良くなってきている。
,,○,コンビニ（エリア担当）,来客数の動き,・まん延防止等重点措置が解除されたことで人の動きが若干回復している。
,,○,衣料品専門店（店長）,来客数の動き,・購入金額が大きいわけではないが、来客数が前年比118％となるなど、客が戻ってきており、客単価の落ち込みをカバーしている。
,,○,高級レストラン（スタッフ）,来客数の動き,・僅かではあるが、予約客などが増加しつつある。ただ、コロナ禍前の水準にはまだまだ及ばない。
,,○,高級レストラン（スタッフ）,来客数の動き,・週末の来客数が増加傾向にある。特に桜が開花した週末の23～24日はゴールデンウィーク並みの来客数がみられた。新型コロナウイルスの新規感染者数は高止まりしているが、感染症対策を万全にしていることもあって、客も店も現状に慣れ始めてきている。
,,○,旅行代理店（従業員）,来客数の動き,・まん延防止等重点措置が解除された後、航空機利用が増加している。特に春休みは家族連れや若い世代の動きが目立った。４月は年間でもビジネス客の動きが鈍る時期の１つであるため、大きな伸びはみられないが、新聞に旅行広告が復活したこともあり、観光需要の取り込みがようやく本格的になり始めている。
,,○,旅行代理店（従業員）,来客数の動き,・新型コロナウイルスの新規感染者が高止まり状態にあるが、人流抑制策などが行われていないことから、少しずつ問合せが増えてきている。
,,○,旅行代理店（従業員）,販売量の動き,・県民割などにより近場の観光需要については徐々に復調傾向にある。一方、遠方への観光需要については、幾分上向きではあるものの、いまだに低調である。特に都市部への観光需要については回復するような動きがみられない。
,,○,タクシー運転手,販売量の動き,・まん延防止等重点措置が解除され、人流が戻り始めていたが、当地において過去最大の新規感染者数を記録するなど、感染状況の高止まりが続いているため、現在は人流がストップしている。３か月前に比べると景気はやや良くなっているが、景気回復の実感をつかめない状態となっている。
,,○,観光名所（従業員）,来客数の動き,・利用客が前年の160％程度まで増えている。接客していても、３か月前は客がかしこまって過ごしていたが、現在は笑顔で過ごす様子もみられるなど、のびのびと楽しんでいる。もちろん感染症対策を取った上だが、出掛けやすい環境になっていると捉えている。
,,○,美容室（経営者）,来客数の動き,・気温の上昇とともに外出の動きが活発化しており、来客数も増加傾向になっている。それに伴い売上も増加している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・コロナ禍ではあるが、旅行の機運が高まっている。予約件数も前年と比較してかなり増加している。
,,○,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスの感染状況がなかなか収束しないにもかかわらず、当地においてはかなりの観光客が押し寄せてきている。これからゴールデンウィークを迎えて、ホテル、旅館、飲食店では相当な混雑が見込まれるなど、観光関連業界の景気はやや上向きとなっている。
,,□,商店街（代表者）,単価の動き,・買上単価の２極化が進んでいる。生活必需品の単価が低下している一方で、趣味やし好品などの選択的分野では商材の単価が上昇している。
,,□,商店街（代表者）,来客数の動き,・人流抑制策などの規制は解除されたが、当区域においては昼夜共に客足が依然として遠のいたままである。特に昼間は、期待していた旅行客の増加もほとんどみられない。地元客による乗合バスや駐車場の利用なども減少したままであり、物販店、飲食店、宿泊業にとって厳しい状況が続いている。
,,□,一般小売店［土産］（経営者）,お客様の様子,・年末年始や年度末は人の移動が活発であり、卒業旅行などの動きもみられたが、４月は客の動きが緩慢になっている。団体での旅行もみられず、どうしても一服感が漂っている。道民割や県民割などを利用した近隣への旅行は活発に動いているが、飛行機を利用して移動するような旅行は余り動きがみられない。
,,□,百貨店（マネージャー）,来客数の動き,・来客数の動きをみると、１月は前年比93％、２月は前年比89％、３月は前年比92％、４月が30日現在で前年比92％となっており、３か月前と変わらずに推移している。ただし、買上客数の動きをみると、１月は前年比103％、２月が前年比96％、３月が前年比97％、４月が30日現在で前年比107％と上向き傾向になりつつあるため、回復傾向と考えることもできる。
,,□,スーパー（企画担当）,販売量の動き,・経済活動が活発化しているため、景気は上向きにみえるが、商品価格の高騰などにより、客の買上点数が減少している。節約志向が強まっているため、景気はさほど変わっていない。
,,□,家電量販店（店員）,単価の動き,・４月に入りメーカーの小物商材、部品が値上がりしていることで、レジ周り商材の買い控えにつながっている。また、当地の新型コロナウイルス新規感染者数が多いことが影響しているのか、客足が鈍っている。
,,□,自動車備品販売店（店長）,販売量の動き,・新型コロナウイルスの感染対策が徐々に緩和されてきているが、売上は３か月前と同じような実績となっており、変化はみられない。むしろ若干悪くなっている雰囲気もうかがえる。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高止まりしていることで販売量が減少している。
,,□,高級レストラン（スタッフ）,販売量の動き,・売上は前年並みであり、３年前の60％ほどにとどまっている。昼は例年を超えそうになっているが、夜の客が少ない。知り合いの低価格洋食店は客足が良くて活況のようだが、高級店は客足が戻ってこない。また、あるホテルでは宿泊客が戻っていることで、人手の足りなかった調理スタッフの募集を始めたようだ。飲食業界全体的には客が増えつつあるが、症状の出にくい20～30歳代の客への接客について正直なところ心配な面もある。
,,□,スナック（経営者）,来客数の動き,・まん延防止等重点措置が解除され、平常を取り戻しているが、客足は伸び悩んでいる。
,,□,旅行代理店（従業員）,販売量の動き,・新型コロナウイルスの感染状況が余り変わらないことに加えて、ウクライナ情勢によって随所に影響が出ており、景気が上向いてこない。行政の指針も期待できるものが何もない。
