Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・ＳＡＲＳの影響で観光客が北海道に流れてきている。観光客は九州・四国・沖縄・中国・台湾などへはほとんど行かず、北海道に来ている。特に、道東地区は観光客の入込が昨年より多く、これからもそういう傾向で続くと思われる。
,,○,家電量販店（店長）,・プラズマテレビ・液晶テレビ・ＤＶＤレコーダーなどのデジタル家電商品が伸びると予測される。
,,○,観光型ホテル（経営者）,・ＳＡＲＳの影響がまだ残っており、海外旅行から国内旅行に振り替えた客の予約が例年に比べて多くなっている。
,,○,観光型ホテル（スタッフ）,・暑い関東地区からの避暑を兼ねて、北海道への観光入込も、今後、増加に転じるものと期待される。
,,○,旅行代理店（従業員）,・先々のハネムーン申込が増えてきており、ＳＡＲＳのニュースが減少してきたこともあって海外旅行の広告量が増加してきている。
,,○,通信会社（企画担当）,・カメラ付き携帯のラインナップがいよいよ充実し、100万画素を超える高機能商品が目白押しとなる。そうなれば個人のおもちゃであったカメラ付き携帯がいよいよビジネスユースとして本格的に導入される。
,,○,美容室（経営者）,・来店周期が短くなってきたため、若干だが売上が上昇し始めている。
,,□,商店街（代表者）,・先行きに不安のあるニュースが多いなど、消費に与える心理的な要素が強く、現在の状況が続くと思われる。
,,□,商店街（代表者）,・大手百貨店が８月に閉店するため、商店街への来訪者は大きく減少することが予想されるが、９月は逆の現象が表れると予想している。今月は新しい駅舎がオープンしたが、駅と地元住民との継続的なコミュニケーションをとる仕掛けがないため、駅前商店街の今後の活性化に寄与する具体的な要素はなく、期待はずれとの声が多い。
,,□,商店街（代表者）,・夏物セールの前倒しで、今月からセールが開始されているため、勢いのなさが予想される。
,,□,百貨店（売場主任）,・来客数が更に減っていることと、夏のボーナスが相当ダウンしているので、今後も引き続き期待できない。
,,□,百貨店（売場主任）,・夏のボーナスの一般的な支給から数週間がたったが、ボーナスを使っての買物が全くみられない。ボーナスを、この先の生活源にする状況であり、これからもそれほど消費が動く経済状況ではないと思われる。
,,□,スーパー（店長）,・大手百貨店の閉鎖が８月に決定し、大量解雇の話が飛び込んでいる状況下で、消費の拡大等の期待は薄いと思う。
,,□,スーパー（企画担当）,・運動会セールや行楽商品の売行きが今一つ盛り上がりに欠けており、足元の消費環境から判断すると、今後の盛夏商戦での巻き返しも厳しくなる。
,,□,コンビニ（エリア担当）,・海外旅行を控える分、道内観光が増えるかと思うが、客単価の減少は止まっていないため、全体としては変わらない。
,,□,コンビニ（店長）,・コンビニ業界で初の試みとなる新商品に期待はするが、状況としては変わらないというより、これ以上は落ちようがないというところと思われる。
,,□,衣料品専門店（店員）,・必要以外の物に対する買物に慎重なのは変わらないので、今と変わらない状況が続く。
,,□,家電量販店（地区統括部）,・依然として客単価は前年比で５～10％のダウン傾向にある。北海道の景気も低調で、消費者のマインドも冷えている。また、商品的に期待できる商品も特に見当たらない。
,,□,住関連専門店（営業担当）,・将来的に消費税率がアップするという話題やボーナスから引かれる保険料率の上昇などから、生活防衛型の行動パターンが取られ、消費行動を圧迫する。
,,□,スナック（経営者）,・旭川では７月から、地元航空会社が３往復することになり、少しは観光客が入るかと思うが、今の状態では変わらない感じがする。
,,□,スナック（経営者）,・企業としても経費を締めるところは交際費であり、接待なども少なくなっている。また、団体客の利用は多いほうであるが、個人的な利用が少なくなっている。客は飲み放題など、単価のはっきりしているほうが良いようである。
,,□,観光型ホテル（経営者）,・予約状況は、出足は良くないものの、情報のスピードアップのせいか比較的、直前の予約が増加傾向にあり、月内の仕上がりはまずまずといった状況にある。
