Ⅱ．景気の先行きに対する判断理由,,,,,
,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(北海道)",,◎,－,－,
,,○,商店街（代表者）,・新しい駅舎が６月に完成して、オープンする予定であり、商店街ではイベントを計画している。このため、商店街への来客数の増加を期待している。,
,,○,商店街（代表者）,・空き店舗が少しずつ埋まってきているなど、釧路では駅周辺の経済状況が改善されつつあり、傾向としては良くなっている。,
,,○,百貨店（売場主任）,・春物については正規価格で順調に売上を伸ばしており、来月の値下げの時期で消化できると思われるため、５月以降の初夏物や夏物についても、正規価格で売ることができると予測している。,・春物については正規価格で順調に売上を伸ばしており、来月の値下げの時期で消化できると思うため、５月以降の初夏物や夏物についても、正規価格で売ることができると予測している。
,,○,家電量販店（店長）,・夏季商戦では、プラズマテレビや液晶テレビ、ＤＶＤレコーダーなどのＡＶデジタル家電が売れるため、パソコンの不調をカバーできる見通しである。,
,,○,乗用車販売店（役員）,・現在、販売量が前年と比べて伸びている状況であり、今後も悪くなる要素が出るとは考えにくい。,
,,○,観光型ホテル（スタッフ）,・グリーンシーズンを迎えること、また、イラク情勢の影響で、修学旅行など海外旅行を予定していた人が、国内旅行に切替えることが予想され、それらの旅行客の相当数が、北海道に流れてくると予想している。,
,,○,旅行代理店（従業員）,・イラク情勢の早期解決を期待している。,
,,○,通信会社（企画担当）,・新商品が目白押しで、販売数が引上げられると予想している。,
,,○,住宅販売会社（従業員）,・相続税、贈与税の緩和等、税制の改革が住宅業界には、相当良い影響を与えるのではないかと期待している。,
,,□,商店街（代表者）,・客は低価格商品を支持しており、今後も単価の増加が期待できない。,
,,□,商店街（代表者）,・札幌駅の大型複合商業施設のオープンに伴う新しい商圏の動きは一段落すると思われるが、客足がどのように動くか、まだ予想が立たない状況である。,
,,□,一般小売店［土産］（店員）,・ゴールデンウィークに向けて予想しているが、ここ１、２年、ゴールデンウィーク期間中は、航空運賃が高いということで、旅行客が増えない状態である。逆に、ゴールデンウィーク前後の方が、特割運賃が適用になるため、旅行客の増加を見込めるのではないかと考えている。,
,,□,スーパー（店長）,・客は食料品の購入さえも慎重で、無駄な物は極力買わないという状況から判断して、この先の期待感はかなり薄いと思われる。,
,,□,スーパー（企画担当）,・札幌駅の大型複合商業施設のオープン後も大きな消費環境の変化がみられず、期待していたほど、消費のプラス材料は見当たらない状況である。また、足元の傾向として、客１人当たりの買上点数が減少してきており、客の購買行動は慎重の度合いを強めているように思う。,
,,□,衣料品専門店（店長）,・客の話からは、２、３か月後に景気が回復するというような感じは受けず、逆に将来に対する不安を感じているようである。,
,,□,家電量販店（経営者）,・客は先行き不安を拭えないようであり、改善がみられない状況である。こうした状況がしばらく続くと思われる。,
,,□,家電量販店（地区統括部）,・イラク情勢もあり、消費者マインドが回復してこない状況であり、客の様子見が多いように思われる。,
,,□,一般レストラン（スタッフ）,・前年の売上を維持することが難しい状況が、ここ１年以上続いているため、こうした傾向が、今後も続くと思われる。,
,,□,観光名所（職員）,・イラク情勢が終結しても景気が良くなるとは思えない。,
,,□,美容室（経営者）,・客の生活パターンが固定化しているようで、急に良くなったり、悪くなったりするような感じが見受けられない。,
,,▲,百貨店（売場主任）,・イラク情勢の影響で、消費が低迷すると思う。,
,,▲,百貨店（販売促進担当）,・札幌駅の大型複合商業施設がオープンしたが、全体では市場のパイは変わらず、パイの食い合いという状態となっている。,
,,▲,コンビニ（エリア担当）,・来客数や購買点数などは変わらないが、価格の安い商品にシフトしている。この傾向は年明けから続いている傾向であり、これからも続くことが考えられる。,
,,▲,コンビニ（エリア担当）,・公共工事の減少が確実であり、この影響により男性客が減少すると思われる。,
