Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・札幌駅前開発にともなう客の動員が期待されるため、活気付くと思う。
,,○,衣料品専門店（店員）,・３月６日にオープンする札幌駅の大手百貨店、ファッションビルでの消費が増えることで、相乗効果として来客数が見込める。
,,○,家電量販店（地区統括部）,・札幌駅南口に大手百貨店がオープンするため、客の流れが大幅に変わることが予測され、当社にとってはプラス要因となる。
,,□,一般小売店［酒］（経営者）,・売上、客数を見るとほぼ横ばいであり、底入れの状態が続くと思われる。
,,□,一般小売店［土産］（店員）,・正月や雪まつりの観光客の動向を見ると、ゴールデンウィークや初夏の観光シーズンが要因になって観光客が動くとは考えられず、昨年よりも売上が減少すると思われるため、全体としては変わらない。
,,□,百貨店（売場主任）,・これまでと同様に、春物商材の値下げ時期には夏物が入荷し始め、今度は夏物の値下げ待ちという状況が考えられる。いずれにしても客の買物状況がセール品中心の購入に集中する傾向になっている。
,,□,スーパー（企画担当）,・消費者の心理状況がとにかく悪い。誰もが将来に対して悲観的に考えているので、消費意欲が出ないと思われる。
,,□,スーパー（企画担当）,・大手百貨店の札幌進出は、消費のプラス材料として期待したいが、統一地方選挙を控えていることに加えて、昨今の客の購買動向から判断しても、大きなプラスの変化は可能性が低いと思われる。
,,□,コンビニ（エリア担当）,・現時点での状況は、数字的には安定してきたと感じられるため、全体としては変わらない。
,,□,コンビニ（エリア担当）,・客数の変動は少ないが、客単価の低下は継続状態である。将来に向けての良い材料はないが、急激に悪化するということもないように思われる。
,,□,家電量販店（店長）,・前年は５、６月にワールドカップ開催によるＰＤＰ、液晶テレビ、ハイビジョンテレビなど、高単価のテレビが売れたが、今年はこの時期に大きなイベントがない。
,,□,家電量販店（店員）,・春先は新入学需要があるが、下見の客が少ないことに加えて、来店したとしても複数の店を回る客が多い。
,,□,住関連専門店（営業担当）,・不要の品は買わないという傾向が、来客数の前年割れに現れている。また、原油高による商品の値上がり、買いだめの傾向が若干現れており、結果として売上を押し上げているが、沈静化すれば元の状態に戻るものと思われる。
,,□,高級レストラン（スタッフ）,・４月は選挙があることもあり、予約が少ない。また、５月以降も見込みはあまり良くない。
,,□,一般レストラン（スタッフ）,・特に良くなる要素が見当たらないが、これ以上悪くもならないと思われる。
,,□,スナック（経営者）,・春先は歓送迎会などの時期だが、最近はほとんど行われないため、期待はできない。
,,□,旅行代理店（従業員）,・これ以上悪くなりようがない。底まで来た感じがする。
,,□,旅行代理店（従業員）,・先行受注状況からは国内、海外ともに回復の兆しは見られない。
,,□,美容室（経営者）,・消費傾向は良くも悪くも固定化されてきている。
,,▲,商店街（代表者）,・世界情勢、国内経済、政治など、何をとっても明るい兆しは見えない状況であり、消費心理として財布のひもは相変わらず緩むことはないと思われる。
,,▲,百貨店（販売促進担当）,・景気低迷はまだ底についておらず、一向に先が見えない。また、駅前の大手百貨店の新規出店にともなう市内購買ゾーンの変化による影響を今後どのくらい受けるのかが不透明である。
,,▲,コンビニ（エリア担当）,・公共工事の予算編成が４月に開始されるが、予算の削減が見込まれているため、その影響を受けると思われる。
,,▲,衣料品専門店（店長）,・倒産も多く、客の話から将来が心配であるという声が多い。特に中年以上の客が非常に心配しているようである。
,,▲,乗用車販売店（従業員）,・支払にローンを使う人が少なくなり、また使う場合も金利に対して、かなり厳しい目で見ている。
,,▲,その他専門店［医薬品］（経営者）,・悪い意味で買わない感覚が定着しており、かなりインパクトを与える展開を考える営業姿勢が必要と思われる。
,,▲,その他専門店［ガソリンスタンド］（経営者）,・コスト競争が更に激化し、低価格競争が繰り広げられる。
