Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,一般小売店［酒］（経営者）,・底堅い動きで推移しているが、今月の売上が上昇気運にあるので、このままある程度上昇していくのではないかと思われる。
,,○,旅行代理店（従業員）,・ＳＡＲＳの影響も少しは好転すると思われる。
,,○,その他レジャー施設（職員）,・開催イベントが多く、多くの集客が見込まれる。それに伴い来客数・販売量も増えると考えられる。
,,○,美容室（経営者）,・良いものであれば、オプションの料金を負担する傾向が消費者に出てきている。
,,□,商店街（代表者）,・バーゲン時期ということで、売上アップが見込まれる所であるが、今年の夏物の内容を見ても、バーゲンだからといって盛り上がるとは思えない。
,,□,一般小売店［土産］（店員）,・ＳＡＲＳの影響も今後どういう流れになるのか、まだまだ景気の状況は判断しかねる所だが、国内で発症した場合はかなり影響があると思うが、そういうことがないと良いと思う。
,,□,百貨店（売場主任）,・失業率の悪化や企業倒産、金融不安など、景気の悪化がまだ感じられるため、客の買い控えも多くなると思う。
,,□,百貨店（販売促進担当）,・全体の消費量が変わらないなかで、競合店の新規出店により、既存店の苦戦は継続しそうである。また、今夏のボーナス状況も厳しく、目減りした全体のパイの食い合いになりそうである。
,,□,スーパー（企画担当）,・株式市況の低迷や高失業率にみられる先行きの不透明感はますます強まっており、客の今後の購買行動にも大きな好転は見られないものと思われる。
,,□,コンビニ（エリア担当）,・海外旅行の減少で、北海道旅行が増える可能性はあるが、公共工事の減少で、差し引き同じになる。
,,□,衣料品専門店（店長）,・今後、新しい商品が出れば少しは良くなるかもしれないが、安い商品も売れなくなっている状況から、今後もあまり変わらないと思われる。
,,□,衣料品専門店（店員）,・夏のボーナスも期待していない人が多く、ボーナスが出ても、衣類に使う余裕がある人がそれほど多いとは見込めない状況である。
,,□,家電量販店（経営者）,・世の中の流れから、先行き不安がぬぐえないので、客は出費を相当抑えており、今の状況がしばらく続くのではないかと思う。
,,□,観光型ホテル（経営者）,・客数、消費単価の推移について、観光動向のトレンドは負の方向を示している。今のところ、明確な増加の方向を示す要因が見当たらない。
,,□,観光型ホテル（経営者）,・去年はサッカーワールドカップのため、客足が鈍ったが、今年はないのでプラス面となる。一方、ＳＡＲＳの影響で、海外客、特に東南アジアからの観光客が来ないというマイナス面があり、プラスとマイナスが相まって変わらない。
,,□,観光型ホテル（スタッフ）,・今後、北海道は観光シーズンに入るが、ＳＡＲＳの影響の先行きが不透明であり、海外旅行組が国内旅行へシフトされても、国内景気の閉塞感もあり、全体として弱含みに推移すると思われる。
,,□,旅行代理店（従業員）,・ＳＡＲＳがどの段階で収束するか不透明であり、かつ収束してもすぐには海外旅行は回復しないと思われる。
,,▲,コンビニ（エリア担当）,・今月に入って、パートやアルバイトの募集に対しての申込人数が非常に増えている。仕事の減少が要因としてあると思うので、こうした収入の影響が今後、数字に表れてくると思われる。
,,▲,家電量販店（地区統括部）,・ＳＡＲＳの影響が長引けば、中国生産の商品供給も、長期に渡り入荷が見込めず、売上が減少することは間違いない。
,,▲,乗用車販売店（従業員）,・大手百貨店の閉鎖に加えて、建築業界にも良い話は出てこない。公共事業もなくなり、先行き不明である。
,,▲,乗用車販売店（役員）,・建築・土木の受注見込が不足していることに加えて、漁業関係ではサケ・マスの出漁が決まらず、先行きに不安がある。
,,▲,高級レストラン（スタッフ）,・ＳＡＲＳの動向にもよるが、地域の消費動向も下降傾向が強く、先行きが大変不安である。
,,▲,高級レストラン（スタッフ）,・夏場は観光客が増えるが、近年、観光客はディナーにお金を出さなくなった。宿泊先のホテルで、コンビニ弁当やラーメン一杯で済ますことも多く、旅先でも経費節約に努めているようである。
