Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,・2014年度は下半期に入ってから、ほぼ毎月、前年を上回る利用乗降客があるなど、景気の回復傾向が継続しており、今後もこの回復傾向に対するマイナス要素は見当たらない。また、外国からの航空便の定期便化も決まっており、今後に向けてはプラス要素しかないことから引き続き良くなっていく。
,,◎,住宅販売会社（経営者）,・今後、日経平均株価が２万円を超え、２万１千円を上回ってくるようになれば、消費者のマインドが大きく変わることになり、個人消費なども改善してくることが見込まれる。
,,○,商店街（代表者）,・消費税増税の影響が薄れ、来客数、客単価ともに上向いてきていることから、今後についてはやや良くなる。
,,○,商店街（代表者）,・春以降、暖房器具が使用されなくなることから、電気料金の再値上げの影響が徐々に薄れてくることになる。また、当地にとっては気候の良い時期になるため、観光客の増加や地元客の来街機会の増加により、売上の増加が期待できる。
,,○,商店街（代表者）,・少しずつ客単価も改善しているが、北海道の景気はまだ回復したとは言い切れない状況にある。観光については、国内観光客の減少が止まらず、日本人旅行者は以前の85％程度まで落ち込んでいるものの、外国人観光客が増加していることで、日本人の落ち込みを穴埋めしている状況にある。ただ、外国人旅行者が来なくなった場合のもろさは危惧される。
,,○,一般小売店［土産］（経営者）,・円安の影響により、外国人観光客は今後も増える傾向にあるとみられる。一方、国内では、食料品を中心とした値上げ、電力料金の値上げなどが響き、若干景気が後退するとみられる。全体としては、差引きで多少のプラスの景気動向になるものとみられる。
,,○,百貨店（売場主任）,・日本人客の動向については、今年は雪解けも早く、季節商材の購入には最適な状態が見込まれる。また、外国人を始めとした旅行者による来店も、春以降、大幅増で推移するとみられる。
,,○,百貨店（売場主任）,・前年の消費税増税後の落ち込みの反動により、若干は景気が回復することになる。
,,○,百貨店（販売促進担当）,・前年は４月以降の消費税増税後の落ち込みがかなりあったため、数字の上では当然前年を上回ることになる。ただ、景況感としては決して回復に向かっている感はなく、むしろ生活必需品の高騰による消費の停滞が懸念される。
,,○,百貨店（販売促進担当）,・前年の消費税増税後の消費の回復が鈍く、低迷したことの反動もあり、前年並みの売上は確保できるものの、年初来の落ち込みを補うほどの持ち直しまでは期待できない。
,,○,スーパー（店長）,・販売量だけでみると、前年割れの状況が続いているが、１月以降、販売量が増えてきているため、景気の悪いなかでも良くなる兆しが出てきている。
,,○,スーパー（店長）,・婦人衣料や紳士衣料のアパレル関連の売上が増加傾向にある。３月は前年の消費税増税前の駆け込み需要の反動があり、前年を下回ったが、前々年を上回ったことから、今後についてはやや良くなる。
,,○,スーパー（役員）,・夏にはかなりの規模でプレミアム付商品券が発行されることになるため、消費が活発化することを期待している。
,,○,コンビニ（エリア担当）,・前年の消費税増税から一巡することから、４月以降、前年比という観点では回復してくることになる。また、当地では高速道路延長の影響もあり、夏に向けて観光客が増えてくることが期待できる。
,,○,コンビニ（店長）,・当地でもカウンタードーナツ戦争が３月末からスタートしており、ドーナツが挽きたてコーヒーのように集客のマグネットになれば、売上アップが期待できる。
,,○,高級レストラン（経営者）,・当地の土地柄から、建設業界、農業、観光業界などは、これから売上を伸ばしていく時期となるため、そのことが様々なところに影響することになる。ただ、飲食店を経営している立場としては、小麦などの値上げ、電気料金の高騰により、利益が圧迫されるのが痛手となっているため、景気が良くなるとはなかなかいえない。ほかの業種においても、資材価格の高騰、人材不足にともなう人件費高騰などの影響があり、本当に景気が良くなったと思えるか疑問もある。
,,○,高級レストラン（スタッフ）,・高速道路開通などにより、一時的に景気が上向くとみられる。ただ、その後の動向については不透明である。
