II．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,一般小売店［土産］（経営者）,・７月は台風11号の影響も多少あったが、それよりも中国人などの外国人観光客が増えたことの効果が大きかった。地元客も、現政権の経済対策が少しずつ道内にも効果が出始めたのか、高額商材を買うようになってきている。７月の売上は前年比117.1％であり、今後についても同じような効果が見込めることからやや良くなる。
,,○,一般小売店［土産］（経営者）,・国内観光客については、天候不順、台風、災害などがこのままなければ、ほぼ横ばいかプラスで推移する。外国人観光客については、政治的なリスクがない限り、今後も中国を始めとしたアジア方面からの客は、団体旅行、個人旅行とも、伸びてくる。
,,○,百貨店（担当者）,・国の景気浮揚策が効果を発揮してくることを期待している。
,,○,百貨店（販売促進担当）,・今後も外国人観光客による売上の拡大傾向が続く。売上全体に占める割合も月を追うごとに高くなっており、しばらくはこうした傾向が続く。
,,○,スーパー（店長）,・ハレ型商材の動きが以前よりも良い。これからお盆や９月の大型連休があることから、期待も大きい。
,,○,スーパー（役員）,・使用期間が約３か月間のプレミアム付商品券が当地で発売されたことから、短期的には消費が活発になる。
,,○,コンビニ（エリア担当）,・最近になり、これまで地方都市ではみられなかったような大型の公共工事が少しずつみられるようになってきている。また、８月は前年の天候がさほど良くなかったことの反動で、前年比では良い流れになることも期待できる。
,,○,コンビニ（店長）,・人手不足のせいか、店員の接客レベルや清掃レベルがダウンしている店舗が増加している。そうした点を強化すれば、売上は前年以上を確保できる。
,,○,衣料品専門店（経営者）,・プレミアム付商品券やプレミアム付旅行券の発売により、年末までに消費拡大が見込まれる。ただ、プレミアム付商品券については、食品関係が消費の中心になるとみられる。また、秋物の新作発表に向け、案内状配りを増やしているが、ホテルでの会場費や印刷物などの販売促進経費が膨らみそうである。
,,○,乗用車販売店（経営者）,・当地区の７月の軽自動車を除いた新車市場は消費税増税前の水準をキープしている。また、先行指標となる受注量についても、７月発売の新型車を中心に活発化している。軽自動車を除いた新車市場の底堅さが感じられることから、今後についてはやや良くなる。
,,○,乗用車販売店（従業員）,・客の消費動向が上向いている。物価が上がっていることもあるが、客がようやく現在の価格に慣れてきたようである。
,,○,観光型ホテル（スタッフ）,・外国人観光客が引き続き好調である。国内の一般団体客に加えて、学会、イベント関連の需要も堅調である。
,,○,旅行代理店（従業員）,・８～10月にかけても、羽田便の機材大型化による供給座席数の増加が継続するため、観光客の増加が期待できる。また、知床の世界自然遺産登録10周年を迎えて、知床のメデイア露出が増加していることも好材料である。
,,○,旅行代理店（従業員）,・地方創生の予算が回り始めたことから、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・今後については、秋以降の農閑期の申込が始まる時期となるため、これまでの流れから、景気動向はやや上向きとなる。
,,○,タクシー運転手,・少しずつではあるが、夜間の売上が伸びてきていることから、今後についてやや良くなることを期待している。
,,○,タクシー運転手,・全体的に物価が上がってきているが、一時の買い控えも沈静化していることから、今後についてはやや良くなる。
,,○,タクシー運転手,・新たな営業宣伝が効果を表し始めているため、今後についてはやや良くなる。
,,○,通信会社（企画担当）,・コスト削減と付随するサービス拡充についての情報が客に浸透してきており、特に主要都市の窓口や電話受付における客の反応が良くなってきている。
,,○,観光名所（従業員）,・観光入込の勢いを減速させるような要因は見当たらないが、10月からは海外航空便の一部が減便となることから、これまでと比べて伸びが少し緩やかになりそうな気配がある。
,,□,商店街（代表者）,・年金受給者など、高齢者の購買意欲が減退している。買いたい商材がないのか、将来不安から生活防衛に入っていることがうかがえる。
,,□,商店街（代表者）,・最近のトレンドが変化するような要因が見当たらない。
,,□,商店街（代表者）,・客の様子をみても、景気が変わるような反応がみられない。
