II．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,商店街（代表者）,・11月に追加発行予定のプレミアム付商品券の効果により、消費の拡大が見込まれるとともに、該当月は年末ということもあり、前年よりも冬物衣料品を含めて売上の増加が期待できる。また、商店街区域のホテルの予約状況が好調なため、観光客による飲食、土産物などの消費で売上が伸びることも期待される。
,,○,商店街（代表者）,・９月の大型連休を機に売上が前年を上回るようになってきた。各種プレミアム付商品券などの利用も見込まれることから、来客数が前年よりも増加し、買物客も増えることになる。
,,○,一般小売店［酒］（経営者）,・２～３か月先は観光客がやや落ち込んでくるとみられるものの、取引先の景況感が好調なため、このまま景気の良い状態がある程度持続することになる。
,,○,百貨店（売場主任）,・これまで外国人観光客への依存が強かったが、９月は外国人観光客による売上が前年比192％となっただけではなく、改装で営業面積が少ないなかで、地元客による売上も前年比102％と前年を上回ったことから、今後についてはやや良くなる。また、秋冬物で期待しているアウターの売上が前年比137％と先行購入感が強かったことも、今後に向けてのプラス要因となる。
,,○,スーパー（役員）,・灯油の値下がり、北海道新幹線の開業など、消費が活発になる要素が多い。
,,○,コンビニ（店長）,・商材の品質向上に加えて、商材を買いたくなるような販促をしていくことで、少しは景気が良くなる。
,,○,衣料品専門店（経営者）,・灯油の値下がりなど、光熱費の減少により、年末年始の買物が多くなることが期待できる。
,,○,家電量販店（経営者）,・年末商戦や季節商材は例年並みの動きになることが見込まれる。
,,○,その他専門店［ガソリンスタンド］（経営者）,・原油高騰の要因がなく、石油製品価格が今後も安定して推移することが見込まれるため、今後についてはやや良くなる。
,,○,スナック（経営者）,・現政権が安定しているため、今後は少しずつ良くなっていくことが見込める。ただ、消費税が10％に増税されると、また景気が落ち込むことが懸念される。
,,○,観光型ホテル（スタッフ）,・引き続き外国人観光客が堅調に推移していることから、今後についてはやや良くなる。また、確定しているコンサートイベント、スポーツイベントがあることも好材料となる。
,,○,旅行代理店（従業員）,・円安の動きも落ち着き、海外のテロに対する恐怖感なども落ち着いてきた雰囲気があるため、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・農閑期に入り、例年どおり、農業関係者が動き出すことが見込める。また、これから冬に入り、暖かさを求めて沖縄や海外リゾートなどへの旅行が増えることも見込める。
,,○,タクシー運転手,・８月にオープンしたイベント施設などでのイベントが予定されていることに加えて、外国人観光客が増えていることから、今後についても期待できる。
,,○,タクシー運転手,・５月から始めている新しい宣伝方法の効果が少しずつ表れ、持ち直してきていることから、今後についてはやや良くなる。
,,○,観光名所（従業員）,・乗降客数が前年を上回り続けている状況に対するマイナス要因が見当たらないことに加えて、10月末からは新規の海外航空路線が就航することで、純増分としてのプラス要因も見通せるため、今後についてはやや良くなる。
,,□,商店街（代表者）,・今後については、冬期に弱い観光でどのような集客策を取るかが重要になってくる。
,,□,商店街（代表者）,・株価の動きなどは良いようであるが、客の日々の生活は変わっていない。
,,□,商店街（代表者）,・中国景気の動向が影響したかどうかの判断は難しいが、７～９月の外国人観光客の消費動向に若干の陰りがみられる。一方で、10月以降の予約状況は比較的良く、今後については前年並みの売上が期待できる。ただし、中国の政情不安、景気減退は観光産業には大きく響くため、さらなる注意が必要である。
,,□,一般小売店［土産］（経営者）,・海水温度や潮の流れの影響で、昆布の生育状況が悪く、生産量が最盛期の10分の１まで減っていることで価格が上昇している一方で、商品への価格転嫁が進んでいない。さらに、最低賃金の上昇も重なることから、今後については経営環境が厳しいまま変わらない。
