Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,百貨店（販売促進担当）,・記録的な猛暑の影響で秋物衣料は苦戦したものの、気温の低下とともに、冬本番に向かって冬物衣料の需要が確実に高まっていく。よほどの暖冬でない限り、前年を上回る販売量が望めるのではないかと期待している。
,,○,コンビニ（エリア担当）,・エコポイント制度の効果などによって消費意欲が刺激されたのか、購入額の減少がみられなかったことから、今後も消費が落ち込む気配は感じられない。
,,○,観光型ホテル（経営者）,・12月に東北新幹線の新青森駅が開業するが、すでに動きが出始めており、今後に大きな期待をしている。
,,○,旅行代理店（従業員）,・客単価は低調であるが、円高効果により、海外旅行の先行受注状況が良好である。一方、国内旅行については、全般的に客の動きが鈍い。
,,○,通信会社（社員）,・新しい年を迎えるなか、購買意識を刺激するような施策やプランを用意することで、客の購買意欲をかき立てることが期待できる。
,,○,通信会社（企画担当）,・冬商戦において、競合他社に十分対抗でき、客にとっても魅力的な通信端末が更に充実することから、今後についてはやや良くなる。
,,○,住宅販売会社（経営者）,・金利の低下により、住宅ローンの申込が若干増えることになる。
,,□,商店街（代表者）,・冬はかなり寒くなるということで、バーゲンも出だしは盛り上がると見込まれるが、今より良くなるとは思えず、同じくらいの売上で推移する。
,,□,商店街（代表者）,・補正予算に関して、実際に予算が執行されるにはまだ時間がかかるとみられることから、今後も客の行動は変わらない。
,,□,商店街（代表者）,・長期予報どおり、冬の寒さが厳しくなれば、冬物衣料の販売量の増加が見込めるが、客単価の低下傾向と合わせて、運搬費及び暖房費等のコストがアップすることから、店舗での利益率の向上は見込めない。また、寒さが厳しいほど、客の出控えが考えられるため、年末年始の季節商材以外の販売量の増加は難しいとみられる。
,,□,一般小売店［酒］（経営者）,・これから年末商戦に向かい、売上は当然増えてくるとみられるが、そういった季節要因を除けば、今月とほぼ変わらない基調で推移する。
,,□,百貨店（売場主任）,・11月以降は非常に寒くなるという長期予報が出ていることもあり、特にコート類に動きが出てくることが期待できる。
,,□,百貨店（販売促進担当）,・気温が下がってくることで、前年並みの動きまで回復すると見込まれる。
,,□,百貨店（役員）,・気温の変化によってファッションの販売動向が変わってくるため、今後も全体的な傾向は変わらない。
,,□,スーパー（店長）,・10月の前半は非常に好調だったが、後半になり動きがかなり落ち着いてきている。客についても、販売量についても、客の様子に慎重さは変わらない状況であることから、12月や１月になったとしても大きく変化はしないとみられる。
,,□,スーパー（役員）,・猛暑の影響で水産物、農産物の秋の旬の商品の出荷量が減少し、価格が高値となっているため、今後の消費が伸びるとは考えづらい。
,,□,コンビニ（エリア担当）,・大手企業のボーナスは悪くない様子であることから、大幅な減少要因はない。しかし、夏の気候変動の影響で農家の減収が懸念されることから、今後も変わらない。
,,□,衣料品専門店（店長）,・来店客と景気の話を色々としているが、客の考え方から、今後についてそれほど良くなるとは思えない。
,,□,家電量販店（店員）,・エコポイント制度のポイント付与が12月以降半減することから、売上が落ち込むことが見込まれる。
,,□,乗用車販売店（従業員）,・今後について、回復する要因が見当たらないため、現状維持が精一杯とみられる。
,,□,乗用車販売店（営業担当）,・ここ２～３か月、需要を先食いしていたため、今後は市場の低迷が続く。
,,□,高級レストラン（スタッフ）,・円高により、ワインなどの洋酒は安値で仕入れることができるが、野菜や旬の食材の高謄により、収支のバランスが崩れてきている。
,,□,スナック（経営者）,・今後について、希望の持てない状況が続く。
,,□,旅行代理店（従業員）,・先行受注状況をみると、国内旅行は11月が前年比83％、12月が前年比110％、海外旅行は11月が前年比127％、12月が前年比72％となっており、全体では前年並みが見込まれる。12月の海外旅行に今一つ勢いが足りない。
