Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（地区統括部長）,・今年の年末にエコポイント制度が終了する予定であるため、相当な駆け込み需要が見込まれる。
,,○,観光型ホテル（経営者）,・ビジネス客が戻ってきており、宴会場の需要も増加している。当リゾートも会議等の団体利用への問い合わせが増えてきていることから、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・円高が続くことで、海外旅行の好調が見込まれる。ただし、団体系の旅行は依然として弱含みで推移する。
,,○,タクシー運転手,・暑い日が続いている影響もあるのかもしれないが、近い距離でも客が乗るようになっている。前年と比較しても約３％売上が伸びていることから、２～３か月後の景気についてはやや良くなる。
,,○,観光名所（職員）,・若干ではあるが、中国人客が増加傾向にあるほか、香港・台湾・シンガポール人の客も増加していることから、今後についてはやや良くなる。一方、国内旅行客については減少しているため、客を増加させるにはイベント等の企画が必要となる。
,,○,パチンコ店（役員）,・業界特有のことかもしれないが、３か月先は年間で最も来客数が減少する時期であるため、大きく良くなることはないが、今月のような来客状況が継続すれば、予想より下回ることもない。
,,□,商店街（代表者）,・客に元気がなく、将来不安に関する話や否定的な話が多いことから、今後も変わらないまま推移する。
,,□,商店街（代表者）,・気候次第の面はあるが、今年の冬のトレンドとされているファー物の価格高騰もあり、客が早めに冬物に手を出さないことが見込まれる。
,,□,一般小売店［酒］（経営者）,・今年に入ってから、売上は一進一退の状況がずっと続いているため、２～３か月で基調が変わっていくことはあまり期待できない。
,,□,スーパー（店長）,・このまま９月も残暑が続くと、野菜が不作となり、価格の高騰を招くため、漬物商材の不振につながる。また、秋冬物衣料にも影響が出てくることも懸念される。
,,□,スーパー（店長）,・来客数は徐々に伸びてきているが、やはりまだ動きに不安な面もあるため、販売量が大きく上回る予想はしづらい。
,,□,スーパー（役員）,・暑さにより、飲料・デリカ・塩干物・冷凍食品等の動きは良いが、生魚・肉・米など、煮炊きする素材の動きが悪い。また、残暑が長引く異常な気象により、農作物の作況や水産物の水揚げにもばらつきが出ている。各商品のバランスが崩れていることから、今後については、全体では決して良くはならない。
,,□,スーパー（役員）,・異常とも言える残暑の影響で農作物・水産物にも影響が出てきている。豊作の物は単価が低下し、不作の物は価格が高くなることで売れない状況となる。
,,□,衣料品専門店（店長）,・２～３か月後は寒くなり、燃料費等に出費がかさむため、今後については良くならない。
,,□,家電量販店（店員）,・９～10月についても、引き続きエコポイント制度の効果で薄型テレビの販売が期待できる。
,,□,その他専門店［ガソリンスタンド］（経営者）,・自動車燃料の販売量は減少傾向が続いていることから、今後も変わらないまま推移する。
,,□,高級レストラン（スタッフ）,・各地で行われる食の催事の様子をみると、前年より人の動きが活発化しているため、今後についてはこれ以上悪くならないと感じる。
,,□,高級レストラン（スタッフ）,・お祭りなどの催事がある時の来客数は増加するが、何もない平日の動きが極端に少ないため、今後も変わらないまま推移する。
,,□,旅行代理店（従業員）,・来客数はまずまずの水準にあるが、低価格志向は相変わらずである。また、商品のラインナップも低価格商品中心に向かっているため、利用客が増加しない限り、今後の回復は見込めない。
,,□,旅行代理店（従業員）,・先行の販売状況があまり変わっていないため、今後も変わらない。
,,□,タクシー運転手,・注文数や来客数の増える要素が思い当たらない。
,,□,通信会社（社員）,・年末までの間に特に大きなイベントもないため、景気浮揚策が打ち出されない限り、今後に期待はできない。
,,□,通信会社（企画担当）,・少なくとも冬商戦までは、夏商戦の主力商品やサービスの好調な販売状況が続く。
,,□,観光名所（役員）,・来客数増加の主要因であった海外客もチャーター便の動向から、秋以降の力強さが感じられない。個人客についても高速道路料金引下げの効果が前年ほど期待できないため、先行きに明るさが感じられない。
