Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,一般小売店［土産］（経営者）,・リーマンショックや新型インフルエンザの影響が影を潜めていることから、今後については、中国経済が悪くならない限り、少しずつ上向く。
,,○,百貨店（販売促進担当）,・客の買い方をみると、価格訴求の商品ばかりではなく、少し良いもの、少しぜいたくしてといった選び方がみられるようになっていることから、今後についてはやや良くなる。
,,○,百貨店（販売促進担当）,・来客数が増加傾向にあり、客の購買意欲も高まっていることから、今後についてはやや良くなる。
,,○,スーパー（店長）,・今後も来客数の増加傾向が続き、売上を確保しやすくなる。
,,○,スーパー（企画担当）,・新政権の各政策がこの春から施行されることになるため、それが景気刺激策になり、徐々に効果が出てくる。
,,○,乗用車販売店（従業員）,・他社のリコール問題の影響や当社の新型車発売の効果で販売台数が上向きになる。
,,○,高級レストラン（スタッフ）,・前月に実施したケーキバイキングは予定客数の50％程度の入込であったが、今月は予約段階で100％確保できた。当日もかなりの数の問い合わせがみられたほか、直接レストランに来店したものの、満席のため中に入れない客もみられた。消費者も、長引く不況に嫌気が差しており、本当に価値を認めたことに対しては、お金を使おうとする姿がうかがえることから、今後についてはやや良くなる。
,,○,観光型ホテル（経営者）,・下げ止まりの兆しを感じる。閑散期の冬期が過ぎ、４月中旬から観光素材が充実してくるため、予約も増え始めており、エージェント経由の動きも活発化してきている。ただし、あくまでも北海道内の地域間競争の元でのことであり、予断を許さない状況にある。
,,○,旅行代理店（従業員）,・４月の先行受注額をみると、国内旅行が前年比104％、海外旅行が前年比112％とようやく100％を超えてきた。まだ消費マインドが上向いてきたとの実感はなく、受注額の規模が小さいので何とも言えない面もあるが、わずかな期待感がある。
,,○,旅行代理店（従業員）,・客単価は低いままだが、来客数の伸びにより、取扱額は増えつつあるため、ゴールデンウィーク以降まで、この状況が続くことが期待される。
,,○,タクシー運転手,・異動や卒業・入学など控えて人の動きが活発になる。さらに、函館競馬場の改修工事が終了することから、売上の向上が期待される。
,,○,観光名所（職員）,・３～４月にかけては卒業旅行が見込まれる。また、海外からの観光客も微増ながら増えているほか、国内の利用者も増加傾向にあることから今後はやや良くなる。
,,□,商店街（代表者）,・景気が良くないとの意識は変わっていないため、より無駄のない生活意識の元、守りの家計となっており、今後についても変わらない。
,,□,商店街（代表者）,・本格的な春となり、客の買物への出足が良くなるが、郊外型ショッピングモールやアウトレット等の出店の影響により、中心街への客は減ることになる。
,,□,商店街（代表者）,・新年度予算が執行される時期がやってくるが、例年ゴールデンウィーク前後は商店街を訪れる客が減少することから、今後についてもあまり変わらない。
,,□,百貨店（売場主任）,・食品は健闘しているものの、衣料品が苦戦しており、春物の動きも弱いことから、今後についても変わらない。
,,□,百貨店（役員）,・依然として客単価が低いまま推移していることから、今後についても変わらない。
,,□,スーパー（店長）,・売上は少しずつ伸びているが、目玉戦略によるものであり、売上が予算を達成しても利益が付いてこない状態にある。価格で客は呼び込むことはできるが、価格で利益が逃げてしまう状況になっており、今後についても変わらない。
,,□,スーパー（店長）,・２月の客単価は１月と同様に前年比で約５％の低下が続いている。2010年度も景気は上向かないという予想も出ていることから、今の状況が変わらず続く。
,,□,スーパー（役員）,・現在の売上は来客数の増加により、前年比で３ポイントほど伸びているが、本州企業のディスカウント業態の出店により、市場価格が下がってきている。今後については、商品単価がますます低下傾向になり、来客数の獲得も難しくなる。状況によっては、やや悪くなる可能性もある。
,,□,スーパー（役員）,・来年度の給与が増える様子が全くみられない。給与が増えない以上、消費の伸びは見込めないため、今後についても変わらない。
