Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,・年末需要と現行のエコポイント制度の最終月が重なり、テレビを中心に売上の増加が期待される。
,,○,スーパー（店長）,・９月前半までは高温で推移していたが、後半から気温が例年並みに下がってきたため、衣料品、防寒関連、鍋関連といった気温低下に伴い動き出す商品がようやく動き出したことから、今後の景気は良くなる。
,,○,コンビニ（エリア担当）,・暑さの影響もあったが、来客数も販売量も好調であり、消費の低迷を感じないことから、今後についてはやや良くなる。
,,○,家電量販店（地区統括部長）,・エコポイント制度により、年末にかけてテレビの最需要期が間違いなく生じるため、期待できる。
,,○,観光型ホテル（経営者）,・函館～仁川便では、搭乗率が高いことから機材を大型化し、座席数を増加させる予定であることから、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・先行受注状況をみると、国内旅行は10月が前年比93％、11月が前年比75％と勢いがないが、海外旅行は10月が前年比119％、11月が前年比139％と、久しぶりにかなり期待できそうな勢いが感じられる。
,,○,美容室（経営者）,・春から夏にかけては先行きに対する不安が大きかったが、あまり状況が悪くならなかったことから、いくらか消費意欲が高まっており、今後についてはやや良くなる。
,,□,商店街（代表者）,・天候がどうなるかにもよるが、客が慎重な買い方であることから、季節物の商品をすぐに買うことにはならない。また、秋冬物に関してはファーの価格高騰なども言われているため、決して良くなるとは思えない。
,,□,商店街（代表者）,・傾向としては変わらないが、客の気持ちとして、景気が悪くなるのではないかという考えが奥にあるため、今後も変わらないまま推移する。
,,□,一般小売店［酒］（経営者）,・今月は、たばこの値上げに伴う駆け込み需要があったため、前年並みの売上にとどまったが、実態としては非常に良くなかった。駆け込み需要がなければ前年を８％程度下回っていたと思われ、こうした状況がしばらく続いていることから、今後も変わらないまま推移する。
,,□,百貨店（売場主任）,・10月は暖かい日が続くものの、11～12月は非常に寒くなるとの長期予報から、ジャケット・コート・防寒具等の冬物商材の動きに期待があるものの、全体的に客単価の低下が見込まれ、巣ごもり消費という状況も考慮すると、先行きは一部不透明である。
,,□,百貨店（売場主任）,・３～４月は買上客数が前年を上回ったものの、５月以降は前年割れが続いている。９月は残暑の影響があるため、判断が難しいが、その要因を差し引くと、前年割れだったと思われることから、今後も変わらないまま推移する。
,,□,百貨店（販売促進担当）,・来客数は伸びているものの、買上客数の増加にはつながっておらず、購買意欲が鈍化していると感じられることから、今後も変わらないまま推移する。
,,□,スーパー（役員）,・たばこの駆け込み需要の反動で、10月からの数か月は全体の売上が多少厳しくなる。ただし、これは一過性の動きであり、景況感がこれ以上悪くなることはない。
,,□,衣料品専門店（店長）,・客との会話のなかで、先行きが非常に暗いとの話をよく聞くため、今後の景気が良くなるには大変な状況にある。
,,□,家電量販店（店員）,・エコポイント制度の効果で12月までは薄型テレビ、冷蔵庫などがよく売れる。
,,□,その他専門店［医薬品］（経営者）,・今後、客に夏バテの反動の症状などが出てこない限り、低迷したままの状態で推移する。
,,□,高級レストラン（スタッフ）,・各地で食に関するイベントが盛り上がっていることから、観光客の流れは良いが、単価の低い物から売れていく状況であるため、景気の回復は当分見込めない。
,,□,旅行代理店（従業員）,・円高が続けば、海外旅行の好調は維持されることになる。一方、中国からの海外客の動向には注意が必要である。
,,□,旅行代理店（従業員）,・来客数はある程度の水準を維持しているが、単価が低いレベルにとどまっているため、好転の兆しは見えない。
,,□,タクシー運転手,・電話注文や来客数の増える要素が思い当たらない。
,,□,観光名所（役員）,・これまで来客数の増加を支えてきた海外客の動向に、円高進行などのマイナス材料の影響が懸念される。また、国内の景気回復にも力強さが感じられないため、先行きに明るい期待が持てない。
