Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,・９月と10月に地元空港に台湾からの定期航空路線が開設される。また、11月には高速道路のICが近郊まで供用開始となる。これらのことから観光面での入込が期待できる。
,,○,商店街（代表者）,・気温に左右されるところが大きいが、今月よりも秋冬にかけての羽織物、防寒物等の必要性を感じることで、商品が売れてくることになり、良くなる。
,,○,スーパー（店長）,・お盆以降、来客数の増加が顕著になっており、回復の兆しが見えてきている。
,,○,スーパー（店長）,・少しずつ販売量が増えており、来客数も増えているため、やや良くなる期待がある。
,,○,コンビニ（エリア担当）,・漁業の出漁回数が増加していることから、消費が上向くことが期待できる。
,,○,家電量販店（地区統括部長）,・アナログ放送終了の反動による影響は、８月までと予想されるため、今後は緩やかに回復傾向になる。
,,○,自動車備品販売店（店長）,・新車販売が伸びた分、冬タイヤの販売が伸び、量販店にとっては追い風となる。
,,○,旅行代理店（従業員）,・先行受注状況をみると、国内旅行は10月が前年比100.9％、11月が前年比109.6％となっており、海外旅行は10月が前年比72.7％、11月が前年比111.3％となっている。前年に比べると海外旅行の受注が悪いが、前年10月はブライダル需要が好調だったためであり、国内マーケットも回復傾向にある。特に３か月先以降は期待が持てる。
,,○,旅行代理店（従業員）,・農繁期から農閑期に向かうため、旅行需要の増加に期待している。
,,○,住宅販売会社（経営者）,・政局が安定して、株価も安定することになれば、これから消費税増税前の駆け込み需要等もあるため、若干上向きになる。
,,○,住宅販売会社（従業員）,・消費税増税の影響で、これから分譲マンションの駆け込み需要が増えてくるとみられるが、その供給には限りがある。そのため、分譲マンション市場では比較的タイトな需給関係が継続することになり、大きなイベント的なかく乱要因がなければ、今後２～３か月先の分譲マンション市場は良好に推移する。
,,□,一般小売店［酒］（経営者）,・ここ数か月、前年比で売上が３％程度ダウンしている。当店の主要得意先である飲食業界においても大変厳しい状況が続いているため、今後もこういう状況がしばらく続く。
,,□,百貨店（売場主任）,・前年の12月以降、買上客数は前年割れが続いている。買上客数が前年を上回る傾向がみえてこない。
,,□,百貨店（販売促進担当）,・街中の集客イベントが来月行われるものの、来客数の増加は一過性のものであり、恒常的な来客数の増加は見込めない。
,,□,スーパー（企画担当）,・節電の夏ということで、家庭内の冷蔵庫の在庫をあまり多く持ちたくないという状況があり、まとめ買いよりも必要なものを必要な時に必要に応じて購入するという傾向がみられる。
,,□,コンビニ（エリア担当）,・売上に大きく影響したたばこも、一連の変化が収束し、前年維持で落ち着いている。天候による影響はあるものの、来客数は前年比で横ばいで推移している。
,,□,コンビニ（エリア担当）,・お盆以降、気温の上昇にともない、来客数の増加や夏物商材の伸びがみられるが、あくまでも気温要素が強い状況である。天候、気温に左右されずに上昇する傾向にはまだない。
,,□,衣料品専門店（店長）,・政府が経済政策を出しても浸透するまでには時間がかかるため、今後かなりの時間をかけなければ直らない。
,,□,衣料品専門店（店員）,・消費者が節約ムードにある。
,,□,家電量販店（店員）,・残暑が残ると季節商材の売行きの立ち上がりが鈍る。
,,□,乗用車販売店（経営者）,・当月の新車受注は新型車の投入やエコカー補助金等の効果により、引き続き前年を上回っている。今後の新車販売台数も、生産が回復した前年水準は下回ったとしても、東日本大震災前の水準を維持できる。
,,□,乗用車販売店（従業員）,・秋の実りに期待しているが、燃油代の高騰が続いているほか、客も節約以上の出費増に大きな不安を持っている。
,,□,乗用車販売店（営業担当）,・正直言って９月以降の状況がはっきり読めない。今より良くなることはないとみられる。
,,□,高級レストラン（経営者）,・景気が上向いてくる要素が見付からない。
