Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・気温の影響は非常に大きいと思われるが、今年の秋冬のトレンドについて、新しい動きなども見えてきているため、そうした動きが客の購買につながれば冬物の動きが速くなることが見込まれる。
,,○,商店街（代表者）,・今月中旬から12月まで、地元百貨店に大手生活雑貨店が入店営業するため、来街者が増加することが見込まれる。また、例年より寒暖の差が激しいとみられるため、冬物衣料等の売上増加も見込める。
,,○,一般小売店［酒］（経営者）,・９月が大変良くなかったため、その反動として10～11月にかけて、売上がかなり回復してくると期待している。飲食動機となる大きな会合がこれから行われる時期でもあるため、今月より良くなることは間違いないとみられる。
,,○,スーパー（店長）,・店舗の改装があり、それに対しての期待感もあり、順調な状況が見込まれる。また、季節らしい気温になっていることもあり、今後、シーズン重点販売品に期待が持てる。
,,○,衣料品専門店（店員）,・秋から年末年始にかけて各種商戦が始まることで、消費者の購買意欲が高まる。
,,○,家電量販店（店員）,・９月で出遅れた分、10月の動きに期待したい。薄型テレビの需要はまだ戻ってきていない。
,,○,家電量販店（地区統括部長）,・大型暖房の需要が１か月遅れで急増すると見込まれる。また、薄型テレビやブルーレイレコーダーの需要が、前年のアナログ放送終了直後と比べて増加すると見込まれることから、全体として販売量は微増する。
,,○,自動車備品販売店（店長）,・暑い季節に動かなかった商材の動きが１か月遅れで動き始めてくることになる。
,,○,高級レストラン（スタッフ）,・11月くらいまでは今と同じ程度の伸びがみられると見込まれる。
,,○,タクシー運転手,・今年は異常な暑さだったが、ここにきて秋らしくなってきたことで、観楓会や秋の行楽などによる需要が期待できるため、やや良くなる。
,,○,通信会社（社員）,・年末を迎え消費へのモチベーションが上がることになる。
,,○,観光名所（従業員）,・11月の高速道路延伸が決定しており、大都市圏からのアクセス向上による観光入込の増加が期待できる。また、新しく就航した台湾の航空会社による国際線定期便の利用が順調で、今後も継続が見込めることに加えて、10月にはもう１社、台湾の航空会社の国際線定期便が就航するため、さらなる利用客の増加が期待できる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・すでに決定している比較的大きな公共工事があるため、特に資材等を運搬する車両の航送が増加する。
,,□,商店街（代表者）,・消費税の増税問題は一段落したが、景気の良くなる要素が見当たらない。
,,□,商店街（代表者）,・景気がどういう風に動くのか国のやり方を見守っている状態にある。
,,□,百貨店（販売促進担当）,・天候による外的要因の終息により衣料品を中心に持直し傾向がみられることになるが、慢性的な来客数の減少傾向は改善しない。
,,□,スーパー（店長）,・期待を込めて変わらないとみている。気温など、天候の不安定なところがあり、客の動きを見ても、なかなか商品を買っていかないという状況にある。
,,□,コンビニ（エリア担当）,・現状維持で推移する。
,,□,コンビニ（エリア担当）,・売上の増減は天候に大きく左右されているだけであり、基礎となる来客数が継続的に増加する状況にはなっていない。
,,□,衣料品専門店（店長）,・客から良い話が聞けない。悪くなることはあっても、良くなるようなことはないのではないかとみられる。
,,□,乗用車販売店（経営者）,・新車の登録台数は生産が回復した前年水準を下回ったが、先行指標である新車の受注台数は依然として前年水準を上回っている。新型車効果がエコカー補助金終了にともなう反動減を打ち消しており、前回の補助金終了時のような大幅な減少の兆候は現状みられない。
,,□,乗用車販売店（従業員）,・需要期に入るが、今の動きでは期待が持てない。
,,□,乗用車販売店（従業員）,・エコカー補助金が終了したが、３か月前と今の状態を比べると、３か月後も変わらず何とかできるのではないかとみている。
,,□,スナック（経営者）,・将来の見通しが持てない。
,,□,旅行代理店（従業員）,・９月に入ってから、土日を問わず来客数は高水準を維持しているが、海外旅行など割合単価の高い商品が売れる一方で、国内旅行は低価格志向がますます強まっている。
