Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・今後は、３日間で10万人以上の集客がある、当市における最大の夏のイベントが行われる時期となることから、地域住民及び外国人を含む観光客の増加が期待できる。今年に入り、航空便利用者も増加していることから、周辺地域のみならず、都心部のホテルや交通機関の利用客の増加も見込まれる。
,,○,スーパー（店長）,・売場構成を大きく変えたことから、客からの支持をもらえるのではないかと期待している。
,,○,衣料品専門店（店長）,・今年の夏は天候も良いようであることに加えて、復興支援にかかる資金の流れが色々と出てくることが見込まれるため、やや良くなる。
,,○,衣料品専門店（店長）,・来客数こそ飛躍的に伸びていないが、客単価の上昇傾向が今後も継続するとみられる。購買客の消費が低単価、多購買から、高単価、中購買になってきていることから、今後の見通しも期待できる。
,,○,衣料品専門店（店員）,・ガソリンの価格が安定してくることになり、気温が上がれば外出する機会も多くなる。消費税の増税問題も先が見えてきたことから、今後についてはやや良くなる。
,,○,家電量販店（地区統括部長）,・前年７月の地上デジタル放送への完全移行前にみられたテレビの駆け込み特需後のテレビの大幅な落ち込みも一巡して若干回復傾向になる。
,,○,高級レストラン（経営者）,・観光シーズンに入ってくることに加えて、道央圏と当地を結ぶ高速道路ができ、利便性が向上していることから、当地にも多少は観光客が来るようになる。
,,○,観光型ホテル（経営者）,・夏以降の予約状況をみると、個人客を中心に堅調であり、ほぼ例年並みとなっている。加えて、海外チャーター便や定期便の開設で中国やタイ、マレーシアなどの新興インバウンドマーケットからの引き合いが強いことから、今後についてはやや良くなる。
,,○,旅行代理店（従業員）,・夏場の北海道発の航空機需要は伸びないが、インバウンドは前年と同様に避暑需要を含めて拡大することになる。
,,○,通信会社（社員）,・やや良くなるかもしれないというニュアンスであるが、ロンドンオリンピック景気による商機が生じることが期待できる。
,,○,通信会社（企画担当）,・夏商戦に向けて、客にとって一層得な条件を提示する予定であるため、今後についてはやや良くなる。
,,○,観光名所（従業員）,・当地において、前年にはみられなかった大規模催事が２つ行われる。また、全国大会クラスのコンベンションが前年より多く開催されること、豪華客船の入港船数が前年より多く予定されていることなどから、観光入込客数や訪問入込客数の増加が見込まれ、地域経済や自社の売上への波及効果が期待できる。
,,○,観光名所（職員）,・海外からの来場者が前々年並みに戻りつつあることに加えて、５～７月の繁忙期に向けてイベント等の企画を行っていることから、来場者の増加が期待できる。ただし、国及び旅行会社が進めている東北地方の観光復興誘致がどのように影響するのかが不安材料である。
,,○,美容室（経営者）,・客の来店回数及び客単価が若干ではあるが確実に上昇傾向にあることから、今後の売上は増加する。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・観光最盛期を迎え、輸送人員、輸送車両ともに１年で最も多い時期となる。
,,□,商店街（代表者）,・今後も季節の変わり目に必要となる商品の買上が減り、需要が落ちたまま季節が移ることになる。
,,□,商店街（代表者）,・今年は残暑が続くと予想されていることから、秋物の動きが遅くなるとみられる。
,,□,商店街（代表者）,・景気の動向としては変わらない方向にあるとみられる。客からもそのような感じで話している声が聞こえてくる。
,,□,商店街（代表者）,・自店は土産屋だが、修学旅行生が前年の３分の１に減っている。修学旅行生は東北地方や、九州新幹線ができたことで九州に行っているという情報もあるが、期待を込めて現状と変わらないとみている。
,,□,一般小売店［酒］（経営者）,・毎月一進一退という状況がずっと続いている。今月は良かったと思うと、次の月ががたっと落ちたり、また悪かったと思うと次の月が好転したり、非常に先行きの読みづらい状況が続いている。何とか底割れをしない状況を保っているため、まだまだ景気が良くなったという実感は持てない。
