Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・例年、道内外からの観光客が徐々に入り込む時期であり、前年に道央圏と当地が高速自動車国道で直結されたことで、雪という不安要素がなくなり、道央エリアからの客が増加する。さらに、外国人観光客も、東日本大震災から１年を過ぎることで影響が薄まり、観光客が増加することになる。これらのことから、ホテルや交通機関、土産店等で来客数及び売上の増加が期待できる。
,,○,スーパー（店長）,・客は支出に対して敏感であるが、新入学、新生活、新年度という節目に際してのハレ型需要は十分に期待できる。また、雪解けとともに省エネ、健康を切り口にした商品の動きが伸びてくる。
,,○,乗用車販売店（従業員）,・エコカー補助金の復活やエコカー減税の延長に加えて、消費税の増税問題が議論されているため、これから春に向けて、例年よりも販売量が増えることが見込まれる。
,,○,乗用車販売店（営業担当）,・エコカー減税の延長とエコカー補助金の復活が閣議決定されたため、今後の受注量の増加が予想される。
,,○,自動車備品販売店（店長）,・新車の納車待ちの客からの見積件数が増えてきているため、来月以降、カーナビなどの販売量の増加が期待できる。
,,○,住関連専門店（経営者）,・前年の東日本大震災の影響が徐々になくなっており、11月以降の売上は前年を上回って推移していることから、今後についてもやや良くなる。
,,○,高級レストラン（スタッフ）,・今年は寒さが厳しく、路面の凍結がひどいことから、外出を控えている客が多いため、２～３か月後は現在の反動が生じ、来客数の増加につながる。ただし、消費税の増税問題や解散総選挙の話題が取りざたされてくることになれば、景気が良くなることはない。
,,○,旅行代理店（従業員）,・徐々に来客数が増えてきていることから、今後は少しずつ良化することになる。ただし、客の低価格志向は相変わらずであり、順調な海外旅行に比べて、国内旅行は低空飛行が続いている。
,,○,旅行代理店（従業員）,・東日本大震災から１年が経ち、少しは人の流れに動きが出てくるようになる。
,,○,旅行代理店（従業員）,・流氷観光、さっぽろ雪まつりなどの冬のイベントによる旅客数の増加が期待できる。ただし、海外からの観光客は、春節が前年の２月から今年は１月になったため、前年との比較では減少することになる。
,,○,タクシー運転手,・３か月前からの売上の伸び率は前年と変わらないが、今年は雪が多いため、売上自体は前年から約２％の増加となっており、今後についても、少しずつではあるが景気は上向くことになる。
,,○,観光名所（従業員）,・東日本大震災後の来客数及び売上の激減からの回復基調は伸びが鈍化しつつあるものの、継続している。また、３月からは航空機の大型化による提供座席数の増加や増便により、観光客やビジネス客の増加も見込まれる。
,,○,観光名所（職員）,・東日本大震災の影響も薄れ、東南アジアからの観光客も戻りつつあるため、今後は外国人観光客による利用増加が期待できる。
,,○,美容室（経営者）,・商品の売行きが徐々に良くなってきている雰囲気があるため、今後の売上増加が見込まれる。
,,□,商店街（代表者）,・カラーやテイストなど、春物のトレンドが見えてきているが、トレンドに対して客の購買意欲が上向いてくることは期待できない。
,,□,一般小売店［酒］（経営者）,・当店における販売量の90％以上は業務用向けであるが、外食が手控えられて家庭内の内食が増えている状況においては、顧客もなかなか仕入量を増やさないため、今後も厳しいまま推移する。
,,□,百貨店（売場主任）,・前年は東日本大震災の影響で３～４月の売上が大幅に落ちたことから、来客数及び販売量は戻ってくるとみられるが、現在の円高や先行き不安といった不安要素もあるため、全体では変わらない状況が続く。
,,□,百貨店（販売促進担当）,・前年の東日本大震災から間もなく１年が経過するが、道内の景況感は依然として厳しく、今後、好転するとは考えられない。
,,□,百貨店（販売促進担当）,・東日本大震災から１年が経つが、一度縮小した消費マインドが大きく伸びる余地はなく、落ち込みの目立った３月以外はほぼ前年並みで推移する。
