Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・様々な新店、百貨店などの新しいビルができるため、確実に人が買物に出てくるので、その相乗効果に期待したい。
,,○,衣料品専門店（店員）,・札幌駅に新しい百貨店がオープンするので、小売業自体が少し盛り返すのではないかと思う。
,,○,一般レストラン（スタッフ）,・３か月前から来客数が前年を上回っており、回復傾向にある。
,,○,観光型ホテル（スタッフ）,・１、２月とも予約状況は前年比プラスとなっている。
,,□,商店街（代表者）,・金融不安、リストラ、そして生活を直撃する医療費の負担増、年金の減額など、消費者を取り巻く環境は厳しく、消費者心理として財布のひもが緩むひまがない。節約志向が定着しており、消費に回復実感がない。
,,□,商店街（代表者）,・客は商品を本当に必要になってから購入する傾向にあり、また低価格商品志向が強い。
,,□,一般小売店［土産］（店員）,・景気の回復というのが具体的に見込めない状況である。税制改正によって、逆に増税感というものが消費に対して与えるマイナスの影響の方が強いのではないかと思う。
,,□,百貨店（売場主任）,・今の状況が、当たり前になってきている。
,,□,百貨店（売場主任）,・民間と公務員のボーナスがカットされているため、２、３か月で景気が回復するとは思えない。夏のボーナス以降でないと景気が回復しないと思われる。
,,□,スーパー（店長）,・12月商戦の客の購入状況をみていると、節約型の購入をしている様子が数多く見受けられる。この様子をみても、この先への期待感はなかなか持てない。
,,□,スーパー（企画担当）,・毎年わずかながら伸びてきたお歳暮ギフトが今年は苦戦している状況である。また、年末商戦もやや盛り上がりに欠けるなど全体の消費の退潮ムードが続いているように感じる。
,,□,家電量販店（店員）,・今月も家電製品のなかではテレビが台数、金額ともに、前年よりも良い結果が出ている。しかし、パソコン、調理家電、その他の商品の伸びがなく、３か月後への期待は持てない。
,,□,家電量販店（地区統括部）,・大幅な需要回復がみられないことに加えて、引き続きＯＡ関連商品に復調の兆しがみられない。これから初売り、決算セールとイベントがあるものの、消費者のマインドは冷えているため、今後も変わらない。
,,□,住関連専門店（経営者）,・物販店については、大きな売り方の変革をしなければ売上が増加する要素がない。
,,□,住関連専門店（営業担当）,・競合店との間の価格競争が激しく、依然として一品当たりの単価の下落傾向が続いている。販促媒体を強化しているが、売上が前年を下回って推移しているため、今後も変わらない。
,,□,高級レストラン（スタッフ）,・利用客の低価格志向は収まらず、販売量が増加しても、売上が伴わない状況が続く。
,,□,高級レストラン（スタッフ）,・雪まつり期間を含めた２月以降の予約が芳しくない状況である。
,,□,観光型ホテル（経営者）,・旅行客数はそこそこ動きがあるが、宿泊単価は低下傾向に歯止めがかからない。地元客も食いつきが悪く、また付帯収入も経費の手控えがあって厳しい。
,,□,タクシー運転手,・タクシー業は需要繁忙期になっているが、ここ数年の前年実績割れが止まった感がある。
,,□,観光名所（職員）,・タクシーの空車状況をみても以前とほとんど変わらず、今後も改善する方向にあるとは到底思えない。
,,□,美容室（経営者）,・この半年間、多少の浮き沈みはあったものの、客数、単価ともに前年と比べて大きな変化はない。今後も時季的な変動はあっても、全体的な変化はあまりないと思われる。
,,□,住宅販売会社（従業員）,・住宅産業の場合、土地の値下がりが止まっていないため、先行きに対しては悪いままで変わらない。政策も特にどうなるかわからないので、あまり変わらないと思う。
,,▲,商店街（代表者）,・年金の減額や色々な商品の値上げ、リストラ等も進んでいるようで良くなるものが全くみえてこない。
,,▲,コンビニ（エリア担当）,・買回り品の単価の減少が目立っている。
,,▲,コンビニ（店長）,・１年半の間に競合店が５店舗も出店した。とてもこの状態を維持できるとは思えず、先行きはやや悪くなると思う。
