Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・３か月後には青森で冬季アジア大会が開催されるが、札幌の雪まつりとの相乗効果で人の流れを函館に呼び込む仕掛けが期待される。
,,○,一般小売店［土産］（店員）,・今後の若年層のスキーツアーには、堅調な前予約が入っているという情報なので、冬の商戦は、以前よりも若干期待できる。
,,○,美容室（経営者）,・客の会話でおいしい食物や、ファッションの話題が出てきて、いくらかは以前よりお金を使うような雰囲気が感じられる。
,,□,商店街（代表者）,・通常２月は閑散期といわれ、売上が落ち込む月ではあるが、駅前の大型百貨店の新規出店に伴い、客数の増加が多少は見込まれるため、全体としては変わらない。
,,□,百貨店（売場主任）,・通常であれば、すでに来春の梅春商品（ピンクやブルーの色合いの商品、主に成人式や２月の入進学を対象としたもの）などが出始めるが、今のところ、客はそういった商品にはまだ目を向けていない。また、冬物の売り尽くしにも目が向くはずだが、まだ、12月、１月の値下げを待っている状況であり、今後も傾向は変わらない。
,,□,スーパー（店長）,・現在、展開しているお歳暮の動きをみても、発送件数のダウン、低単価傾向は依然として変わりがなく、先行きの景気はあまり期待できない。
,,□,家電量販店（店長）,・失業率も高く、雇用状況も悪いため、今後もあまり期待はできない。また、価格競争も相変わらず激しいため、単価がダウンしている傾向にある。
,,□,住関連専門店（営業担当）,・集客策として、前月に引き続きチラシ等の販促媒体を強化しているが、月間を通して相変わらず前年を下回って推移している。ただし、降雪、気温の低下などと売出し日が重なると売上が伸びるため、全体としては変わらない。
,,□,高級レストラン（スタッフ）,・デフレ傾向はいっこうに収まらず、また、安価販売をしても収入に結びつかなく、今後も販売総量の落ち込みは押さえられない。
,,□,観光型ホテル（経営者）,・道外客の消費単価の低迷の影響を受けて、地元客にも低単価志向が浸透している。また、冬のイベントも、マンネリ化打破が必要だが、業績不振から企業からの資金が集まらず、多くは期待できない。
,,□,観光型ホテル（スタッフ）,・予約の入り方が遅くなってきており、年末年始の動きが低調である。
,,□,旅行代理店（従業員）,・低金利や株価の低迷により、熟年層の動きが鈍い状況が続く。
,,□,タクシー運転手,・タクシーの利用は冬期間は特に天候に左右されるが、長期予報でも例年と寒さ、降雪等は変わらないので、これから先、需要が増えるとは思えない。客の話を聞いても、景気が良くなる話はなく、むしろ悪い話ばかりである。
,,□,タクシー運転手,・来月から新免のタクシー事業者が走るということだが、規定の料金で走るということもあるので、全体的には変化はないと思われる。
,,□,観光名所（職員）,・タクシーの空車率が以前と全く変わらず、しばらく続くのではないかと思われる。
,,□,住宅販売会社（従業員）,・住宅産業の場合、政策が大きくものをいうので、長期的に不安を取り除くような政策を採用しなければ、現状維持のままで市場は推移する。
,,▲,商店街（代表者）,・今月の来客動向や冬物衣料の動きからみて、先行きも厳しいと思われる。
,,▲,スーパー（店長）,・年末一時金の平均が６年連続で低下するなど、消費者の購買意欲が向上する状況は見当たらない。
,,▲,スーパー（企画担当）,・雇用や所得に対する将来不安、株安や金融システムの動揺など、引き続き、客の購買行動が慎重にならざるをえないような状況が続いている。
,,▲,コンビニ（エリア担当）,・公共工事の減少に伴い、幹線沿いにある店舗で客数の減少が強まる。
,,▲,衣料品専門店（店長）,・高品質、高単価な商品に購買がシフトしてきているが、消費量は３か月前に比べて、落ち着いてきており、年末年始に影響があると感じる。
,,▲,家電量販店（経営者）,・炭鉱の離職者の就職先がなかなか決まらない現状をみると、やや悪くなっていくものと思われる。
,,▲,その他専門店［医薬品］（経営者）,・店内に入っても素通りする客が増えており、他店との価格比較で自衛する傾向がますます出てきている。
