Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,その他専門店［医薬品］（経営者）,・健康志向の客が増加している。
,,○,旅行代理店（従業員）,・米国テロの影響による海外旅行の自粛は徐々に解除されている。また、学校の完全週休二日制の開始などによる旅行需要の増加が期待できる。
,,○,旅行代理店（従業員）,・受注量が月を追うごとに徐々に回復傾向にある。また、今後の地方空港発チャーター便は、国内便、国際便ともにほぼ満席の申込状況である。
,,○,観光名所（役員）,・大手旅行代理店が打ち出したキャンペーンへの客の食い付きが良い。入込客数については、計画に到達しそうな状況にあるが、旅行単価については上昇は見込めない。ただし、道外客が増加すれば消費単価の上昇も期待できる。
,,□,スーパー（店長）,・一時的に落ち着いていたBSE（牛海綿状脳症）問題であるが、食品メーカーの牛肉偽装事件で更に消費の低迷が続く。
,,□,スーパー（店長）,・周囲の雰囲気が明るくならず、客の消費も上向かない。
,,□,コンビニ（エリア担当）,・観光客の消費に大きな期待ができない。
,,□,家電量販店（店長）,・ワールドカップ開催関連での需要に期待はあるものの、就職難であり、新卒者、就職者向け商品の販売には期待できない。
,,□,家電量販店（店員）,・冬期オリンピック開催に向けてテレビの需要が拡大しているが、前年実績を下回っており、ワールドカップ開催に向けた特需についても期待できない。
,,□,高級レストラン（スタッフ）,・観光客の利用率がやや低下ており、レストランを利用しても低予算である。努力して地元客に来店してもらっても、現状を守るのが精一杯である。
,,□,住宅販売会社（従業員）,・不動産や住宅への投資の動きが期待できない。
,,□,住宅販売会社（従業員）,・価格競争の動きは今後も続くが、客の動きに大きな変化はない。
,,▲,百貨店（売場主任）,・失業率の悪化に伴う来客数の減少が懸念される。
,,▲,スーパー（店長）,・大型店の撤退や炭鉱閉山の影響で大量の退職者が発生し、雇用不安はますます広がり、消費意欲が減退する。
,,▲,スーパー（店長）,・競合店との競争が激しい一方で、牛肉の販売の回復が期待できない。
,,▲,スーパー（店長）,・来客数はやや増加しているが、１品単価の低下に下げ止まりの目処が立たない。
,,▲,スーパー（企画担当）,・BSE（牛海綿状脳症）問題から落ち着きを取り戻しつつあった中の食品メーカーの牛肉偽装事件は、食の安全安心に対する、消費者の不信感を再び助長させ、消費マインドにマイナスの影響が出てくる。
,,▲,高級レストラン（スタッフ）,・地域的にみて好材料に乏しいことに加え、閉店していたホテルの新規再開等があり競争が激化する。
,,▲,観光型ホテル（スタッフ）,・予約が直前に決まる等、これまでの傾向からの予測が立てづらくなっている。また、団体客の規模がますます小グループ化している。
,,▲,観光型ホテル（経営者）,・今年は、１月の出だしから非常に悪い状態が続いており、これが好転する材料は見当たらない。
,,▲,タクシー運転手,・タクシーは２月１日から新しい道路運送法により、規制緩和が実施されるため、今後２、３か月くらいで新しい会社が出来たり、運賃を値下げする会社が出てきたりすることが予想されるので、今まで以上に競争が激しくなる。
,,▲,通信会社（企画担当）,・携帯電話の普及状況に、飽和感がみられる。
,,▲,美容室（経営者）,・客との会話で、失業、リストラの話題が出るようになっている。
,,×,商店街（代表者）,・炭鉱閉山等の影響で、郊外へ移転する店がある。
,,×,一般小売店［土産］（店員）,・低単価志向、買い控えという状況が、日常生活のみならず、旅行や観光においてもみられる。
,,×,百貨店（売場主任）,・各企業で決算や春闘をむかえるが、賃金の回復は期待できず、逆に更に減少する企業が多いと予想されている中で、可処分所得が圧迫されれば、客の消費に悪い影響が出てくる。
,,×,スナック（経営者）,・客との会話では、炭鉱閉山、大手スーパーの閉店等、明るい話題がない。
,,×,タクシー運転手,"・基幹産業であった炭鉱閉山が決定し、約1,000人の失業者が発生すること等から、地域の消費が減退することに加え、タクシー業界では２月１日からの規制緩和により、値下げの競争が激化する。"
