Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・冬物のバーゲン時期ということもあり、正価で販売する商品に動きがない分、ほかのところで動きが出てくると思われる。また、来春、新しい店のオープンで客の動きも出てくると期待する。
,,□,商店街（代表者）,・消費マインドを高める要因がない。
,,□,百貨店（売場主任）,・身の回りでは、前年のセール品といった目玉商品に客の目が集中しており、今後も通常価格品が売れるとは考えられない。
,,□,コンビニ（エリア担当）,・商品の単価は低価格指向が強まっているが、客数は増えているので変わらない。
,,□,コンビニ（店長）,・10月は偶発的なまとめ買いが多くあったが、これは、将来的に約束されたものではないので、今後への期待はできない。近隣に大型激安店が出店し、自店で主力としているジュースやカップラーメン等が、安価で売られており、今後は厳しくなると考えられる。
,,□,衣料品専門店（店長）,・客との会話のなかで、医療費や年金の心配をする人が多く、そう簡単には良くならないと思う。
,,□,家電量販店（店員）,・家電商品では最近、台所回りの商品がよく動いており、ＡＶ商品の動きが例年並みとなっている。今後は、ハイビジョンテレビ、プラズマテレビなどで前年より販売台数が伸びると思うが、買換え商品の単価が前年よりも低下しており全体としては変わらない。
,,□,住関連専門店（営業担当）,・集客策としてチラシなどの販促媒体を強化しているが効果が現れない。
,,□,高級レストラン（スタッフ）,・オフ期に入るこの時期は、低単価販売に拍車がかかると予想され、現状の悪い状態が続くと思われる。
,,□,観光型ホテル（スタッフ）,・観楓会などの団体入込客の増加を見込んでいるが、冬場の落ち込みも見込まれ、横ばいと思われる。
,,□,タクシー運転手,・タクシー利用客の話を聞いていても、景気が少しでも良くなるような話はなく、これから冬に向かう北海道では観光シーズンも終わり、また、イベントの開催もなく、景気が良くなる要素がない。
,,□,タクシー運転手,・タクシー業界では冬期間にかけて需要期に入るが、楽観はできない。
,,□,タクシー運転手,・当市で新規参入のタクシー業者が走るのではと言われており、いますぐ景気の回復があるとは思えない。
,,□,美容室（経営者）,・12月は他の月よりは売上があがるとは思われるが、例年を上回ることは期待できない。
,,▲,百貨店（売場主任）,・高額品の売上が良くなく、また、単価が下がっている状況が見受けられる。
,,▲,スーパー（店長）,・株安、失業率悪化など、消費者心理に明るさを与える要素が少なく、収入が若干増加しても消費には直結しないと思われる。また、政府の構造改革政策も実態が見えず、将来不安が消費の阻害要因となっている。
,,▲,スーパー（企画担当）,・雇用や所得に対する将来の不安や、株安などの金融システムの動揺など、客の購買行動にとってマイナスになる材料ばかりが目立つ。
,,▲,コンビニ（エリア担当）,・年末のボーナスが減少すると思われ、客単価の低下が顕著に進む。
,,▲,衣料品専門店（店員）,・現時点のボーナス払いの客が少なく、ボーナスを期待していない人が多いと思われる。このため、ボーナス時期の買い控えが予想される。
,,▲,乗用車販売店（従業員）,・各家庭で減給されるケースが多く、ボーナス商戦は厳しくなることが予想される。
,,▲,その他専門店［医薬品］（経営者）,・休日は家から出ないような家庭が増えているようであり、ますます必需品のみ購入するパターンになる。
,,▲,一般レストラン（スタッフ）,・外食では、勝ち組と負け組の差がますます大きくなっており、全体的に客の来店頻度が少なくなると予想される。
,,▲,観光型ホテル（経営者）,・単価の下落に歯止めがかかる状況がみえないことに加えて、企業での行事の減少、家族旅行の出控えといったマイナス要因が強まることが感じられ、入込客の減少が明確に現れると見込まれる。
,,▲,観光型ホテル（経営者）,・冬場の入込は農閑期の農業関係者が多いので、米の作柄が、道内一円、例年より悪くなっている今年は、農業関係者のマーケットが縮小し、やや悪くなる。
,,▲,旅行代理店（従業員）,・収入が減るなか、貯金を取り崩してでも旅行に行く客が少ない。
