Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,コンビニ（エリア担当）,・来客数等の状況が上り調子で推移している。
,,○,住関連専門店（営業担当）,・単価が落ち込んでいる状況を上回る勢いで、来客数が増加している。
,,○,観光名所（役員）,・宿泊客等へのアンケート結果では、観光ニーズが安さだけを魅力とする旅から、アメニティグッズの充実を求めるなど、安価でゆとりのある旅へと変化する動きがわずかであるがみられる。
,,○,美容室（経営者）,・客にとって価値観のある物や、今のブームになっている物を買う傾向が強まっている。
,,□,商店街（代表者）,・バーゲン商戦で、来客数は増加するが、夏物なのでかなり単価が低くなり、売上は変わらない。
,,□,百貨店（売場主任）,・現在の初夏物の商品が売れない状況をみていると、客に購入する雰囲気がみられず、売り尽くしバーゲンを待ち望んでいる様子もない。
,,□,スーパー（店長）,・お中元商戦がスタートするが、これまでのお歳暮や内祝いの状況からみて、単価や販売件数の落ち込みが懸念される。
,,□,スーパー（企画担当）,・サッカーワールドカップによる消費の喚起や、それが醸し出す消費に対する心理的な好影響が期待できるものの、販売単価の持続的な低下傾向等も懸念される。
,,□,コンビニ（エリア担当）,・継続している客単価の下落に歯止めがかかっていない。
,,□,コンビニ（店長）,・近所に新しいホテルが開業したこともあり、来客数が増加し、例年並みの良い状態に回復しつつあるが、この先はこれ以上のことは望めない。
,,□,衣料品専門店（店長）,・客の様子をみていると、自分の欲しい物、目新しい物には関心を示す傾向がある。今後、大型の新商品が発売される見込みがなく、売上が増加することは難しい。
,,□,その他専門店［医薬品］（経営者）,・客に物を買わないで自衛するという雰囲気が一気に出始めている。客はおまけ商品を付けても、値引いても反応しない「しらけ状態」であり、この道25年で最大の危機を感じている。
,,□,高級レストラン（スタッフ）,・地域内でホテルの倒産があり、地域のイメージダウンが懸念される。
,,□,一般レストラン（スタッフ）,・例年だと６月ごろから観光シーズンに入り、イベント、祭りなどで売上が増加する時期であるが、今年はサッカーワールドカップが札幌で３試合開催されるため、人の動きを読みにくい状況である。
,,□,スナック（経営者）,・周囲で店を閉める飲食店が依然として多い。
,,□,旅行代理店（従業員）,・国内旅行の需要には期待できるが、海外旅行が伸び悩んでいる。
,,□,タクシー運転手,・タクシーの利用状況は天候に左右され易く、長期天気予報で暖かい日が多いと予想されていることからみて、あまり期待できない。また、３月から施行された規制緩和に伴い、札幌市内でタクシー台数が50台以上増加しており、タクシー台数の過剰な状況に拍車をかけている。
,,□,通信会社（企画担当）,・携帯電話関連の需要については、今後新たな機種が出てくるので、消費が喚起され、それなりの売上の増加が期待できる。
,,□,美容室（経営者）,・客に様々な提案をしているが反応が鈍い。また、すばらしい技術だからといって商品価値と認める客が非常に少ない。
,,▲,スーパー（店長）,・１品単価の下落の継続に加え、同業他社との競争が激化している。
,,▲,乗用車販売店（従業員）,・例年と比べて、来客数が少なく、なかなか成約に結び付いていない。
,,▲,旅行代理店（従業員）,・個人客の申込の動きが鈍い。また、海外における地域紛争の頻発、膠着状態等のマイナス要素が懸念される。
,,▲,タクシー運転手,・日中は人の動きがあるが、夜間は街に人がほとんどいない状況である。
,,▲,設計事務所（所長）,・現段階で、これから先のプラス要素になる部分が、全くみえない状況で、銀行の貸し渋り等で、２か月、３か月先を読むのは大変難しい状態である。
,,×,一般小売店［土産］（店員）,・ワールドカップという大きなイベントを控えているが、その影響で一般の団体ツアーの来客数が減少し、土産需要の減少が懸念される。
,,×,旅行代理店（従業員）,・周辺で空き店舗がどんどん増加し、人が寄り付き難い雰囲気になっている。
,,×,住宅販売会社（従業員）,・住宅業界では、デフレが止まらない限り、客の購買意欲が喚起されない。
