Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（地区統括部長）,・アテネオリンピックというビッグイベントがあるため、ＡＶ商品を中心に盛り上がってくることが予想される。
,,○,百貨店（売場主任）,・株価が上がったことで、自然と商品の作り込みなども良くなっており、客の反応も良くなってきている。このまま株価が上がっていくと予想されているので、今後もこうした傾向は継続する。
,,○,観光型ホテル（経営者）,・道外客については、首都圏を中心とした大手エージェントの新商品開発・拡販が見込まれるほか、東南アジアからの海外客も増員の見込みがある。道外では景況の明るい見通しに支えられているが、地元客の動きに明るい材料はない。
,,○,観光型ホテル（スタッフ）,・前年のＳＡＲＳ等の影響によるマイナス要因もなく、予約も前年の同日時点に比べてかなり上回っている。
,,○,旅行代理店（従業員）,・道内の冷え込んだ状況に変化はないが、本州方面の景気回復基調によって道内旅行客の増加が期待できる。また、桜前線が例年になく早まり、客の行楽も早めに活発化すれば、業界としては販売期間が長くなり有利になる。
,,○,観光名所（役員）,・３月末までの来客数や、レストラン・売店などの動きも、やや増加基調にあり、４月の予約状況にも改善傾向がみられる。
,,○,美容室（経営者）,・客は、以前より商品の説明を求めるようになってきて、気に入ったものは買う傾向が出てきている。
,,□,商店街（代表者）,・株高や景気回復に伴う消費回復などの報道がされているが、街中の実態は回復の兆しがみえない。地方では春はまだ先のようである。
,,□,百貨店（販売促進担当）,・来客数、客単価とも、大きな変化がみられず、動向は変わらない。
,,□,スーパー（企画担当）,・消費税総額表示に関連して、小売業者側の対応が直前になって二転三転しており、混乱を極めている。導入後については、同種類の商品価格の表示が何種類も存在することで、客の価格に対する信頼感が損なわれ、購買行動にマイナスの影響を及ぼすことが想定される。
,,□,コンビニ（店長）,・特に明るい材料もなく、天候が極端にでも良くなってくれない限りは、別に変わらない。下げ止まりというところが見えたので、これ以上は悪くはならないと思うが、良くなる材料も取り立ててない。
,,□,乗用車販売店（従業員）,・来客数が前年より少なくなる傾向にあり、売上も減少している。
,,□,住関連専門店（営業担当）,・年金問題やＢＳＥ・鳥インフルエンザなど食品の不安、消費税総額表示の実施による値上がり感で、景気の回復のプラスとなる要因がみられない。
,,□,その他専門店［医薬品］（経営者）,・客は前年以上に財布のひもを締めている。
,,□,一般レストラン（スタッフ）,・当店のメインターゲットである航空機の乗降客は、前年から減少が続いている。特に団体観光客の入込がこの半年、前年比80％台で推移している。
,,□,観光型ホテル（経営者）,・大都市圏では景気が回復していることになっているが、大都市圏から北海道への観光客の流入増という形にはなっていない。また、２～３か月で際立って改善するだろうという要素も見当たらない。
,,□,旅行代理店（従業員）,・団体旅行の低迷もあり上昇傾向とはいえない。発団体の減少と低価格からの収益減少傾向は一層強まるだろう。個人グループへの流れは、一定量を保ちそうだが、海外旅行の不透明感が不安材料となる。
,,□,旅行代理店（従業員）,・４月以降の受注状況は芳しくないが、海外旅行はＳＡＲＳなどからの回復がみられ、前年比は良化しつつある。
,,□,観光名所（職員）,・タクシーの空き具合が以前と変わらない。まだまだ、好転の兆しはみえない。
,,□,住宅販売会社（従業員）,・客の動向の鈍さというのは、所得の低下が要因しているように強く感じる。
,,▲,スーパー（店長）,・４月からスタートする消費税総額表示に伴い、売価に対する割安感が薄れる。ますます売上不振につながるように思う。
,,▲,スーパー（店長）,・競合環境の激化に伴い価格競争が一層進行している。また、消費者における無駄遣いの排除、節約意識の浸透が進むとともに、ＢＳＥ・鳥インフルエンザといった外的要因による畜産物の消費低迷が予想される。
,,▲,スーパー（店長）,・消費税総額表示が始まるが、価格に消費税分をそのまま上乗せすることができないため、実質的な値引きとなり、売上が減少する。
