Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・マスク着用ルールが緩和されたことで徐々に人出が増えてきた。物販店の売上はコロナ禍前の水準に近づいており、あと一歩という状況である。飲食店、特に居酒屋は送別会などの利用が活況であり、予約で埋まっている日も多くみられた。今年は雪解けが早かったこともあって、好調が続きそうな雰囲気があり、安どしている。
,,◎,一般小売店［土産］（経営者）,来客数の動き,・客の動きの良さが売上にも表れている。３月の売上は前年比で281％、前々年比で510％、2020年比で473％となっており、コロナ禍前の2019年比でも119％となっている。
,,◎,旅行代理店（従業員）,来客数の動き,・コロナ禍の出口がようやくみえてきた。春休みに入ってからの航空需要は若年層や家族連れの動きが活発であり、空港のにぎわいも戻っている。３か月前の年末年始と比べても航空便の利用者数が多くなっている。
,,◎,旅行代理店（従業員）,来客数の動き,・客からの問合せ件数が大幅に増えている。
,,◎,観光名所（従業員）,来客数の動き,・３か月前の12月時点で利用者数が平均基準値の1.5倍と伸びていたが、３月はそれを更に上回る約２倍まで増えている。
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルス感染症が終息しつつあるなか、人出が徐々に回復している。ただ、物価高の影響で客の財布のひもは固い。
,,○,百貨店（販売促進担当）,来客数の動き,・物価の上昇が続き、客の生活防衛意識が高まっているとみられるものの、消費に対する意欲は予想に反して高止まりしている。来客数が増加しているだけでなく、客単価も上昇している。
,,○,百貨店（マネージャー）,それ以外,・２月及び３月は買上客数が２けた増と好調であった。３月も販促企画が奏功し、順調に推移している。特に春物衣料が好調なことから、今後にも期待が持てる。
,,○,コンビニ（エリア担当）,来客数の動き,・現状は大きく変わっていないが、来客数が今までよりも増加しており、景気が上向きつつある。
,,○,コンビニ（エリア担当）,来客数の動き,・前月に引き続き、国内観光客及びインバウンドの利用が増加している。
,,○,衣料品専門店（経営者）,お客様の様子,・新型コロナウイルス感染症の影響が薄れつつある。
,,○,乗用車販売店（経営者）,販売量の動き,・新型車の発売を機に来客数が増加している。それに伴って受注も堅調に推移している。
,,○,乗用車販売店（従業員）,競争相手の様子,・自動車の生産台数が回復しているなか、グループ会社の売上が好調に推移している。当社の売上も今後は良くなると期待している。
,,○,その他専門店［医薬品］（経営者）,単価の動き,・ここ最近、客の購買意欲が明らかに上向いている。新型コロナウイルス感染症関連以外での質問や相談が増えている。
,,○,高級レストラン（スタッフ）,来客数の動き,・マスク着用が自主判断となったことで、消費者のムードが明るくなっている。移動もしやすくなっていることで、景気が良い方向に進みつつある。
,,○,旅行代理店（従業員）,来客数の動き,・マスク着用ルールの緩和や全国旅行支援の延長などにより、人の移動が活性化している。旅行需要もコロナ禍以前の水準に迫るものがある。
,,○,タクシー運転手,来客数の動き,・３月は12月に次いでタクシーの利用が多い月であり、今年は前年と比べても10％売上が増えている。コロナ禍前と比べてもタクシー１台当たりの売上は10％良くなっており、歩合給のタクシードライバーの給与もコロナ禍前よりも10％ほど増えている。ただ、乗務員不足の影響でドライバーがコロナ禍前と比べて30％減っており、会社全体の売上もコロナ禍前と比べて30％の減少となっている。
,,○,タクシー運転手,販売量の動き,・当社の事業売上及び関連飲食店の売上から、ウィズコロナのフェーズに入ったことを実感している。
,,○,美容室（経営者）,来客数の動き,・新型コロナウイルス感染症が終息しつつあること、雪解けが例年よりも早かったことから、来客数が増加している。売上も従来の水準に戻りつつある。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・前年を上回る輸送量がみられるなか、３月に入り増加幅が拡大している。今後にも期待が持てる。
,,□,商店街（代表者）,来客数の動き,・居酒屋など、スナックやバー以外の夜型飲食店が徐々に回復しているものの、昼間の来街者数は減少を続けている。また、入学や就職準備などの季節需要による買物は、地元百貨店の閉店に伴って、客が市内各所に分散しており、当区域において目立った動きは見られない。外国人を含めた道外観光客が当区域を訪れている様子もほとんどみられない。
,,□,商店街（代表者）,お客様の様子,・客単価が低下するなど、客の購入の仕方が変わっている。
,,□,スーパー（店長）,販売量の動き,・前年はまん延防止等重点措置が出ていた時期であったことから、来客数は前年を上回っているが、原材料価格高騰の影響もあって、客の買上点数は前年を下回っている。客単価が前年を上回るようになってこないと景気が上向いているという判断にはならない。
,,□,スーパー（企画担当）,単価の動き,・雪解けが進んでいること、マスク着用が自己判断となったことから、客が活動的になり、外食機会が増えることを懸念していたが、客足は落ちていない。また、商材の値上げに伴って客単価も伸びており、売上は堅調なまま推移している。
,,□,コンビニ（エリア担当）,それ以外,・客の買上点数がやや減少しているものの、商品単価の上昇により、売上は前年並みを維持している。ただ、営業経費が増えているため、経営環境としては横ばいである。
,,□,衣料品専門店（エリア担当）,来客数の動き,・来客数については大きな増加もみられず、前年をやや下回る状況が続いている。一方、客単価については上昇が続いている。これらのことから、目的がはっきりしている必要な商材だけを買う傾向が続いていることがうかがえる。
,,□,家電量販店（店員）,来客数の動き,・３月前半から来客数がやや増加している。客の滞在時間も長くなっている。月後半の売上は横ばいであったが、活気が少しずつ戻っている。
,,□,乗用車販売店（従業員）,販売量の動き,・今年は雪解けが早かったこともあって、３月の決算期に向けて、例年よりも早めの２月から販売状況が好転しており、その分、３月の販売状況が例年よりも厳しくなっている。また、新型コロナウイルス感染症が終息しつつあることで全体的な販売量もやや上向いているようにみえるが、長納期化で車の売上がなかなか立たないため、全体的には厳しい状況にある。
,,□,自動車備品販売店（店長）,販売量の動き,・新型コロナウイルスの感染状況が落ち着きつつあるが、物価高により光熱費や食費などの負担が増えているため、消費につながっていない。
,,□,住関連専門店（役員）,来客数の動き,・前年と比べて来客数が増加していない。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・客の節約志向が強く、販売量が伸びてこない。
,,□,高級レストラン（スタッフ）,販売量の動き,・ランチの売上はコロナ禍前の50％前後に落ち着きそうで、景気は変わっていない。一方、人員数に合わせた営業方法に苦慮している。知人の店は少ない人員で対応できるように、昼を予約制にしたり、予約時刻を絞るなどしている。夜の営業を継続的に休止している店もある。また、食材の値上げの影響も地味に続いている。特に低価格の割に品質が良く、当店で人気のあったオイルが大幅値上げとなったため、別のオイルに変更せざるを得なくなり、客からの苦言や客離れが生じることを懸念している。
,,□,観光型ホテル（経営者）,来客数の動き,・北海道の地方観光地においてはまだ十分なインバウンドの入込がみられない。地方空港の国際便が早々に増えない限り、経営的には厳しい状況が続く。
,,□,観光型ホテル（スタッフ）,販売量の動き,・全国旅行支援に固執しない客が増えている。一方、先々の予約を取る動きは鈍く、１か月先ないし１か月半ほど先までしか予約の動きが見られない。
,,□,旅行代理店（従業員）,販売量の動き,・全国旅行支援が販売量を保つ要因となっているが、３か月前と同様に海外旅行がいまだ低調であるため、景気は変わらない。
,,□,タクシー運転手,来客数の動き,・夜間のタクシー利用は一時的に増えているものの、観光客の利用状況にはそれほど変化がみられない。結果的に景気は良くも悪くもない状況にある。
,,□,タクシー運転手,来客数の動き,・新型コロナウイルスの感染状況が落ち着きつつあるが、いまだにはっきりとした先行きが見えてこない状況にある。
,,□,美容室（経営者）,お客様の様子,・諸物価が上昇していることの影響を心配していたが、客との会話から、苦言はあるものの、消費動向そのものは余り変化していないことがうかがえる。
,,□,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスの感染状況が終息しつつあり、インバウンドも大分増えていることで、観光業の景気は良くなっているものの、建設・建築業界は物価高、原料高、金利高の影響で厳しい状況にある。住宅もなかなか建たず、大きな建物の建設計画も延期されるなど、業界によって景況感に差が出ている。
