Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・客足が順調に伸びている。一方、北海道も記録的な猛暑に襲われていることで、自宅から出ない人が増えており、経済面での大きなマイナスもみられる。全体的には客足の勢いは失われていないことから、猛暑が早く落ち着くことを願うばかりである。
,,◎,百貨店（マネージャー）,販売量の動き,・来客数、販売量、客単価のいずれも前年比で２けたの増加となっており、好調に推移している。販売促進企画が功を奏していることもあって大幅増の状況が継続しているため、３か月前と比較すると景気は良くなっている。
,,◎,観光型ホテル（スタッフ）,単価の動き,・月間宿泊単価が過去最高を視野に入れるほどの高さとなっている。全国旅行支援は終了したものの、お盆や週末を中心に顕著な伸びがみられた。
,,◎,旅行代理店（従業員）,来客数の動き,・国内旅行を中心に需要が増えてきている。ただし、海外旅行への問合せは動きが鈍い。
,,○,商店街（代表者）,来客数の動き,・区域内の駐車場の利用状況をみると、他地域ナンバーの車も多く、満車に近い時間帯が比較的多くみられた。車に戻ってくる客は買物袋を携行していることが多く、買物後であることが確認できる。夏祭り期間やその前後は、昼の飲食に加えて、夜型飲食店も売上を伸ばした。また、新型コロナウイルス感染症が５類に移行したことで、地元出身者が帰省しやすくなり、お盆の際は飲食店や土産店の利用が多くみられた。これらのことから、８月はやや良い状態で推移した。
,,○,一般小売店［土産］（経営者）,来客数の動き,・今年の夏は高校生による全国規模の大会が行われ、大会に出場する高校生とそれに帯同する教師や家族が全国から集まったことで、土産品がよく売れた。自分へのお土産として買うケースが多いため、客単価は低いものの、来客数が好調なことから、売上は前年を大幅に上回っている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・観光客の入込が好調に推移していることで、取引先のホテルやすし店への販売額が大きく増えている。
,,○,百貨店（売場主任）,来客数の動き,・外国人観光客やシニア世代の来客数が回復傾向にある。
,,○,百貨店（販売促進担当）,単価の動き,・各地でイベントが行われたことで、来客数が増加している。客単価も上昇傾向が続いている。
,,○,スーパー（店長）,来客数の動き,・外国人観光客の姿をよく見掛けるようになり、免税品の売上が2019年に近い水準まで回復している。
,,○,スーパー（店長）,単価の動き,・当店の認知度が高まっていることで来客数が増えている。また、値上げが進むなか、客単価もそれに伴って上昇しており、当店の景気は良くなっている。
,,○,スーパー（企画担当）,それ以外,・新型コロナウイルス感染症が５類に移行して初めての夏を迎えたことで、観光客が増加しているほか、アウトドアも活発になっている。観光地に立地している店舗では、バーベキュー用品やアウトドア商品の販売が好調に推移している。気温の高い日が続くなど、好天に恵まれていることもプラスである。
,,○,スーパー（役員）,お客様の様子,・気温の高い日が続いているなか、地域の夏祭りなどのイベントが増加していることで、アイスや飲物の売上が好調に推移しており、売上全体を押し上げた。
,,○,コンビニ（エリア担当）,来客数の動き,・気温上昇に伴って来客数が増加している。気温の影響は一過性のものであり、景気とは直接関係ないものの、売上の内容をみると、気温が影響しないような商品群の売上も増加が顕著なため、景気はやや良くなっている。
,,○,コンビニ（エリア担当）,販売量の動き,・気温の高い日が続いているため、夏物商材の販売量が上乗せできている。また、イベント需要が回復していることもプラスである。
,,○,コンビニ（エリア担当）,来客数の動き,・観光需要やイベント需要が回復していることが大きい。
,,○,衣料品専門店（エリア担当）,来客数の動き,・物価の上昇は続いているが、猛暑対策商品のように必要不可欠な商品は購入されている。客が今の状況に少しずつ慣れてきて、計算しながら何に支出するか、その優先順位を決めるようになっている。
,,○,乗用車販売店（従業員）,販売量の動き,・主力車種のモデルチェンジを秋に控えるなか、８月から先行受注が始まったため、受注量が伸びている。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・過去にないほどの猛暑が影響して、当店の主要客層である高齢者の動きが完全に止まっている。しかしながら、コロナ禍でみられたような消費の弱さはみられなくなっているため、景気はやや良くなっている。
,,○,高級レストラン（スタッフ）,販売量の動き,・週末及びお盆期間中が混雑したこともあって、売上はコロナ禍前の50％を超えた。家族連れなど、小規模団体の利用も目立ってきた。客によると、道内地方都市のビジネスホテルでは、観光客に加えて、工事関係者の利用が増えていることで、９月、10月も満室の日が多く、予約を取りにくいようだ。利用客が増えているため、ホテルが値上げするケースもあるようだ。
,,○,高級レストラン（スタッフ）,来客数の動き,・現状、来客数に陰りが見えないことから、景気はやや良くなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・インバウンドを始め、国内外からの観光客の動きが活発になってきており、それに伴って来客数も増加している。例年はお盆を過ぎると客の勢いが止まってくるが、今年は来客数が横ばいのまま推移している。
,,○,観光型ホテル（経営者）,来客数の動き,・夏の観光シーズンに入り、国内外からの集客が好調に推移している。国内客は個人旅行、インバウンドは韓国からの観光客が集客の中心となっている。宿泊単価の引上げができていることもプラスである。
,,○,旅行代理店（従業員）,来客数の動き,・夏の繁忙期を迎えたこともあり、７月の国内線利用者はコロナ禍前の水準に回復している。商業施設では、商品単価が上昇していることもあって、利用客数の伸び率を上回る売上となっている。７月の国際線利用者は、上海便と北京便の運航が再開したこともあり、コロナ禍前の７割の水準まで回復している。
,,○,タクシー運転手,販売量の動き,・夏の地域イベントが予定どおり実施されたこともあって、人の流れがコロナ禍前の状況に戻りつつある。また、外国人観光客の入込も多くみられる。これらのことから、タクシーの利用客も順調に推移している。
,,○,タクシー運転手,来客数の動き,・３年間にも及んだコロナ禍がようやく収まりつつあり、これまで移動を抑制していたことの反動がここに来てみられ始めている。今後もこうした動きが続くことを期待している。
,,○,観光名所（従業員）,来客数の動き,・利用状況が回復傾向にあり、月を追うごとにコロナ禍前の水準に近づいている。８月は悪天候の影響でお盆時期の３日間の営業を休止したが、月全体ではコロナ禍前の2019年の利用状況にほぼ回復している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・特に車両の輸送量が増加傾向にある。車種別にみると、乗用車の輸送量が伸びている。
,,□,商店街（代表者）,来客数の動き,・商店街の来街者はコロナ禍前と同水準まで回復している。特にインバウンドも含めて、観光客の姿が目立つようになってきている。イベントの際はコロナ禍前を上回るほどの集客があるが、売上への影響は業種によって濃淡がある。
,,□,一般小売店［土産］（経営者）,販売量の動き,・売上は2022年比162.8％、2021年比416.4％、2020年比389.4％、2019年比92.1％となっている。コロナ禍前の2019年の水準を下回ったのは、連日の猛暑が続き、外出を控えた客が多かったためとみられる。
,,□,スーパー（店長）,競争相手の様子,・競合店も含めた客の動向をみると、客の節約志向が強いのか、平日はディスカウントストアのシェア率が高く、週末は複合型店舗のシェア率が高くなっている。こうした他店との関係性は３か月前から変化していない。売場の様子をみると、客が商品ごとに安い店を買い回りしている様子がうかがえ、販売量が余り伸びてこない。
,,□,スーパー（従業員）,単価の動き,・燃料価格高騰による物価高の影響もあって景気は変わらない。
,,□,家電量販店（店員）,販売量の動き,・８月は例年にないほどの猛暑の影響で、エアコンや扇風機などは在庫が品薄になるまで売れた。
,,□,乗用車販売店（経営者）,販売量の動き,・販売量が前年を若干下回り始めている。業種による差が拡大していることも懸念材料である。
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が10月に発売されるため、先行予約もまずまずみられるが、全体的には厳しい状況にある。当社の景気は販売台数と直結することになるため、景気は厳しいまま変わらない。北海道という土地柄、観光客はにぎわっているが、金の流れが全体に波及するのはまだ先のことになる。今後についても新型車がどの程度売れるかで変わってくることになる。
,,□,乗用車販売店（従業員）,販売量の動き,・受注実績が前年よりも落ち込んでいる。受注残があるため、登録台数は前年を上回って推移しているが、今後、受注残がなくなれば、収益も落ち込むことが懸念される。
,,□,自動車備品販売店（店長）,お客様の様子,・客の購買動向に変化がみられない。
