Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,販売量の動き,・海外との直行便の数が増えてきたこともあって、夏以降もインバウンドが徐々に増えており、それに伴って景気が徐々に上向いている。国内からの旅行客についても、シニア層が多く来道していることで増加している。シニア層は貯蓄に余裕のあることが多いため、購買意欲がとても高く、客単価も上がっている。
,,◎,スーパー（店長）,販売量の動き,・３か月前と比較すると、来客数の前年比が上昇しており、販売量も前年を上回るようになってきている。青果物については、猛暑の影響で農産物の価格が高騰していることで苦戦しているが、それ以外の生鮮品や加工食品の販売量が増加傾向にあり、全体的にみると、良い方向に進んでいる。
,,◎,観光名所（従業員）,来客数の動き,・観光目的の客の来店が当初の見込みよりも３割以上増加している。クルーズ船の利用者を始め、特に外国人観光客の個人利用が大幅に増加している。
,,○,商店街（代表者）,来客数の動き,・例年よりも暖かいことから、秋物の販売が不調であるが、人出が回復傾向にあり、コロナ禍前の90％台前半まで回復してきている。宴会の予約も比較的好調であり、年末年始は既に予約が取りづらい状況となっている。国内観光客は、会社やグループでの慰安旅行が回復傾向にあるなど、好調に推移しているが、貸切バスを手配できないこと、ホテルの宿泊価格が高騰していることから、伸び悩みがみられる。
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は2022年比で165.2％、2021年比で329.4％、2020年比で264.4％、コロナ禍前の2019年比で120.4％となっている。
,,○,百貨店（売場主任）,来客数の動き,・例年９月及び10月は外国人の購買額が落ち込む月だが、今年はコロナ禍前と比較しても好調に推移しており、全体の底上げにつながっている。
,,○,百貨店（販売促進担当）,単価の動き,・来客数はまだコロナ禍前の水準に戻りきっていないものの、購入単価が高止まりしていることで、売上が増加している。
,,○,スーパー（店長）,来客数の動き,・相変わらずトラベル関連商材が好調に推移している。免税品の売上も増加している。
,,○,スーパー（店長）,単価の動き,・来客数は大きく変わっていないが、商品の値上げが続いていることから、客単価が上昇している。
,,○,スーパー（企画担当）,来客数の動き,・競合店の出店から１年が経過したこと、別の競合店が閉店したことなどから、来客数が前年を上回っている。
,,○,スーパー（役員）,お客様の様子,・食品の値上げが続いていることで、売上も増加して推移している。ただし、ポイントデーなど、お買い得な日にまとめ買いする傾向が強くなっており、客の生活防衛意識の高まりがうかがえる。
,,○,衣料品専門店（経営者）,販売量の動き,・ここに来てようやく気温が下がってきたことから、景気はやや良くなっている。
,,○,家電量販店（店員）,販売量の動き,・10月前半は暖房機関係の新商品がよく売れた。ただし、後半は他店の商品と比較する客が増えた。
,,○,高級レストラン（スタッフ）,来客数の動き,・景気はやや良くなっている。コロナ禍の不振を脱しつつある。
,,○,旅行代理店（従業員）,来客数の動き,・販売量が徐々に増えている。コロナ禍前と比較すると８割程度まで回復している。
,,○,タクシー運転手,販売量の動き,・夏季イベントの終了に伴って、客の外出意欲が低下することを危惧していたが、人出はそれほど減っておらず、堅調に推移している。
,,□,スーパー（従業員）,単価の動き,・商品の価格高騰が続いているため、景気は変わらない。
,,□,コンビニ（エリア担当）,来客数の動き,・夏以降、景気のやや良い状態を維持している。
,,□,衣料品専門店（店長）,お客様の様子,・外出が増えてきたことで、衣替え対応が増えており、客からの要望も増えている。秋物の立ち上がりに関しては順調に推移している。
,,□,衣料品専門店（エリア担当）,来客数の動き,・気温が高めに推移していること、食品の値上げが続いていることから、季節商材の動きが厳しい状況にある。ただし、気温の下がった日に、季節商材や節電に結び付くような商品がよく売れていたことから、これまでと同様に必要な物は買い、そうでない物は節約するという傾向が続いている。
,,□,乗用車販売店（経営者）,来客数の動き,・新型車の発売やイベントの開催があっても、来場者数が伸びてこない。売上も思うように増えていない。
,,□,乗用車販売店（従業員）,販売量の動き,・ここ３か月、販売台数が横ばいで推移しており、厳しい状況にある。新型車が出ても販売台数の伸びが余りみられず、客の購買意欲が上向いてこない。
,,□,乗用車販売店（従業員）,お客様の様子,・車両登録台数はコロナ禍前の水準に近づいているものの、受注できる車両が限られていることから、営業スタッフの販売意欲が低下している。
,,□,住関連専門店（役員）,来客数の動き,・来客数が前年を下回る状況が続いている。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・今年の特徴として、目的買いの傾向が強まっていることが挙げられる。インフルエンザに対する警戒感が強まっていることもあって、免疫強化につながるような商品の動きが良くなっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・10月の売上は９月よりもやや減ったが、水準としては大きく変わっていない。４人以上の振り客はほとんどみられず、予約客も３人までの客が多く、団体客は少なかった。ただし、適度な来客数となったことで、料理提供をスムーズに行うことができるようになり、客も落ち着いて食事ができたことはプラスであった。地方の人気店では、スタッフを雇わずに１人で対応するワンオペが増えている。席が半分しか埋まっていないのに、予約客以外は断っている店もみられるなど、予約するのも難しい状況となっている。
,,□,スナック（経営者）,来客数の動き,・ここ３か月、来客数がほとんど変わっていない。
,,□,観光型ホテル（経営者）,来客数の動き,・ここ３か月、集客が比較的堅調に推移しており、総じて計画をやや上回って推移している。
,,□,観光型ホテル（スタッフ）,販売量の動き,・全国旅行支援の効果でどうにか持ちこたえているものの、閑散期の需要を支えていたインバウンドがコロナ禍前の水準まで回復していないため、厳しい状況にある。
,,□,旅行代理店（従業員）,販売量の動き,・９月と同様に、海外旅行の需要は海外の物価高と円安の影響で回復していない。今後の見通しも厳しい。
,,□,タクシー運転手,来客数の動き,・コロナ禍の３年間は大変厳しい状況にあったが、今年の春頃から徐々に景気が回復しつつある。コロナ禍前の水準には達していないが、８割台まで回復してきている。
,,□,通信会社（エリア担当）,それ以外,・通信キャリアの施策が影響しているため、景気は変わらない。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・依然として前年の輸送量を上回って推移しているなど、好調をキープしている。
,,▲,商店街（代表者）,単価の動き,・物価の上昇が大きく影響している。客単価が低下しており、販売量も減少している。特に低中価格帯の商品は購入を熟考する客が多い。
,,▲,商店街（代表者）,お客様の様子,・物価高などで家計の負担が増えていることから、客の反応は余り良くない。
,,▲,商店街（代表者）,来客数の動き,・区域内のスーパーが閉店したことで、徒歩で当区域を訪れる客が減少するなど、昼間の人の流れが変わっている。また、区域内にある４か所のバス停においても平日の利用者がやや減少している。このため、多くの業種で売上が減少している。
,,▲,スーパー（店長）,販売量の動き,・商品の値上げが続いていることから、販売量が伸び悩んでいる。
,,▲,コンビニ（エリア担当）,販売量の動き,・光熱費の負担が大きい北海道においては、気温が低くなるにつれて、客の生活防衛意識が高まり、節約志向がみられるようになっている。菓子や雑貨など、価格優位性のない商品はコンビニエンスストアでは買わなくなってきている。
,,▲,乗用車販売店（経営者）,販売量の動き,・販売台数の動きに弱さがみられる。新型車効果も薄れ始めており、前年のような勢いはみられない。こうした状況は今後も続くとみられる。
,,▲,自動車備品販売店（店長）,それ以外,・物価高が続いている一方で、客の収入が変わっていないことから、家計の支出負担が増加している。それに伴って、客が車に掛ける費用をシビアに判断するようになっている。客の購買が減っており、売上減少につながっている。
,,▲,その他専門店［造花］（店長）,お客様の様子,・季節商材の動きが例年よりも早い段階で鈍くなっている。当初見込んでいた販売量を下回っている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・繁忙期が終わったことで、例年と同様に来客数が減少している。特に紅葉が遅れ気味なことから、平日の客の動きが例年よりも落ち着いている。ただし、インバウンドは徐々に増加している。
