Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・今年は猛暑であったが、９月に入り気温が多少下がってきたことから、人出が増え始めてきた。観光客も非常に多く、街中にも活気が出てきた。ただし、依然として例年よりも気温が高いことで、そろそろ収穫期を迎える農業の不作や漁業の不漁がみられており、今後の物価高騰が懸念材料となっている。,
,,◎,家電量販店（経営者）,販売量の動き,・残暑の影響でエアコンの販売量が伸びているほか、電気料金の高騰に伴って電気温水器の入替え需要が旺盛であり、売上が伸びている。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・売上がコロナ禍前の水準に近づいてきているなど、回復の兆しがみられる。各種イベントの再開も売上増加に寄与している。,
,,○,スーパー（店長）,単価の動き,・９月の売上は前年比100％を達成している。特に即食、菓子、日用品が伸びている。また、商品単価が上がっているにもかかわらず、販売量が前年を上回っている。客の節約志向は確かにみられるものの、目新しい商品や新商品などはある程度価格が高くても売れており、売り方によっては客が買うようになっている。,
,,○,衣料品専門店（店長）,お客様の様子,・観光関連の需要回復に国としても力を入れていることもあって、行楽需要が回復している。周辺の道路の様子をみても、車の流れから人の動きが活発になっていることがうかがえる。ただし、スーツ関連の需要は著しく低下している。,
,,○,家電量販店（店員）,販売量の動き,・売上、来客数共に、前年を上回っている。特に暑さの影響で夏物家電が健闘している。ただし、暖房器具などの出足は鈍い。,
,,○,高級レストラン（スタッフ）,来客数の動き,・少しずつではあるが、来客数が増えてきている。,
,,○,旅行代理店（従業員）,来客数の動き,・夏季繁忙期の航空需要をみると、国内線はコロナ禍前の水準にほぼ回復している。また、空港周辺の工業団地に半導体製造企業の進出が決まり、社屋工事が始まったことで工事関係者の動きも活発になっている。国際線も７月から中国便が再開したことで、９月の国際線利用者数はコロナ禍前の90％程度まで回復している。,
,,○,旅行代理店（従業員）,販売量の動き,・新型コロナウイルスやインフルエンザなどの新規感染者が増えてきているものの、客の動向は良くなってきている。ただし、コロナ禍で業績悪化した企業が多いこともあって、需要は2019年の水準までは戻ってきていない。,
,,○,旅行代理店（従業員）,販売量の動き,・旅行需要が高まり、客がコンスタントに来店している。,
,,○,タクシー運転手,来客数の動き,・当社全体でのタクシーの売上をみると、９月は2022年比でプラス10％であった。ただし、2019年比ではマイナス25％であり、コロナ禍前と比べると大幅なマイナスが続いている。タクシー１台当たりの売上は、2022年比で約20％のプラスとなっており、コロナ禍前と比べても25％のプラスとなっているが、乗務員不足で稼働しているタクシーが減っているため、会社の売上はなかなか増えてこない。,
,,○,タクシー運転手,販売量の動き,・地域イベントが再開していることで、人流はコロナ禍前の状態に回復している。観光客の入込も好調であり、景気は良くなっている。,
,,○,タクシー運転手,来客数の動き,・今年の夏は４年ぶりに数々のイベントなどが開催されたこともあって、３か月前と比べると景気はやや良くなっている。ただし、秋から冬にかけての動きにも注視していきたい。,
,,○,通信会社（企画担当）,販売量の動き,・毎年９月に発売される話題の通信端末の販売量が前年の1.5倍を超えるなど、好調である。予約分も考慮すると、当面は前年以上の販売量が期待できる。,
,,○,観光名所（従業員）,来客数の動き,・当施設の利用者数は引き続き回復基調にある。ここ数か月、国内客については、ファミリーやカップルが目立っている。また、外国人観光客については、台湾からの団体客を中心に増え続けており、欧米からの個人客も増えている。コロナ禍前の日常が戻りつつある。,
,,○,美容室（経営者）,来客数の動き,・猛暑の影響で８月の来客数が減少したことの反動がみられる。９月は来客数、売上共に、前年比で20％以上の増加となっている。客からは、いまだに新型コロナウイルス感染症にかかったとの話が一定数みられるが、客に余り深刻な様子はみられない。,
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・旅客、車両共に、見込みどおりの伸びがみられる。特に車両は普通乗用車の利用が大幅に増加している。,
,,□,商店街（代表者）,単価の動き,・高額品が少しずつ動き始めている一方で、中価格帯の商品の売行きが低迷しており、２極化が進んでいる。,
,,□,一般小売店［土産］（経営者）,販売量の動き,・売上は2022年比で173.3％、2021年比で488.5％、2020年比で393.1％、コロナ禍前の2019年比で106.2％となっている。,
,,□,一般小売店［土産］（経営者）,来客数の動き,・夏休み後の閑散期となる秋シーズンを迎えているが、旅行客が想定していたほど減っていない状況にある。年配客を中心に小規模団体の旅行が増えており、前年比140％ほどの乗降客がみられる。,
,,□,百貨店（売場主任）,来客数の動き,・残暑の影響で秋物の動き出しが鈍いものの、来客数は横ばいで推移している。,
,,□,百貨店（販売促進担当）,単価の動き,・一部の富裕層については、購買単価が上昇傾向にあるものの、一般客については、消費マインドが上向いてこない。燃料価格の高騰や物価の上昇が影響し、生活防衛意識が強くなっている。,
,,□,スーパー（店長）,販売量の動き,・気温の影響が大きく、衣料品の秋物商材が動かない。一方で旅行関連商材は顕著に伸びている。全体でみると、前年並みの実績となっている。,
,,□,スーパー（店長）,来客数の動き,・競合店対策で施策を行っても、ほとんど景気の変わらない状況が続いている。また、これから冬に向かっていくにつれて、商圏が狭くなることから、今と変わらない状況が続くことになる。,
,,□,スーパー（企画担当）,販売量の動き,・売上は商品単価の上昇に伴って、前年を上回る状況が続いている。一方、１人当たりの買上点数は引き続き減少しており、買い控えの傾向は収まっていない。,
,,□,スーパー（役員）,お客様の様子,・新店のオープンセールで、米や基礎調味料などを保存するための商品が異常なほど売れた。客の節約志向が強まり、お買い得な時に商品をまとめて買う傾向が顕著になっている。,
,,□,コンビニ（エリア担当）,来客数の動き,・商品単価が上昇していることで、来客数の減少を懸念していたが、今のところは前年を上回っている。それに伴って売上も増えている。,
,,□,衣料品専門店（エリア担当）,来客数の動き,・気温の高い状況が続いているが、秋物を買う客が徐々に増えてきている。ただし、客の動向をみると、まとめ買いをすることは余り多くなく、今必要な商品だけを買うことが多い。,
,,□,乗用車販売店（経営者）,お客様の様子,・新型車の発売を目前に控えているのにもかかわらず、客の動きがみられない。商談や予約もみられない状況となっている。,
,,□,乗用車販売店（経営者）,単価の動き,・インバウンドや国内旅行客が順調に回復していることで、観光関連やそれに携わる企業の景気は良くなっているが、建設業など、中小企業の倒産も多いことから、必ずしも景気が回復しているとはいえない。,
,,□,乗用車販売店（従業員）,販売量の動き,・来客数は変わらないが、夏枯れの時期ということもあって、販売量は落ち込んでいる。物価が上がり、家計の負担が増えているため、客の財布のひもは固くなっている。,
,,□,乗用車販売店（従業員）,来客数の動き,・大型の店舗外イベントを実施したが、一般客の動きが鈍く、コロナ禍前の来客数には至らなかった。新車の納期が半年から１年待ちとなっていることもあって、客の購買意欲が低下している。,
,,□,高級レストラン（スタッフ）,販売量の動き,・９月の売上は８月ほどではなかったが、来客数がやや落ち着いたことで、良いサービスを客に提供することができた。前月は低単価客の利用が多く、スタッフの人手不足もあって大変だったが、今月はスタッフ人数に適正な来客数であった。地方の観光地では、航空機減便の影響により、前月よりも来客数の減っている店舗が多いようだが、イベントの再開などによって落ち込みをカバーできている店舗もみられる。新型コロナウイルス感染症対策で受けた融資の返済を始めた店舗もみられるなど、明るい話題もちらほらみられる。地方のビジネスホテルでは、ようやく空室が出てくるようになり、高騰していた宿泊料金が落ち着き始めている。,
,,□,高級レストラン（スタッフ）,来客数の動き,・来客は横ばいでの推移となっている。８月はお盆や夏休みの帰省などで旅行客の動きが活発であったが、９月は落ち着いている。,
,,□,スナック（経営者）,来客数の動き,・まだ通常時の状態には戻っていない。女性が接客を行うような飲食店については、今年一杯は厳しいとみられる。,
,,□,観光型ホテル（スタッフ）,単価の動き,・季節的な要因を除けば、景気が上向くような要因も下向くような要因も確認できない。,
,,□,タクシー運転手,来客数の動き,・観光客の利用が増えることを期待していたが、それほどでもなかった。むしろ９月中旬以降は若干の減少であった。,
