Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,百貨店（営業販促担当）,来客数の動き,・閉店セールが最終月に入り、来客数も客単価も大幅なプラスとなっている。雑貨、衣料品は人気の高い物産催事との相乗効果もあって大きく伸びている。
,,○,商店街（代表者）,来客数の動き,・今は積雪寒冷期であるが、百貨店の閉店が間近となり、高齢者を中心に日中の来街者数が増加している。また、夜型の飲食店においても、新型コロナウイルスの感染対策に伴う規制が緩和される方向にあることから、平日、週末共に本来の１月に近い水準まで回復している。
,,○,商店街（代表者）,販売量の動き,・新型コロナウイルスの新規感染者数が落ち着きをみせていることから、人出が徐々に戻りつつある。新年会もそれなりに開催されたことで週末の飲食店もにぎわいを取り戻している。ただ、新型コロナウイルス感染症の影響による巣籠り習慣を変えるまでには至っておらず、本格的な回復にはまだ時間が掛かりそうだ。
,,○,一般小売店［土産］（経営者）,販売量の動き,・１月の売上は前年比177％、前々年比614.9％となっている。新型コロナウイルス感染症が発生する前の2020年比では98.3％まで回復している。また、アジアからの客の売上は30％を占めている。
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス感染症の脅威はまだ続いているものの、中心部への来街者は確実に増えている。また、国内、海外を問わず旅行客が増えていることで土産需要も回復しつつある。
,,○,スーパー（店長）,販売量の動き,・旅行需要の回復、年末年始の帰省など、人が動くシーンが前年や前々年よりも増えており、2019年並みかそれ以上の水準になりつつある。
,,○,スーパー（企画担当）,来客数の動き,・来客数が前年の水準に近づいている。物価高騰の影響で外食から内食に回帰しているとみられる。また、キャッシュレス比率が伸びていることから、中高年齢層の客に加えて、若年齢層の客も増加しているとみられる。
,,○,コンビニ（エリア担当）,来客数の動き,・年明けは観光客の動きが一時的に低迷していたが、中旬以降は持ち直している。春節の期間中は中国人こそ少なかったが、韓国、台湾などを中心に観光客が増加傾向にある。
,,○,家電量販店（店員）,お客様の様子,・１月は初売りが好調で、来客数も微増ではあるが回復していた。ただ、月後半は大雪の影響で客足がやや鈍っている。
,,○,乗用車販売店（経営者）,販売量の動き,・新車受注が堅調に推移しており、前年比127％となっている。登録台数も前年比116％となっている。中古車は在庫不足の影響がみられるものの、底堅く推移しており、需要は回復傾向にある。
,,○,高級レストラン（スタッフ）,来客数の動き,・少しずつではあるが、来客数が伸びている。ただ、物価の上昇が続くなか、新型コロナウイルス感染症の影響もあって企業の疲弊が続いており、賃金が物価上昇に見合った上昇となるかは不透明である。
,,○,旅行代理店（従業員）,来客数の動き,・12月の航空需要をみると、国内線は新型コロナウイルス感染症発生前の2019年比で92％まで回復している。また、国際線も中国を除いたアジア路線を中心に、11月以降復便が進んでおり、新型コロナウイルス感染症発生前の2019年比で50％程度まで路線数が回復している。年末年始の帰省需要も活発で、国内線、国際線共に人の動きが戻ってきたとみられる。
,,○,旅行代理店（従業員）,来客数の動き,・５月から新型コロナウイルスの感染症法上の分類が５類に移行するとの報道もあって、客からの申込件数が増えている。
,,○,タクシー運転手,来客数の動き,・新型コロナウイルスの新規感染者数は減っていないが、人流を抑制するような規制がなくなったことから、夜の繁華街においても、前年とは違って遅い時間でも人流が絶えなくなっている。タクシー１台当たりの売上も前年比プラス20％と回復している。ただ、ドライバー不足の影響でタクシーの稼働台数が減っていることから、会社の売上は前年をやや上回る程度にとどまっている。
,,○,タクシー運転手,販売量の動き,・人流が少し戻りつつある。2019年２月に値上げした効果もようやくみられるようになってきた。
,,○,タクシー運転手,来客数の動き,・観光客が増えている。
,,○,観光名所（従業員）,来客数の動き,・新型コロナウイルス感染症発生前の水準に比べればまだまだだが、海外からの観光客が個人、団体共に、日を追うごとに増加している。
,,□,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染症法上の分類を５類に移行する方針が発表されたことで、来街者が少しずつ増えている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・１月上旬の売上はとても悪かった。中旬になると回復傾向がみられたものの、下旬に入り悪天候に見舞われたことで、再び落ち込みがみられ、１月としては過去最悪の売上となった。
,,□,一般小売店（経営者）,販売量の動き,・希望小売価格の改定で価格が高騰しており、買い控えする客が多くなっている。
,,□,スーパー（企画担当）,販売量の動き,・足元の客単価は、商品単価が大きく上昇していることで上昇傾向が続いているものの、飽くまでも価格上昇に伴う名目上の話である。実際には、節約志向の強まりによる買上点数の減少傾向も続いており、消費の実態は不透明な状況にある。
,,□,スーパー（役員）,販売量の動き,・食料品の値上げが続いているが、食べる量を減らすことはできないため、食品スーパーへの影響は余りみられない。
,,□,コンビニ（エリア担当）,お客様の様子,・観光需要に浮き沈みがあり、現状は３か月前と比べて減少している。今後の動向によっては、悪化することも懸念される。
,,□,コンビニ（エリア担当）,それ以外,・全体売上は前年以上になっているが、新型コロナウイルス感染症の影響で前年の売上を大きく落としていた店舗も多く、実態は余り良くなっていない。中には、前年割れしている店舗もみられる。
,,□,その他専門店［医薬品］（経営者）,単価の動き,・例年１月は数字的に厳しい月であり、月末に掛けて全国的な悪天候となったことで厳しさが増している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・電力料金やガス料金の値上げに伴って、石油製品の節約志向が強まっている。
,,□,観光型ホテル（スタッフ）,来客数の動き,・全国旅行支援が延長されたものの、決定が12月後半だったこと、割引率が変更されたことから、１月は３か月前ほどの勢いがみられなかった。
,,□,旅行代理店（従業員）,それ以外,・ウクライナ情勢の影響や公共料金の値上げ、それらに対する対策不足などから、疲弊している人が周囲に増えている。
,,□,旅行代理店（従業員）,来客数の動き,・全国旅行支援の影響により、来客数や販売量は増加している。ただ、３か月前も状況としては悪くなかったため、景況感としては横ばいで推移している。
,,□,タクシー運転手,販売量の動き,・季節要因や天候要因などによる需要を考慮すると、新型コロナウイルス感染症発生前の景気には戻っていない。特に夜間の売上が苦戦している。
,,□,タクシー運転手,来客数の動き,・年末年始については、利用客がややみられたものの、景気が上向いているとまではいえない。３か月前とほとんど変わらない状態が続いている。
,,□,タクシー運転手,来客数の動き,・冬期間は観光客が少ないため、大変厳しい状況となる。また、コロナ禍のなか、客の動きがまだはっきりとみえてこないことから、景気は横ばいで推移している。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・厳冬期における輸送量としては前年並みに推移しているが、悪天候が重なり、欠航日数が増えていることから、景気は良くなっているとも悪くなっているともいえない。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客の購入意欲は依然として高い。キャンセルが出ていないかを確認するなど、完売したマンションに対する問合せもみられる。
,,▲,商店街（代表者）,お客様の様子,・商材の値上げが次々に出ているため、客の反応が悪くなっている。３か月前と比べると景気は良くない状況である。
,,▲,商店街（代表者）,来客数の動き,・正月明けということもあるが、来客数も売上も落ち込み気味である。
,,▲,百貨店（売場主任）,販売量の動き,・エネルギー価格高騰の影響で中間層以下の客層への販売量が減少傾向にある。
,,▲,百貨店（マネージャー）,それ以外,・来客数及び客単価は３か月前と同水準で推移しているが、買上客数が10％以上減少している。物価高の影響により、節約志向が強まっており、買い控えが顕著にみられる。
,,▲,衣料品専門店（経営者）,競争相手の様子,・業界の多くの事業者が前年から数字を落としている。
,,▲,衣料品専門店（エリア担当）,それ以外,・今のところ、来客数の極端な落ち込みはみられないが、光熱費、特に電気料金が大幅に値上がりしていることから、今後、節約傾向がますます顕著になるとみられる。寒さ対策関連商材の動きは活発になるとみられるものの、ファッション関連の買い控えが始まることが懸念される。
,,▲,その他専門店［造花］（店長）,お客様の様子,・行動制限緩和に伴い、イベントなどが開催されているものの、商材の価格高騰に伴う買い控え傾向が続いている。客単価の低下が著しい。
