Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・来街者が順調に回復しており、コロナ禍前並みになってきた。ただ、コロナ禍で生活習慣が変化したことで、特に高齢者の客足が鈍く、このまま回復しないのではないかと心配している。また、猛暑の影響で外出をためらう人もみられる。暑い日の中心市街地は閑散としており、残念な結果となっている。,
,,◎,一般小売店［酒］（経営者）,販売量の動き,・毎日の売上の変動が少なくなっている。月全体の売上も安定していることから、景気は良くなっている。,
,,◎,観光型ホテル（スタッフ）,単価の動き,・ホテルの稼働状況は、人手不足の影響でいまだにフル稼働とはなっていないものの、客室単価が前年を上回るようになっている。コロナ禍前の2019年と比べても客室単価が上昇していることから、景気は良くなっている。,
,,◎,タクシー運転手,来客数の動き,・タクシー運賃について５月31日から約15％の値上げをしたことに加えて、７月後半に暑い日が多かったことで特に日中のタクシーの売上が伸びている。７月のタクシーの売上は、日勤で前年比プラス30％程度、夜勤で前年比プラス15％程度であった。ただ、乗務員不足の影響でタクシーの稼働率が15％程度落ち込んでいるため、会社の売上は前年比で３％程度の増加にとどまっており、コロナ禍前と比べると20％程度の減少となっている。,
,,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・旅客、車両共に、輸送量が順調に伸びている。特に車両は乗用車の伸びが大きくなっている。,
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルス感染症の分類が５類になり、祭りや商店街のイベントをコロナ禍前のように開催できるようになったことで、再開を待ち望んでいた多くの来街者でにぎわっている。人出はコロナ禍前よりも増えているほどである。各商店の来客数や売上も以前の状態に回復しつつある。,
,,○,商店街（代表者）,お客様の様子,・６月中旬以降、当区域における駐車場の利用状況などから、郊外客及び道内外からの観光客が増加していることがうかがえる。地元百貨店閉店の影響を受けて、全体的には来街者数が減少しているものの、買物袋を携行している歩行者が多く、各店の売上も増加している。ホテルや交通関連、土産店、夜型飲食店についても、７月上旬に農機具関連のイベントが開催されたことで売上を伸ばしている。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は2022年比179.3％、2021年比545.4％、2020年比723.3％となっている。コロナ禍前の2019年と比べても107.7％となっている。,
,,○,百貨店（売場主任）,販売量の動き,・シニア世代及びミドル世代におけるアパレル用品の動きが好調である。,
,,○,百貨店（販売促進担当）,単価の動き,・客の購買単価が上昇している。商品単価が上昇していることに加えて、まとめ買いなども増えていることが要因となっている。,
,,○,百貨店（マネージャー）,販売量の動き,・来客数、客単価は３か月前とほぼ変わらないが、販売促進企画が奏功していることもあって、買上客数が引き続き大幅に増加している。販売量も買上客数に比例して増加しており、景気は良くなっている。,
,,○,スーパー（店長）,販売量の動き,・夏休みからお盆にかけての社会行事や地域行事がコロナ禍前と同様に開催されるようになったことで、前年まで需要が縮小していた水着、浴衣、トラベル商材、化粧品などの売上が好調に推移している。,
,,○,スーパー（店長）,単価の動き,・卵の集客効果は薄れてきたものの、来客数が引き続き前年を上回って推移している。また、これまで余り良くなかった客単価も前年を上回るようになってきた。,
,,○,スーパー（企画担当）,単価の動き,・値上げの影響で販売量が減少しているが、値上げに伴う増収が販売量の減少を補っている。,
,,○,コンビニ（エリア担当）,来客数の動き,・来客数が前年と比べて増加しており、売上回復の要因となっている。また、当地では売上が天候に左右される店舗が多いが、現状、天候もプラス要因となっている。,
,,○,コンビニ（エリア担当）,来客数の動き,・イベントや学会などが活発に行われていることもあって人流が増加しており、この影響を受ける店舗は好調である。ただ、通勤客や通学客がメインの店舗は余り変わっていない。,
,,○,衣料品専門店（エリア担当）,来客数の動き,・光熱費の引上げや新型コロナウイルスの感染拡大傾向がみられるものの、来客数が前年と比べて増加傾向にある。,
,,○,乗用車販売店（経営者）,販売量の動き,・半導体不足の影響が薄まっていることもあって、売上が徐々に持ち直している。ただ、今後については各種燃料などの値上げに伴って持ち直しの動きにブレーキが掛かることが懸念される。,
,,○,高級レストラン（スタッフ）,お客様の様子,・当店も観光客の利用が増えており、売上もようやくコロナ禍前の50％を超えそうだ。ただ、原材料費や人件費、電気料金のことを考えると頭が痛い。昼食や夕食前の時間帯にデパ地下に行くと、外国人を中心に観光客らしき人でごった返しており、弁当やおかずを購入している姿がみられることから、当店でも観光客への周知を検討したい。求人面では小規模飲食店の求人数が急増していることから、当店もそろそろ人材の補充を考えていきたい。観光地のレストランではコロナ禍前の売上を超えているなど、活況を呈している。,
,,○,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルス感染症の影響が収まり、人流が増加していることから、景気はやや良くなっている。,
,,○,高級レストラン（スタッフ）,来客数の動き,・週末の来客数が増えており、外国人観光客も増加傾向にある。観光シーズンに向けて好材料がみられるようになっている。,
,,○,観光型ホテル（経営者）,来客数の動き,・夏の繁忙期に入り宿泊客が増えている。ただ、個人客の動きが若干鈍い。,
,,○,旅行代理店（従業員）,来客数の動き,・観光繁忙期を迎えて、個人客、団体客共に、旅行需要が拡大している。ただ、需要回復と物価高騰に伴ってビジネスホテルなどの宿泊料金が値上がりしており、観光業界の人手不足と併せて、今後への懸念材料となっている。,
,,○,タクシー運転手,販売量の動き,・新型コロナウイルス感染症が５類に移行し、各種イベントが開催されるようになったことで人流が回復しており、タクシーの乗客数も増加に転じている。,
,,○,タクシー運転手,来客数の動き,・夏場の観光シーズンという季節要因もあるが、コロナ禍が明けて人の動きが増えている。また、イベントなどが開催されていることもプラスである。こうした動きが続くことになれば、景気は更に良くなる。,
,,○,タクシー運転手,来客数の動き,・全体的に人の動きが良くなっている。,
,,○,観光名所（従業員）,来客数の動き,・当地において、業界団体や学術系の大会、スポーツイベントなどの開催が増加してきた。それに併せて当施設の利用客も増加していることから、地元経済にも効果が波及していることがうかがえる。混雑時にはタクシーを手配できないほどである。,
,,○,美容室（経営者）,来客数の動き,・全体的に人の動きが活発になっており、当店の売上も増加している。ただ、年金生活者においては、年金支給額の増額が物価上昇に追い付いていないこともあって、来店周期が徐々に長くなっている。,
,,○,住宅販売会社（経営者）,お客様の様子,・今のところ、住宅着工数は伸びていないが、観光客が増えていることから、これからじわじわと効果が現れてくることになる。,
,,□,一般小売店（経営者）,販売量の動き,・客単価は上昇しているものの、来客数が依然として少ないため、景気は変わらない。,
,,□,スーパー（店長）,来客数の動き,・現在、来客数が前年比103％と前年を上回っているのに対して、売上は前年割れが続いている。買上点数は前年並みに近づいているが、客単価が低下しており、セール品のみ購入する客が以前にも増して多くみられるようになってきた。来客数が増加したとはいえ、物価高騰による節約志向が続いていることから、景気が上向きになっているとは言いにくい。,
,,□,スーパー（従業員）,販売量の動き,・物価高の影響で販売量が減っている。ただ、商品価格が上昇していることで売上は良くみえる。,
,,□,コンビニ（店長）,お客様の様子,・買物の様子をみると、値引きクーポンや無料券などを利用する買い方が以前よりも増えている。また、単価の高い商品の動きが鈍化している。,
,,□,乗用車販売店（従業員）,単価の動き,・新型車の商品展開の動きが落ち着き、景気を刺激するような販売施策もないことから、現状維持の状態が続いている。,
,,□,自動車備品販売店（店長）,お客様の様子,・長期的に状況が変わっていない。,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高止まりしており、客の節約志向が強いまま変わらない。,
,,□,その他専門店［造花］（店長）,お客様の様子,・客単価が低めに抑えられているため、注文件数の割に粗利が少なくなっている。,
,,□,タクシー運転手,来客数の動き,・日中の利用者が順調に推移している一方で、夜間の利用者はそれほど変化がみられない。イベント関係での利用もそれほど変化がみられない。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客の様子をみると、現在のインフレに対して慎重である。ただ、先行きについては明るさを感じているようである。,
